tier,dataset_id,short_name,primary_record,assays_deposited,deposited_units_transcribed,independent_unit,n_independent_units,n_independent_units_basis,microglia_usable,cell_types,gene_coverage,peak_coverage,disease_context,brain_regions,access,size_on_disk,overlap_FULL104_donors,overlap_other_project_assets,failure_mode_screen,integration_feasibility,verdict
"TIER 4 - right context, insufficient donors",GSE272082,"Sporadic early-onset AD snMultiome, 3 regions",GEO SOFT brief; PMID 41406216,snMultiome (21 ATAC + 21 GEX GSMs),42 GSMs (21 ATAC-seq + 21 RNA-Seq); dx labels 20 sEOAD / 22 Control,donor,9,"deposit's overall_design states 4 sEOAD patients and 5 matched controls across PFC (n=9), EC (n=6), HIP (n=5) samples","yes, as a subpopulation",all types,multiome GEX,multiome ATAC,sporadic EARLY-onset AD - a different disease axis from late-onset FULL104,"PFC, EC, HIP",open,37.581 GB supplementary (unit-rounded),none known,none,Regional samples from the same 9 people are NOT independent units - the same error class as counting Morabito's RNA and ATAC arms separately.,"high technically, but n=9 cannot support a donor-level claim",REJECT for validation. n=9 donors. Useful only as qualitative context.
"TIER 4 - right context, insufficient donors",GSE259298,Pick's disease and AD snATAC + snRNA,GEO SOFT brief; PMID 41223260,snATAC-seq (16) + snRNA-seq (12),28 GSMs. Title shapes show 9 Control snATAC + 6 Pick's snATAC plus iPSC/neuron UBE3A and WT lines - the deposit MIXES postmortem tissue with cell-line samples.,donor (tissue arm only),16,deposit's overall_design states 7 Pick's patients and 9 age-matched controls,yes in the tissue arm,all types (tissue arm); iPSC/neuron (line arm),snRNA,snATAC,"Pick's disease (a tauopathy), not late-onset AD",PFC,open,1.098 GB supplementary (unit-rounded),none known,none,The iPSC line samples in the same accession are NOT donors. Any script that counts GSMs would silently mix cell lines into a donor cohort.,"tissue arm only, after excluding the line samples",REJECT for validation. n=16 and a different proteinopathy.
"TIER 5 - REJECTED, size without replication",GSE244618,"Comparative atlas of single-cell chromatin accessibility, 42 brain regions",GEO SOFT brief; PMID 37824643,"snATAC-seq (128 GSMs, all Homo sapiens)","128 GSMs, all ATAC-seq",donor,3,deposit's overall_design states verbatim: 'single-nucleus ATAC-seq in 42 human brain regions from three neurotypical male donors',yes technically,all types across 42 regions,none,snATAC across 42 regions,NEUROTYPICAL ONLY - no disease axis; all male,42,open,402.653 GB supplementary (unit-rounded) - largest in the registry,none,none,"TEXTBOOK 'size is not qualification'. 128 libraries and 403 GB carry THREE independent people. Region samples from one donor are pseudoreplicates, structurally identical to the GSE178317 well error.",n/a,REJECT as a validation cohort. Admissible ONLY as a regional chromatin reference where n=3 is explicitly stated at every use.
"TIER 5 - REJECTED, title does not match deposit",GSE261983,'Single-cell genomics & regulatory networks for 388 human brains' (PsychENCODE2),GEO SOFT brief; PMID 38781369,snATAC-seq (20) + snRNA-seq (20),"40 GSMs = 20 ATAC-seq + 20 RNA-Seq, all Homo sapiens",donor,20,"20 RT#N title tokens, one library pair per donor; the deposit's own diagnosis field reads 'Control' for ALL 40 GSMs","yes, as a subpopulation",all types,snRNA,snATAC,ALL CONTROL - zero disease samples in this accession,dlPFC,open,5.696 GB supplementary (unit-rounded),none known,none,"TITLE TRAP. The title promises 388 brains; the deposit contains 20 control donors. Anyone inheriting '388' from the title, a review, or the consortium page would overstate this by 19x. The 388-brain resource lives elsewhere (Synapse), not in this accession.",n/a at this n and with no disease contrast,"REJECT AS DEPOSITED. Worth re-opening ONLY via the actual PsychENCODE2 Synapse resource, which is a separate acquisition with its own audit."
"TIER 5 - REJECTED, not primary human donors",GSE148434 / GSE163323,Parkinson's iPSC-derived multi-omics,GEO SOFT brief; PMIDs 37058563 / 35895835,GSE148434: ATAC 13 + ChIP 18 + Hi-C 11 + RNA 28. GSE163323: ATAC 11 + OTHER 14 + RNA 26,70 and 51 GSMs respectively,"cell line / genotype, NOT donor",NOT_STATED_IN_DEPOSIT,"characteristics fields are 'cell line', 'genotype', 'differentiation protocol', 'rs76904798 genotype' - there is no donor axis","no - iPSC-derived neurons/microglia, not primary tissue",iPSC-derived,RNA-seq,ATAC,Parkinson's disease genetics,n/a (in vitro),open,32.266 GB / 22.549 GB (unit-rounded),n/a,none,Cell lines cannot supply between-person variation. Same structural limit as GSE289721 and GSE178317.,n/a for donor-level validation,REJECT for donor validation. Different disease and no donor axis.
TIER 3 - independent donors but off-context disease,GSE338484,Somatic mutations / microglia ontogeny in human aging (snATAC),GEO SOFT brief; PMID NOT_STATED_IN_DEPOSIT (recent deposit),snATAC-seq (29 GSMs),"29 GSMs, all ATAC-seq. 23 unique UW# leading tokens; remaining GSMs are regional subsamples (_Pu, _Ce, _v2) of those same tokens.",donor,NOT_STATED_IN_DEPOSIT,"no donor characteristics field. 23 UW# tokens is a PROXY, and 6 of the 29 GSMs are region/version variants of an existing token, so the GSM count overstates the donor count.","yes and explicitly - 'cell type' characteristic present, deposit is about immune cell phenotypes",microglia and marrow-derived immune cells,none,snATAC,"aging with 'cognitive status' characteristic; the selection criterion is donors harbouring marrow-derived cells in brain, which is a NON-RANDOM SELECTION, not a population sample","multiple (Pu = putamen, Ce = cerebellum tokens present)",open,55.835 GB supplementary (unit-rounded),none known,none,Selection on a rare biological feature means this is not an unbiased donor sample. Regional subsamples of the same donor are not replicates.,"ATAC-only, microglia-focused; small","NICHE. Microglial chromatin at real donor level, but selected cohort and ~23 donors."
"TIER 4 - right context, insufficient donors",GSE157827,"AD snRNA-seq, angiogenic endothelium study (v3 clean-holdout pool)","GEO SOFT brief; PMIDs 32989152, 37117777",snRNA-seq (21 GSMs),"21 GSMs, all RNA-Seq",donor,21,21 one-per-donor GSM titles; diagnosis characteristics field present,"yes, as a subpopulation",all types,snRNA,none,AD and control,NOT_STATED_IN_DEPOSIT in the fields harvested,open,1.288 GB supplementary (unit-rounded),none known,listed in docs/DATASET_REGISTRY.md 'Clean external holdout pool' and must stay untouched until architecture and evaluation rules are frozen,PASSES; RNA-only,straightforward RNA integration,HOLD. Already reserved as clean holdout; do not spend it on method development.
"TIER 4 - right context, insufficient donors",GSE147528,Leng et al. selectively vulnerable neurons (v3 clean-holdout pool),GEO SOFT brief; PMID 33432193,snRNA-seq (20 GSMs),"20 GSMs, all RNA-Seq",donor,10,"10 unique values of the deposit's own 'donor id' characteristics field across 20 GSMs - this deposit DOES carry a donor id, unlike most",limited - the study targets neurons,"all types, neuron-focused analysis",snRNA,none,Braak stage axis (characteristics field present),EC and SFG (two regions per donor - hence 20 GSMs from 10 people),open,0.565 GB supplementary (unit-rounded),none known,listed in docs/DATASET_REGISTRY.md clean external holdout pool,20 GSMs / 10 donors - a clean worked example of why GSM count must never be read as donor count.,"RNA only, n=10","HOLD. Reserved clean holdout, and n=10 is too small to spend."
CROSS-MODALITY ON KNOWN DONORS - NOT AN INDEPENDENT COHORT,SEA-AD snATAC / snMultiome (AWS sea-ad-single-cell-profiling; syn26223298),SEA-AD MTG ATAC and Multiome expansion,S3 bucket listing of sea-ad-single-cell-profiling (verified); Gabitto et al. PMC11614693 data-availability statement; Synapse entity syn26223298 name verified as 'SEA-AD',snRNA-seq; snATAC-seq; snMultiome; MERFISH,MTG/ATACseq/ objects verified in the bucket listing: SEAAD_MTG_ATACseq_all-nuclei.2024-12-06.h5ad 38.963 GB; _final-nuclei 18.261 GB; _all-nuclei_metadata.csv 1.119 GB; plus per-cell-type bigWigs including Micro-PVM,donor,84 in the SEA-AD MTG cohort,'a cohort of 84 aged donors' stated verbatim in Gabitto et al. Per-assay donor counts for snATAC and snMultiome specifically are NOT_STATED_IN_DEPOSIT in the text retrieved.,yes - a dedicated Micro-PVM bigWig track exists per ADNC stratum,139 molecular cell types (paper); Micro-PVM is a named class,multiome GEX and snRNA h5ad,nuclei-by-peak matrices with peaks called across all nuclei,full AD pathology spectrum - the SAME pathology axis as FULL104,MTG (plus other regions in the wider bucket),SPLIT: processed matrices OPEN on AWS Open Data; raw FASTQ CONTROLLED at Synapse syn26223298,"~57 GB for the two MTG ATAC h5ads alone, plus 1.1 GB metadata","MAXIMAL AND STRUCTURAL. FULL104's SEA_AD source contributes 46 of its 104 donors and 4,118,213 of its 4,553,407 cells. SEA-AD MTG IS that source. These are the same people.","OUTCOME-EXPOSURE HAZARD: the open-access ATAC metadata CSV carries donor-level ADNC, Thal, Braak, CERAD, Cognitive Status, CASI, MMSE and APOE columns in the same file as the cell barcodes. Ingesting it without a column-level firewall would place protected FULL104 outcome variables into a working artifact.","Adding a second assay to people already in the training set is the same class of error as counting Morabito's RNA and ATAC arms as 39 units: it increases measurement per person, never the number of people.","highest of any candidate - same cohort, same tissue, same pipeline, so no batch or bank confound. That is exactly why it cannot validate generalisation.",CROSS-MODALITY EVIDENCE ON KNOWN DONORS. NOT AN INDEPENDENT DONOR-VALIDATION COHORT. See the dedicated verdict section.
"PERTURBATION - placed, not re-audited",GSE289721,iMGL CRISPRi perturb-seq (poly(I:C) context),NOT RE-DERIVED IN THIS LANE. All facts cited from PR #158 (lane-e/gse289721-recon-20260926) and its source-authentication manifest.,8 GSMs = 4 GEX + 4 GDO (per PR #158),"48,568 CellRanger barcodes; 36,601 gene rows + 72 CRISPR Guide Capture rows; 24 unique protospacers = 6 targets x 3 guides + 6 controls (PR #158)",DIFFERENTIATION,2,"PR #158: XP1 and XP2, ONE genetic background, no cell hashing","iPSC-derived microglia-like cells, not primary human microglia",iMGL only,"36,601 genes (PR #158)",none,poly(I:C) inflammatory challenge; CRISPRi dCas9-KRAB-MeCP2,n/a (in vitro),open,"617,731,307 bytes of matrices (PR #158; not downloaded)",none - no human donors in the design,"INPP5D is targeted both here and in GSE178317, which the project registers as primary_microglial_perturbation_training. PR #158 flags INPP5D TRAINING_OVERLAP_SUSPECT; clean targets are AGFG2, EED, MS4A6A, PVR, RABEP1.","GSE335887 library-completeness screen: PASSES - all 6 named targets have all 3 guides deposited with sequences. CRISPRbrain shared-infrastructure screen: PASSES - different lab from GSE178317, with its own deposited library. GSE178317 technical-well screen: PASSES ON HONESTY, FAILS ON POWER - PR #158 states plainly that the independent unit is the differentiation and n=2. Unresolved: GEO says cell line IMR90, the paper says FA10.",all 6 targets resolve current_exact into the frozen Stage81A2R address registry (PR #158),"QUALIFIED-FEASIBLE PENDING GATES 1-3 per PR #158. In THIS registry its place is: the best-constructed CRISPR option available, and still n=2 differentiations of one genetic background - which is why it ranks below GSE249315's 57 paired donors for any claim about people."
