asset_id,logical_name,repository_relative_path_or_redacted_location,local_availability,file_type,byte_size,sha256,sha256_status,source_dataset,modality,candidate_role,read_only_audit,source_modified
sea_ad_mtg_full_source,SEA-AD MTG final nuclei expression source,data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,true,h5ad,36319410584,9c1b48266d0a9aef76ad20fb8487d604158b10fad18dc0de85d5261ef06cb7c8,recorded_and_preverified_in_stage81a1,SEA-AD MTG,snRNA_expression,stage81a2_feature_vocabulary_source,true,false
sea_ad_mtg_microglia_pvm_expanded,SEA-AD MTG 40k Microglia-PVM expanded v3 feature matrix,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_expanded_modules.h5ad,true,h5ad,458239253,d0385e86da482b2f0048e2d0d83116056b889b8449cc8778828b3eae1d1eed93,recorded_and_preverified_in_stage81a1,SEA-AD MTG,snRNA_expression,foundation_training_candidate,true,false
sea_ad_mtg_microglia_pvm_module_preserved,SEA-AD MTG 40k Microglia-PVM module-preserved matrix,data/processed/sea_ad_mtg_microglia_pvm_all_hvg3k_module_preserved.h5ad,true,h5ad,462024617,fc40b7c64b8bacd42e19b28227e4b6f02c3a9a3f09aefc8cddc9ea0bde09ca5d,recorded_and_preverified_in_stage81a1,SEA-AD MTG,snRNA_expression,self_supervised_validation_candidate,true,false
sea_ad_pathology_schema,SEA-AD quantitative neuropathology,data/raw/metadata/sea-ad_all_mtg_quant_neuropath_bydonorid_081122.csv,true,csv,258545,20c444d0b46ecd9b2155953f7fc47bd6c6fcaa3e6ff7c03c9422fce56b705b4f,computed,SEA-AD,pathology_metadata,post_freeze_evaluation_schema_only,true,false
stage75_integrated_tf_target,stage75_integrated_tf_target,results/tables/stage75_integrated_tf_target_summary_v1.csv,true,csv,51736,996c4e6e6c86dae1f15cbc0970f548d56dfbb69faa43cf7fc93beda8f107f4b5,computed,stage75_79_tf_target_perturbation,motif_enhancer_coactivity_candidate_edges,soft_regulatory_prior_candidate_after_vocabulary_and_control_gates,true,false
stage75_regulator_gate,stage75_regulator_gate,results/tables/stage75_integrated_regulator_summary_v1.csv,true,csv,4598,4fa3d182b1d3d903dd7ae95eae0aeac2004f937db2b76eddecf661c04816ae73,computed,stage75_79_tf_target_perturbation,bounded_cistarget_motif_support_summary,regulator_annotation_and_prior_weight_initialization_candidate,true,false
stage76_feature_readiness,frozen v3 feature readiness,results/tables/stage76_regulator_readiness_v1.csv,true,csv,3102,a06ac7b01a1ace9e801690d3105034b02d93ea2440dfae28aa161bd0965a761d,computed,project_v3,audit,annotation_only,true,false
stage76_signed_edge_coverage,stage76_signed_edge_coverage,results/tables/stage76_perturbation_graph_edge_coverage_v1.csv,true,csv,104484,f6d1b164567ce736a7f1297e5fb45f5674b31a704b743ea26f7b42e1ffff03e2,computed,stage75_79_tf_target_perturbation,coactivity_signed_candidate_edges,annotation_and_matched_control_design,true,false
stage79_graph_controls,frozen graph-control results,results/tables/stage79_control_graph_manifest_v1.csv,true,csv,17348,4118207f5f2794d904b0a41581c069056e1715ff2049f276302119ef737d59e9,computed,project_v3,audit,historical_control_context,true,false
string_links,STRING v12 links,data/external/string/9606.protein.links.v12.0.txt.gz,true,gz,83164437,3e22f32572211aa341d5b4bd08d30c32e693e294603202120936872f87719d4f,computed,STRING,protein_association,context_only,true,false
