dataset_id,evidence_basis,pathology_values_used,provenance_class,quarantine_required,sample_id
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-335_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-335_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-335_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-336_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-336_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-336_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11L05-336_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-081_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-081_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-081_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-081_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-084_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-084_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-084_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V11U08-084_D1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V12F14-051_A1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V12F14-051_B1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V12F14-051_C1
GSE264692,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,V12F14-051_D1
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555878
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555879
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555880
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555881
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555882
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555883
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555884
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555885
GSE278848,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8555886
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594572
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594573
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594574
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594575
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594576
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594577
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594578
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594579
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594580
GSE280316,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8594581
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598169
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598170
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598171
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598172
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598173
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598174
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598175
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598176
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598177
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598178
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598179
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598180
GSE280460,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,GSM8598181
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227428
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227429
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227430
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227431
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227432
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227433
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227434
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227435
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227436
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227437
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227438
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227439
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227440
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227441
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227442
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227443
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227444
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227445
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227446
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227447
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227448
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227449
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227450
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227451
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227452
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227453
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227454
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227455
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227456
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227457
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227458
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227459
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227460
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227461
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227462
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227463
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227464
GSE307586,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9227465
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227466
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227467
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227468
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227469
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227470
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227471
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227472
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227473
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227474
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227475
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227476
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227477
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227478
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227479
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227480
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227481
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227482
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227483
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227484
GSE307587,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,GSM9227485
GSE325489,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9604821
GSE325489,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9604822
GSE325489,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9604823
GSE325489,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,GSM9604824
HPA_Zhong_PFC_RNA,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,dataset_level
HPA_human_brain_StereoSeq,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,dataset_level
HPA_regional_human_brain_RNA,acquisition provenance and neutral study/sample metadata only,false,REFERENCE_ONLY,false,dataset_level
SCP2167,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,true,dataset_level
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,SURGICAL_TISSUE_PROVENANCE_REVIEW,true,H18.06.006.MTG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,SURGICAL_TISSUE_PROVENANCE_REVIEW,true,H18.06.006.MTG.4000.expand.rep2
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,SURGICAL_TISSUE_PROVENANCE_REVIEW,true,H18.06.006.MTG.4000.expand.rep3
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,H19.30.001.STG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,H19.30.001.STG.4000.expand.rep2
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,H20.30.001.STG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,H20.30.001.STG.4000.expand.rep2
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,NEUROTYPICAL_DECLARED,false,H20.30.001.STG.4000.expand.rep3
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,SURGICAL_TISSUE_PROVENANCE_REVIEW,true,H22.26.401.MTG.4000.expand.rep1
doi:10.5061/dryad.x3ffbg7mw,acquisition provenance and neutral study/sample metadata only,false,SURGICAL_TISSUE_PROVENANCE_REVIEW,true,H22.26.401.MTG.4000.expand.rep2
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br2720_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br2720_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br2720_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br2743_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br2743_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br2743_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br3942_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br3942_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br3942_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6423_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6423_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6423_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6432_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6432_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6432_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6471_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6471_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6471_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6522_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6522_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br6522_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8325_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8325_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8325_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8492_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8492_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8492_post
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8667_ant
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8667_mid
spatialDLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,Br8667_post
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151507
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151508
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151509
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151510
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151669
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151670
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151671
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151672
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151673
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151674
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151675
spatialLIBD_classic_DLPFC,acquisition provenance and neutral study/sample metadata only,false,UNKNOWN,false,151676
