gene,in_top20_tier1,in_prior_anchor_group,in_broad_state_control_group,in_special_review_group,audit_selection_reason,final_tier,therapeutic_like_score_percentile,gliosis_penalty_percentile,broad_shift_score_percentile,graph_neighborhood_label,prior_candidate_flag,targeted_manifold_audit_priority,audit_priority,audit_groups,audit_group::top20_tier1,audit_group::prior_anchor,audit_group::broad_state_caution_control,audit_group::special_review,promotion_reason,deprioritization_reason,scorecard_interpretation,graph_interpretation,tau_lowering_score_percentile,neuron_preservation_score_percentile,known_biology_note,claim_boundary
SARAF,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.24364723467862,14.8355754857997,74.85052316890882,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.55306427503736,86.88340807174887,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
MSR1,True,False,False,True,top-20 Tier-1 therapeutic-like percentile; pre-specified special-review gene,scorecard_supported_isolated_hypothesis,98.20627802690582,38.15396113602392,71.78624813153961,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1|special_review,True,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,95.73991031390136,91.03139013452916,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
NCOA2,True,False,False,False,top-20 Tier-1 therapeutic-like percentile,scorecard_supported_isolated_hypothesis,98.16890881913304,14.8355754857997,83.48281016442452,isolated_high_score_gene,False,priority_1_top_tier1,priority_1_top_tier1,top20_tier1,True,False,False,False,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,90.05979073243647,94.50672645739913,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SLAIN2,False,False,False,True,pre-specified special-review gene,broad_state_caution,100.0,48.13153961136024,97.98206278026906,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.43946188340809,99.2899850523169,Microtubule-associated candidate; project-specific biology remains under review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
GSK3B,False,False,False,True,pre-specified special-review gene,unsupported_or_deprioritized,99.88789237668162,14.8355754857997,92.48878923766816,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,not_promoted,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,97.75784753363229,99.2526158445441,Kinase with established tau-phosphorylation relevance; remains an isolated model hit here.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
FIP1L1,False,False,False,True,pre-specified special-review gene,broad_state_caution,99.85052316890882,67.82511210762333,97.15994020926756,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.62630792227203,98.4678624813154,RNA-processing-associated candidate; project-specific biology remains under review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
ERC1,False,False,False,True,pre-specified special-review gene,broad_state_caution,99.66367713004485,14.8355754857997,98.91629297458894,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.58893871449924,81.68908819133034,Vesicle/scaffold-associated candidate requiring cell-state-specific validation.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
KIF2A,False,False,False,True,pre-specified special-review gene,broad_state_caution,99.55156950672644,59.64125560538116,96.7488789237668,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.2526158445441,96.41255605381166,Microtubule motor regulator requiring cell-state-specific validation.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PTPN18,False,False,False,True,pre-specified special-review gene,unsupported_or_deprioritized,98.80418535127056,66.03139013452915,88.37817638266068,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,not_promoted,gliosis_penalty,high_score_or_partial_signal_with_gliosis_penalty,isolated_high_score_no_fdr_supported_neighborhood,99.2899850523169,83.37070254110613,Protein tyrosine phosphatase candidate requiring pathway-specific validation.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PLD3,False,False,False,True,pre-specified special-review gene,scorecard_supported_isolated_hypothesis,96.8609865470852,14.8355754857997,57.47384155455904,isolated_high_score_gene,False,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,91.62929745889387,85.53811659192824,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CD74,False,False,False,True,pre-specified special-review gene,scorecard_supported_isolated_hypothesis,95.73991031390136,48.729446935724965,83.25859491778775,isolated_high_score_gene,True,priority_2_special_review,priority_2_special_review,special_review,False,False,False,True,scorecard_supported_but_graph_isolated,none,balanced_cleaner_scorecard_signal,isolated_high_score_no_fdr_supported_neighborhood,94.05829596412556,86.54708520179372,Antigen-presentation pathway component.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CD4,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,89.91031390134529,78.1390134529148,92.2645739910314,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,97.38415545590432,89.8355754857997,Immune surface marker and signaling context; requires cell-state specificity review.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CTSD,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,87.33183856502242,30.194319880418536,36.99551569506727,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,49.43946188340807,85.98654708520179,Lysosomal protease linked to microglial degradative state.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
C3,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,68.16143497757847,32.62331838565022,2.6532137518684604,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,33.44544095665172,65.95665171898357,Complement pathway component with broad inflammatory context.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PLCG2,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,65.6576980568012,57.7727952167414,70.254110612855,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,93.42301943198804,18.497757847533634,Microglial immune-signaling enzyme and Alzheimer-risk biology anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
C1QA,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,64.72346786248131,33.29596412556054,68.87144992526159,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,23.916292974588934,71.37518684603886,Complement component and microglial state marker.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
TREM2,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,55.79222720478326,32.73542600896861,5.941704035874439,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,31.950672645739907,38.639760837070256,Microglial lipid-sensing receptor and Alzheimer-risk biology anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
CSF1R,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,51.71898355754858,77.20478325859492,81.57698056801196,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,97.53363228699553,12.10762331838565,Microglial survival and lineage receptor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
APOE,False,True,True,False,pre-specified prior biological anchor; broad-state/gliosis/neuron-risk caution control,broad_state_caution,51.195814648729446,90.17189835575483,96.15097159940208,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor|broad_state_caution_control,False,True,True,False,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,98.4678624813154,56.65171898355755,Lipid-transport and Alzheimer-risk biology anchor with broad microglial effects.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
TYROBP,False,True,False,False,pre-specified prior biological anchor,biological_anchor_prior_candidate,50.71001494768311,68.38565022421524,32.473841554559044,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor,False,True,False,False,prior_biological_anchor,prior_candidate_not_globally_enriched,prior_anchor_not_scorecard_promoted,no_supportive_one_hop_enrichment,81.35276532137519,43.609865470852014,Immune receptor adaptor central to microglial signaling.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
APP,False,True,True,False,pre-specified prior biological anchor; broad-state/gliosis/neuron-risk caution control,broad_state_caution,1.2331838565022422,99.10313901345292,98.4304932735426,no_graph_support,True,priority_2_prior_anchor,priority_2_prior_anchor,prior_anchor|broad_state_caution_control,False,True,True,False,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,98.3931240657698,94.95515695067265,Amyloid precursor protein; direct Alzheimer-related biological anchor.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
PAFAH1B1,False,False,True,False,broad-state/gliosis/neuron-risk caution control,broad_state_caution,99.9626307922272,99.70104633781764,99.85052316890882,isolated_high_score_gene,False,priority_3_caution_control,priority_3_caution_control,broad_state_caution_control,False,False,True,False,broad_state_caution_example,high_score_but_broad_shift_penalized,high_score_confounded_by_broad_shift,isolated_high_score_no_fdr_supported_neighborhood,99.9626307922272,99.73841554559044,Cytoskeletal/neurodevelopmental regulator with a large broad-state model shift.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
RC3H1,False,False,True,False,broad-state/gliosis/neuron-risk caution control,broad_state_caution,6.315396113602392,99.9626307922272,100.0,no_graph_support,False,priority_3_caution_control,priority_3_caution_control,broad_state_caution_control,False,False,True,False,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,100.0,99.9252615844544,RNA/immune regulatory gene with an exceptionally large but broad model-implied shift.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
HECTD1,False,False,True,False,broad-state/gliosis/neuron-risk caution control,broad_state_caution,3.699551569506727,99.32735426008968,99.43946188340809,no_graph_support,False,priority_3_caution_control,priority_3_caution_control,broad_state_caution_control,False,False,True,False,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,99.73841554559044,99.40209267563527,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
SMG1,False,False,True,False,broad-state/gliosis/neuron-risk caution control,broad_state_caution,0.336322869955157,99.81315396113602,99.70104633781764,no_graph_support,False,priority_3_caution_control,priority_3_caution_control,broad_state_caution_control,False,False,True,False,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,99.70104633781764,99.85052316890882,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
DLG1,False,False,True,False,broad-state/gliosis/neuron-risk caution control,broad_state_caution,0.2615844544095665,99.88789237668162,99.77578475336324,no_graph_support,False,priority_3_caution_control,priority_3_caution_control,broad_state_caution_control,False,False,True,False,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,99.88789237668162,99.55156950672644,Scaffold/signaling gene with a large broad-state model shift.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
POLK,False,False,True,False,broad-state/gliosis/neuron-risk caution control,broad_state_caution,0.1494768310911808,99.85052316890882,99.73841554559044,no_graph_support,False,priority_3_caution_control,priority_3_caution_control,broad_state_caution_control,False,False,True,False,broad_state_caution_example,broad_shift_penalty,broad_reactive_state_confounded,no_supportive_one_hop_enrichment,99.81315396113602,99.70104633781764,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
HDAC8,False,False,True,False,broad-state/gliosis/neuron-risk caution control,broad_state_caution,0.0747384155455904,99.9252615844544,99.88789237668162,no_graph_support,False,priority_3_caution_control,priority_3_caution_control,broad_state_caution_control,False,False,True,False,broad_state_caution_example,neuron_risk_penalty,pathology_movement_with_neuron_risk,no_supportive_one_hop_enrichment,99.9252615844544,0.0373692077727952,No project-curated biology note yet; literature review is required before promotion.,"Model-implied hypothesis only. The full feature-wide run lacked nearest-neighbor manifold checking, no candidate has FDR-supported cleaner 1-hop graph coherence, and no causal or experimental validation is claimed."
