topic,path,sha256,semantic_scope,action
resume launcher,scripts/v4/resume_full104_block_major_wsl_all_v4.sh,310297e17f8d5d4b435ffc61208f510d27fcfeb24600ec6c36c2f8de1c140e32,lossless WSL resume and mapping identity mechanics,REUSE_ENGINEERING_PATTERN_ONLY
executor validation,scripts/v4/validate_full104_block_major_gold_replicate_v1.py,500da08bc9d2583aa88121d636884a01a2dbbd06d15e92921de193ab05b0e0c4,"wrong-map, wrong-sketch, dtype, interruption and independent-finalization attacks",REUSE_ENGINEERING_PATTERN_ONLY
ALL104 execution ledger,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/shared_refit_null_sensitivity_results_v4_block_major_wsl/RUN_STATE.json,21b86a8147321265a658ee855586e10e2c91a3804009ff6217cdc1cf99da33e6,completed ALL104 run geometry and numerical gates; scientific selection closed,REUSE_ENGINEERING_PATTERN_ONLY
ALL104 performance,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/shared_refit_null_sensitivity_results_v4_block_major_wsl/BLOCK_MAJOR_PERFORMANCE.json,63da2d1b2ddace47117e4cbe8e9ddd6c07b8eec69a61b5eb92a1f598b2392836,historical IO/resource measurements for executor pattern only,REUSE_ENGINEERING_PATTERN_ONLY
WSL/CUDA preflight,outputs/full104_v014_20260826/03_phase2_state_derivation_v1/wsl_backend_preflight_v1/WSL_BACKEND_PREFLIGHT.json,6e61a2ea722b7da6675349cb15e8164c2be8dcea1b34a629c7ca14a27e6a30b8,historical WSL/CUDA discovery reusable only as an environment-check pattern; current identity not asserted,REUSE_ENGINEERING_PATTERN_ONLY
F0 metamorphic authority,outputs/contextual_teacher_target_v1_f0_implementation_20260901/CONTEXTUAL_TARGET_V1_F0_METAMORPHIC_RESULTS.json,976ae75aa2c770136b8888bf714b8113364c6560644dbafd8a4459ef832141fb,closed query-local leakage/metamorphic PASS evidence and test template,REUSE_EXACT
prior F1 reuse taxonomy,outputs/contextual_teacher_target_v1_f1_reuse_reconciliation_20260901/F1_REUSE_TAXONOMY.csv,b11f1531763ea5c3a223feef63ed2dd6d6fab1e61c2286b39b5cbcb6862d4dd7,prior explicit byte/algorithm/pattern reuse classification used for completeness reconciliation,REUSE_EXACT
contextual architecture source,src/sea_ad_jepa/v4/contextual_query_local.py,6bd641cd22c160dfbec4e1ae4a0cc31929af436526487383f290397f4f55eeaa,current query-safe constructor semantics,REUSE_EXACT
contextual F0 implementation authority,outputs/contextual_teacher_target_v1_f0_implementation_20260901/CONTEXTUAL_TARGET_V1_F0_IMPLEMENTATION_MANIFEST.json,70ef75a5397b2361640bd8c910095bc4115d4bc23af3a036bc28c061f4d3a6e8,validated current contextual constructor implementation,REUSE_EXACT
F1 forward identity counts,outputs/contextual_teacher_target_v1_f1_reader_forward_authority_freeze_20260902/F1_FUTURE_FORWARD_AUDIT.json,c10f7bd4f46631ea94943761e3df49e9f5700c9e0d083f770f127132956c74a6,metadata-only current cache/forward geometry,REUSE_EXACT
F1 evidence-mask contract,outputs/contextual_teacher_target_v1_f1_preflight_20260901/CONTEXTUAL_TARGET_V1_F1_EVIDENCE_MASK_CONTRACT.md,d1eefdab177501a00370d71521ae86932e60540fb9f769dfe2b56c7994ca5c5a,nested evidence-mask authority,REUSE_EXACT
current encoder source,src/sea_ad_jepa/v4/ipb_jepa.py,732ea46f72384f29d503de1e0cc9d853315e2493cace054cced74849aa77485a,"41,238-address, width-160, six-block/four-head backbone",REUSE_EXACT
current u0 checkpoint,exports/prod41k_teacher_t1_20260823/t1_run/t1_checkpoint_u0000.pt,19fb0c25d9f7549c37de39285807d5b6a6e828ced94af63927e83fa3c5c6b7c4,current frozen model-state bytes; tensor values not read,REUSE_EXACT
