dataset_id,collection_name,dataset_title,organism,recommended_role,allowed_for_training,allowed_for_pretraining,allowed_for_auxiliary_supervision,reserved_for_external_holdout,allowed_for_model_selection,risk_if_used_for_training,rationale,notes
d3cb449b-c2b1-4b50-a7f1-21203535fe61,A multi-region single nucleus transcriptomic atlas of Parkinson’s disease,Parkinson's disease,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
d7f5d8d0-6150-48d7-b094-c34286ad11a1,An integrated transcriptomic cell atlas of human neural organoids,HNOCA Extended: The Human Neural Organoid Atlas,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
3a805b8d-c9d8-4c9b-881f-0eefa635974d,An integrated transcriptomic cell atlas of human neural organoids,The Human Neural Organoid Atlas,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
5c97eeeb-7e52-44b3-b010-b832b1f5424c,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,HBCC_Cohort,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),Homo sapiens,already_used_plausibility_only,False,False,False,False,False,already-used provenance prevents clean external validation,resembles already-used v1/v2 provenance; plausibility only,No CELLxGENE dataset is allowed for model selection in this audit.
c2876b1b-06d8-4d96-a56b-5304f815b99a,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),Homo sapiens,already_used_plausibility_only,False,False,False,False,False,already-used provenance prevents clean external validation,resembles already-used v1/v2 provenance; plausibility only,No CELLxGENE dataset is allowed for model selection in this audit.
4442d412-91cb-4261-acca-8adf5fa04c11,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,Aging_Cohort,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
b165f033-9dec-468a-9248-802fc6902a74,Human Brain Cell Atlas v1.0,All non-neuronal cells,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
fa27492b-82ff-4ab7-ac61-0e2b184eee67,A human cell atlas of fetal gene expression,Survey of human embryonic development (1 million cells subset),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
1a38e762-2465-418f-b81c-6a4bce261c34,Single-cell analysis of prenatal and postnatal human cortical development,Single-cell analysis of prenatal and postnatal human cortical development,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
3c364ffe-d599-44d5-a77f-6c5fd7038cf6,Single cell atlas of the human optic nerve,snRNA-seq of human optic nerve and optic nerve head - all cells,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
ae4f8ddd-cac9-4172-9681-2175da462f2e,Human developing neocortex by area,Second Trimester Human Developing Brain Regions and Cortical Areas,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
a2c833f7-b7f1-4f4d-ad31-cae478b601b7,HYPOMAP: A comprehensive spatio-cellularmap of the human hypothalamus,Human HYPOMAP single-nucleus data,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
ac0c6561-7a48-4185-af6f-af799f699172,Cross-dementia human brain snRNA-seq (Rexach et al 2024),All Cells - snRNA-seq,Homo sapiens,already_used_plausibility_only,False,False,False,False,False,already-used provenance prevents clean external validation,resembles already-used v1/v2 provenance; plausibility only,No CELLxGENE dataset is allowed for model selection in this audit.
8d1dd010-5cbc-43fb-83f8-e0de8e8517da,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary visual cortex(V1),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
aa369999-a034-4ad9-b459-8a93c86ea77b,Molecular and cellular dynamics of the developing human neocortex at single-cell resolution,snMultiome data of the developing human neocortex,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
bab7432a-5cfe-45ea-928c-422d03c45cdd,Cellular development and evolution of the mammalian cerebellum,snRNA-seq data for human cerebella from 9-12 developmental stages,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
3c361813-5d5e-4868-bfe5-e7591e7b5381,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,Single-nucleus transcriptome data from the dlPFC: Human,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
19f1bec6-eeb7-4133-accc-992d745fef89,Chromatin accessibility during human first-trimester neurodevelopment,Full_Dataset,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
98f5d518-1e60-4307-b732-ab045cd3cbc2,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls","Frontal cortex samples from C9-ALS, C9-ALS/FTD and age matched control brains",Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
58f43044-cd3c-42b8-bc0b-3498eb236359,Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception,All_cells,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
2bdd3a2c-2ff4-4314-adf3-8a06b797a33a,Comparative transcriptomics reveals human-specific cortical features,Human: Great apes study,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
93cb76aa-a84b-4a92-8e6c-66a914e26d4c,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary somatosensory cortex (S1),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
015c230d-650c-4527-870d-8a805849a382,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Middle temporal gyrus (MTG),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
e2808a6e-e2ea-41b9-b38c-4a08f1677f02,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary auditory cortex(A1),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
be401db3-d732-408a-b0c4-71af0458b8ab,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Anterior cingulate cortex (ACC),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
0bc7235a-ae5a-479d-a487-510435377e55,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls","Occipital cortex samples from C9-ALS, C9-ALS/FTD and age matched control brains",Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
5bdc423a-59e6-457d-aa01-debd2c9c564f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary motor cortex (M1),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
716a4acc-919e-4326-9672-ebe06ede84e6,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Dorsolateral prefrontal cortex (DFC),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
3b8b5de4-3aa1-4ac6-8890-8d03c8219981,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",Frontal cortex samples from C9-FTD and age matched control brains,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
f5b0810c-1664-4a62-ad06-be1d9964aa8b,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Angular gyrus (AnG),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
5346f9c6-755e-4336-94cc-38706ec00c2f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Supercluster: Non-neuronal cells,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
e1f595f6-ba2c-495e-9bee-7056f116b1e4,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
ecce9688-66ea-4600-98f7-84aed7421c01,Protracted Neuronal Recruitment in the Temporal Lobe of Young Children,Subpallial germinal zones and the developing human entorhinal cortex,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
56a4bc14-9407-45fd-8786-f7f6fc87c9dd,Simultaneous profiling of transcription and chromatin accessibility at the single-cell level for postnatal human brain development,Postnatal human brain development: RNA,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
c893ddc3-f25b-45e2-8c9e-155918b4261c,Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs,Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
4976b234-9028-4b4b-8a2f-8ac59d636219,Human Brain Cell Atlas v1.0,Dissection: Cerebellum (CB) - Cerebellar Vermis - CBV,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
b2dda353-0c96-42df-8dcd-1ea7429a6feb,Spatial and cell type transcriptional landscape of human cerebellar development,Cerebellum,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",Occipital cortex samples from C9-FTD and age matched control brains,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
9f1a899f-05a0-44c5-8aa9-39df61ae4324,Transcriptomic Analysis of the Ocular Posterior Segment Completes a Cell Atlas of the Human Eye,Transcriptome of human posterior ocular segment,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
52f18bc3-52d9-487b-bf8f-f0b7aa684b09,Human Brain Cell Atlas v1.0,Dissection: Midbrain (M) - Substantia Nigra - SN,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
9f499d32-400d-4c42-ac9a-fb1481844fee,Human Brain Cell Atlas v1.0,Dissection: Tail of Hippocampus (HiT) - Caudal Hippocampus - CA4-DGC,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
095940cb-7422-4510-96e2-cbafd961eb88,Human Brain Cell Atlas v1.0,Dissection: Cerebellum (CB) - Cerebellar deep nuclei - CbDN,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
18500fcd-9960-49cb-8a8e-7d868dc14efe,Human Brain Cell Atlas v1.0,Dissection: Basal nuclei (BN) - Globus pallidus (GP) - External segment of globus pallidus - GPe,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
52ea546e-9229-40ef-b048-a2e694dd73e8,Human Brain Cell Atlas v1.0,"Dissection: Cerebral cortex (Cx) - Anterior parahippocampal gyrus, posterior part (APH) - Medial entorhinal cortex - MEC",Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
7c1c3d47-3166-43e5-9a95-65ceb2d45f78,Human Brain Cell Atlas v1.0,Dissection: Pons (Pn) - Pontine reticular formation - PnRF,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
a5d5c529-8a1f-40b5-bda3-35208970070d,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Human Multiple Cortical Areas SMART-seq,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
9ec34295-ab16-47e2-af33-b884143e520b,Human Brain Cell Atlas v1.0,"Dissection: Midbrain (M) - Substantia Nigra, Red Nucleus, and nearby nuclei - SN-RN",Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
d2514440-d747-4d8d-b2c7-b58ef8b71fbe,Human Brain Cell Atlas v1.0,Dissection: Thalamus (THM) - posterior nuclear complex of thalamus (PoN) - lateral geniculate nucleus (LG),Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
900fdf13-150d-4695-9f8c-4c09105ba2eb,Human Brain Cell Atlas v1.0,Dissection: Pons (Pn) - efferent nuclei of cranial nerves in pons - PnEN,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
ecd9230d-c571-4dab-abd3-8b54c74833f0,Human Brain Cell Atlas v1.0,Dissection: Thalamus (THM) - lateral nuclear complex of thalamus (LNC) - Pulvinar of thalamus - Pul,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
53ce2631-3646-4172-bbd9-38b0a44d8214,Multi-omic profiling of the developing human cerebral cortex at the single cell level,10x scRNA-seq from human cortex,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
7db0c178-b0a4-442f-ba54-e9e1633a84bb,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Parietal operculum (PaO) - Gustatory cortex - A43,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
7b316f62-7fa0-4b95-bac9-e90866038a85,Human Brain Cell Atlas v1.0,Dissection: Amygdaloid complex (AMY) - Central nuclear group - CEN,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
19b21f40-db42-4a71-a0d6-913e83b17784,Human Brain Cell Atlas v1.0,Dissection: Head of hippocampus (HiH) - Tail of Hippocampus (HiT) - Subicular cortex - Sub,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
70e4f35b-c98c-45a1-9aa9-2053b07315dd,Human Brain Cell Atlas v1.0,Dissection: Basal forebrain (BF) - septal nuclei - SEP,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
a19b218b-1c0a-4618-b41f-7c216c623ec6,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Posterior parahippocampal gyrus (PPH) - TH-TL,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
88a01d4a-5197-45be-b5ae-e019aef43376,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Superior Temporal Gyrus - STG,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
715327a6-7978-4896-ba91-69d6b04dbbfb,Human Brain Cell Atlas v1.0,Dissection: Body of hippocampus (HiB) - Rostral DG-CA4,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
31f04740-c712-4c4b-a3f8-55c0506b3034,Human Brain Cell Atlas v1.0,Dissection: Claustrum - Cla,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
27d91086-cfe3-4e33-9282-bd1246e5ce8e,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Long insular gyri (LIG) - Dysgranular insular cortex - Idg,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
acae7679-d077-461c-b857-ee6ccfeb267f,Human Brain Cell Atlas v1.0,Dissection: Head of hippocampus (HiH) - Uncal CA1,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
d288b10a-643e-44bd-b451-96e9588b2ee5,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Supramarginal gyrus (SMG) - A40,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
949ec7fc-ac54-47c9-bb6f-ee9e67688cce,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Short insular gyri - Granular insular cortex - Ig,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
1185a7d3-a9c1-4280-9ba5-d61895b15cac,Human Brain Cell Atlas v1.0,Dissection: Amygdaloid complex (AMY) - corticomedial nuclear group - CMN,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
6ed0bb6c-a9e3-4ba6-9436-7c8fd4e206f0,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Inferior frontal gyrus (IFG) - Ventrolateral prefrontal cortex - A44-A45,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
43b7e156-65b3-4a7b-8c7a-08528e4b21d0,Human Brain Cell Atlas v1.0,Dissection: Basal forebrain (BF) - substantia innominata and nearby nuclei - SI,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
56c33a38-2732-4e53-a9c1-1bc61eda9a99,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Postcentral gyrus (PoCG) - Primary somatosensory cortex - S1C,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
3f56901c-dd4a-47d6-b60b-7b0c0111cfb2,Human Brain Cell Atlas v1.0,Dissection: Head of hippocampus (HiH) - Uncal CA1-CA3,Homo sapiens,self_supervised_pretraining_candidate,True,True,False,False,False,standard leakage/QC risk; freeze role before use,metadata candidate from CELLxGENE Census,No CELLxGENE dataset is allowed for model selection in this audit.
