microglia_state,module_name,n_cells,mean_cell_module_score,high_cell_fraction,safe_interpretation,unsafe_claims_to_avoid
Lymphocyte,endolysosomal_autophagy_proteostasis,855,0.40402960777282715,0.0035087719298245615,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_3-SEAAD,endolysosomal_autophagy_proteostasis,9019,0.7305060625076294,0.06863288612928263,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_3-SEAAD,glial_activation_dam_like,9019,0.3123646676540375,0.04379642975939683,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_3-SEAAD,oxidative_stress_antioxidant,9019,0.502467691898346,0.09768266991905976,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_2_3-SEAAD,inflammatory_transport_state_modulation,9019,0.13228736817836761,0.09003215434083602,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_3-SEAAD,endolysosomal_autophagy_proteostasis,5107,0.9010818004608154,0.20031329547679655,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_3-SEAAD,glial_activation_dam_like,5107,0.5276734828948975,0.21969845310358332,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_3-SEAAD,oxidative_stress_antioxidant,5107,0.5510261058807373,0.1078911298218132,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_3-SEAAD,inflammatory_transport_state_modulation,5107,0.175550177693367,0.12316428431564519,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_4-SEAAD,endolysosomal_autophagy_proteostasis,422,0.847042441368103,0.18246445497630331,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_4-SEAAD,glial_activation_dam_like,422,0.5007565021514893,0.2037914691943128,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_4-SEAAD,oxidative_stress_antioxidant,422,0.9845411777496338,0.36492890995260663,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Micro-PVM_4-SEAAD,inflammatory_transport_state_modulation,422,0.12750424444675446,0.11137440758293839,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Monocyte,endolysosomal_autophagy_proteostasis,260,0.9744769334793091,0.2653846153846154,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Monocyte,glial_activation_dam_like,260,0.27852755784988403,0.007692307692307693,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Monocyte,oxidative_stress_antioxidant,260,1.0778019428253174,0.35,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
Monocyte,inflammatory_transport_state_modulation,260,0.3149344325065613,0.29615384615384616,state-level module activity summary for follow-up; not causal,new subtype discovery; therapeutic target; validated mechanism
