stage68_input,priority,role,recommended_action
results/archive/old_stage_c_sweeps/tables/stage_c_fine_loose_05_r020_cov001_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_01_r003_cov00025_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_02_r003_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_03_r005_cov00025_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_04_r005_cov00075_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_05_r008_cov00025_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_06_r008_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_narrow_07_r008_cov00075_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_safety_01_r00475_cov0004_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_safety_02_r00475_cov0005_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_safety_03_r005_cov00035_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_fine_safety_04_r005_cov0004_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_upgrade_01_projector_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
results/archive/old_stage_c_sweeps/tables/stage_c_upgrade_02_projector_pathology_epoch_005_coordinates.csv,medium,legacy_cell_artifact,intersect_with_stage64_rare_cells_and_compare_embeddings_or_scores
data/external_pretraining/stage32c/stage32c_human_external_pretraining_matrix.h5ad,low,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/external_pretraining/stage34a/stage34a_hbca_microglia_filtered_pretraining_matrix.h5ad,low,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/external_pretraining/stage34b/stage34b_hbcc_external_pretraining_matrix.h5ad,low,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
data/raw/snrna/SEAAD_MTG_RNAseq_final-nuclei.2024-02-13.h5ad,low,expression_h5ad,use for same-donor high-vs-low rare-cell expression contrast if cell/donor mapping matches
