dataset_id,dataset_name,aliases,stage37a_candidate_role,stage37a_clean_validation_eligible,stage37a_requires_manual_review,stage37a_clean_validation_disqualified,stage37b_decision,stage37b_allowed_use,stage37b_disallowed_use,reason_for_decision,required_manual_evidence_before_upgrade,pathology_targets_supported,frozen_mechanisms_supported,validation_readout_availability,contamination_risk,priority_for_pi_review,recommended_next_action
GSE147528,Candidate public external brain snRNA/scRNA dataset,GSE147528;Candidate public external brain snRNA/scRNA dataset;GEO,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
GSE203206,Bulk donor/sample-level external stress test,GSE203206;Bulk donor/sample-level external stress test;GEO,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
GSE98969,Mouse DAM/microglia auxiliary candidate,GSE98969;Mouse DAM/microglia auxiliary candidate;GEO,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
GSE181279,Peripheral immune plausibility/auxiliary dataset,GSE181279;Peripheral immune plausibility/auxiliary dataset;GEO,projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
GSE127893,Mouse subseries review required,GSE127893;Mouse subseries review required;GEO,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
37a17b78-4864-4a42-b67b-31c00962795a,MSSM_Cohort,37a17b78-4864-4a42-b67b-31c00962795a;MSSM_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
5e57cd50-8e42-42d6-940d-5c1660d06864,RADC_Cohort,5e57cd50-8e42-42d6-940d-5c1660d06864;RADC_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
cff99df2-4904-44f7-9173-ff837f95606e,all cells,cff99df2-4904-44f7-9173-ff837f95606e;all cells;CELLxGENE;Molecular Signatures of Resilience to Alzheimer disease in Neocortical Layer 4 Neurons,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
203025fe-fa99-4d57-81da-458ed8f0c334,Brain vascular single-cell multi-omics disease-risk snRNA-seq,203025fe-fa99-4d57-81da-458ed8f0c334;Brain vascular single-cell multi-omics disease-risk snRNA-seq;CELLxGENE;Brain vascular single-cell multi-omics elucidates disease risk associations,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Full Dataset,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16;Full Dataset;CELLxGENE;Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
fe2eecbc-977a-4aec-9196-f89c3281d11c,Microglia,fe2eecbc-977a-4aec-9196-f89c3281d11c;Microglia;CELLxGENE;Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,requires_manual_review,False,True,False,manual_metadata_review_required,candidate validation resource only after PI/manual approval,clean validation before explicit approval,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.","verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,unknown_until_metadata_review,high,collect metadata and PI approval packet
b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,b165f033-9dec-468a-9248-802fc6902a74;All non-neuronal cells;CELLxGENE;Human Brain Cell Atlas v1.0,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
5c97eeeb-7e52-44b3-b010-b832b1f5424c,HBCC_Cohort,5c97eeeb-7e52-44b3-b010-b832b1f5424c;HBCC_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
4442d412-91cb-4261-acca-8adf5fa04c11,Aging_Cohort,4442d412-91cb-4261-acca-8adf5fa04c11;Aging_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
Olah_live_microglia,Olah live human microglia,Olah_live_microglia;Olah live human microglia;CELLxGENE;Live Human Microglia Single-cell RNA-seq,projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
ac0c6561-7a48-4185-af6f-af799f699172,All Cells - snRNA-seq,ac0c6561-7a48-4185-af6f-af799f699172;All Cells - snRNA-seq;CELLxGENE;Cross-dementia human brain snRNA-seq (Rexach et al 2024),projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
SEA_AD_CELLXGENE_DLPFC,Whole Taxonomy - DLPFC,SEA_AD_CELLXGENE_DLPFC;Whole Taxonomy - DLPFC;CELLxGENE;SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,excluded_or_contaminated,False,False,True,reject_for_clean_validation,internal context or source-domain interpretation only,clean external validation,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
SEA_AD_CELLXGENE_MTG,Whole Taxonomy - MTG,SEA_AD_CELLXGENE_MTG;Whole Taxonomy - MTG;CELLxGENE;SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,excluded_or_contaminated,False,False,True,reject_for_clean_validation,internal context or source-domain interpretation only,clean external validation,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
Tabula_Sapiens_immune,Tabula Sapiens - Immune,Tabula_Sapiens_immune;Tabula Sapiens - Immune;CELLxGENE;Tabula Sapiens,projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
Tabula_Sapiens_myeloid,Tabula Sapiens myeloid/immune cells,Tabula_Sapiens_myeloid;Tabula Sapiens myeloid/immune cells;CELLxGENE;Tabula Sapiens,projection_or_signature_support,False,True,True,reject_for_clean_validation,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,"verify pathology/mechanism readout, gene/module measurements, metadata, donor/sample independence, and no use in model/candidate/threshold choices",not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
mouse_isocortex_hippocampus,Mouse isocortex and hippocampal formation taxonomy,mouse_isocortex_hippocampus;Mouse isocortex and hippocampal formation taxonomy;CELLxGENE;A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
mouse_brain_aging_atlas,BrainAgingSpatialAtlas_snRNAseq,mouse_brain_aging_atlas;BrainAgingSpatialAtlas_snRNAseq;CELLxGENE;Molecular and spatial signatures of mouse brain aging at single-cell resolution,excluded_or_contaminated,False,False,True,reject_for_clean_validation,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,none for clean validation; may be used only in allowed non-clean role if specified,not_confirmed_by_stage37b,not_confirmed_by_stage37b,not_confirmed,disqualified,low,do_not_use_for_clean_validation
