evidence_id,source_version,stage,file_path,evidence_type,candidate_gene_present,module_present,network_present,perturbation_present,drug_mapping_present,external_support_present,claim_risk,notes
E001,v1,,results\reports\discovery_final_candidate_shortlist_v1.md,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E039,unknown,,results\tables\cellxgene_normal_microglia_anchor_qc.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E040,unknown,,results\tables\cellxgene_normal_microglia_assay_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E041,unknown,,results\tables\cellxgene_normal_microglia_dataset_id_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E042,unknown,,results\tables\cellxgene_normal_microglia_development_stage_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E043,unknown,,results\tables\cellxgene_normal_microglia_disease_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E044,unknown,,results\tables\cellxgene_normal_microglia_donor_id_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E045,unknown,,results\tables\cellxgene_normal_microglia_matched_genes.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E046,unknown,,results\tables\cellxgene_normal_microglia_missing_genes.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E047,unknown,,results\tables\cellxgene_normal_microglia_suspension_type_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E048,unknown,,results\tables\cellxgene_normal_microglia_tissue_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E049,unknown,,results\tables\cellxgene_normal_microglia_tissue_general_counts.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E050,v1,,results\tables\discovery_ablation_artifact_inventory_v1.csv,in_silico_perturbation_or_counterfactual,False,False,False,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E051,v1,,results\tables\discovery_ablation_training_decision_packet_v1.csv,in_silico_perturbation_or_counterfactual,False,False,False,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E052,v1,,results\tables\discovery_ablation_training_protocol_v1.csv,in_silico_perturbation_or_counterfactual,False,False,False,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E053,v1,,results\tables\discovery_candidate_scorecard_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E054,v1,,results\tables\discovery_final_candidate_shortlist_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E055,v2,,results\tables\discovery_final_candidate_shortlist_v2.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E056,v3,,results\tables\discovery_final_candidate_shortlist_v3.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E057,unknown,,results\tables\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E058,unknown,,results\tables\discovery_pilot_feature_wide_pathology_axis_counterfactuals.csv,in_silico_perturbation_or_counterfactual,False,False,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E059,v1,,results\tables\existing_v1_no_graph_ablation_compatibility_v1.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E060,unknown,,results\tables\gse138852_graph_jepa_zero_shot_aligned_sea_ad_trajectory_vectors.csv,cell_state_or_disease_axis,False,False,True,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E061,unknown,,results\tables\gse138852_graph_jepa_zero_shot_aligned_trajectory_scores.csv,cell_state_or_disease_axis,False,False,True,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E062,unknown,,results\tables\gse138852_graph_jepa_zero_shot_baseline_sea_ad_trajectory_vectors.csv,cell_state_or_disease_axis,False,False,True,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E063,unknown,,results\tables\gse138852_graph_jepa_zero_shot_baseline_trajectory_scores.csv,cell_state_or_disease_axis,False,False,True,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E064,unknown,,results\tables\microglia_pvm_jepa_all_module_preserved_cell_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E065,unknown,,results\tables\microglia_pvm_jepa_all_module_preserved_donor_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E066,unknown,,results\tables\microglia_pvm_jepa_all_module_preserved_e100_cell_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E067,unknown,,results\tables\microglia_pvm_jepa_all_module_preserved_e100_donor_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E068,unknown,,results\tables\microglia_pvm_jepa_all_module_preserved_e100_embedding_ridge.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E069,unknown,,results\tables\microglia_pvm_jepa_all_module_preserved_embedding_ridge.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E070,unknown,,results\tables\microglia_pvm_jepa_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E071,unknown,,results\tables\microglia_pvm_jepa_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E072,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E073,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E074,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E075,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E076,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E077,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E078,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E079,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E080,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E081,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E082,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E083,unknown,,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E084,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E085,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E086,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E087,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E088,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E089,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E090,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E091,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E092,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E093,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E094,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E095,unknown,,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E096,unknown,,results\tables\microglia_pvm_jepa_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E097,unknown,,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_cell_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E098,unknown,,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_donor_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E099,unknown,,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_embedding_ridge.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E100,unknown,,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_cell_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E101,unknown,,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_donor_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E102,unknown,,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_embedding_ridge.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E103,unknown,,results\tables\microglia_pvm_jepa_mixed_cell_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E104,unknown,,results\tables\microglia_pvm_jepa_mixed_donor_embeddings.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E105,unknown,,results\tables\microglia_pvm_jepa_mixed_embedding_ridge.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E106,unknown,,results\tables\microglia_pvm_jepa_module_preserved_cell_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E107,unknown,,results\tables\microglia_pvm_jepa_module_preserved_donor_embeddings.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E108,unknown,,results\tables\microglia_pvm_jepa_module_preserved_embedding_ridge.csv,cell_state_or_disease_axis,False,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E109,unknown,,results\tables\microglia_pvm_model_comparison.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E110,unknown,,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E111,unknown,,results\tables\microglia_pvm_percent_AT8_gene_set_scores.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E112,unknown,,results\tables\microglia_pvm_pseudobulk_ridge_1000genes.csv,cell_state_or_disease_axis,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E113,v1,,results\tables\no_graph_ablation_predictive_representation_comparison_v1.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E114,v1,,results\tables\no_graph_ablation_preflight_v1.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E115,v1,,results\tables\no_graph_ablation_training_run_manifest_v1.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E116,unknown,,results\tables\pathology_head_gene_counterfactual_donor.csv,in_silico_perturbation_or_counterfactual,True,False,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E117,unknown,,results\tables\pathology_head_gene_counterfactual_summary.csv,in_silico_perturbation_or_counterfactual,True,False,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E118,unknown,,results\tables\pathology_head_module_counterfactual_donor.csv,in_silico_perturbation_or_counterfactual,False,True,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E119,unknown,,results\tables\pathology_head_module_counterfactual_summary.csv,in_silico_perturbation_or_counterfactual,False,True,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E120,unknown,,results\tables\perturbseq_streaming_validation.csv,external_support_or_readiness,False,False,False,False,False,True,high,local synthesis evidence; claims remain hypothesis-generating
E121,unknown,,results\tables\sea_ad_low_pathology_microglia_pvm_relaxed_subset_summary.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E122,unknown,,results\tables\sea_ad_low_pathology_microglia_pvm_strict_subset_summary.csv,cell_state_or_disease_axis,False,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E123,v1,,results\tables\shuffled_graph_ablation_preflight_v1.csv,in_silico_perturbation_or_counterfactual,False,False,True,True,False,False,high,local synthesis evidence; claims remain hypothesis-generating
E124,unknown,STAGE27,results\tables\stage27_external_matrix_readiness_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E125,v3,STAGE32,results\tables\stage32_external_cell_sample_summary_v1.csv,cell_state_or_disease_axis,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E126,v3,STAGE32,results\tables\stage32_external_dataset_role_audit_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E127,v3,STAGE32,results\tables\stage32_external_gene_overlap_v1.csv,external_support_or_readiness,True,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E128,v3,STAGE32,results\tables\stage32_external_holdout_protection_audit_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E129,v3,STAGE32,results\tables\stage32_external_matrix_inventory_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E130,v3,STAGE32,results\tables\stage32_external_pretraining_build_pass_fail_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E131,v3,STAGE32,results\tables\stage32_external_pretraining_matrix_manifest_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E132,v3,STAGE32B,results\tables\stage32b_candidate_download_plan_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E133,v3,STAGE32C,results\tables\stage32c_candidate_matrix_recommendations_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E134,v3,STAGE32C,results\tables\stage32c_metadata_field_mapping_candidates_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E135,v3,STAGE33A,results\tables\stage33a_external_pretrained_pass_fail_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E136,v3,STAGE33B,results\tables\stage33b_external_pretraining_audit_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E137,v3,STAGE33C,results\tables\stage33c_external_pretraining_diagnostic_audit_v1.csv,external_support_or_readiness,False,False,False,False,False,True,moderate,local synthesis evidence; claims remain hypothesis-generating
E138,v3,STAGE35D,results\tables\stage35d_perturbation_resource_audit_v1.csv,in_silico_perturbation_or_counterfactual,False,False,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E139,v3,STAGE36A,results\tables\stage36a_agent_ranked_hypotheses_v1.csv,other_context,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E140,v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E141,v3,STAGE36A,results\tables\stage36a_module_counterfactual_scores_v1.csv,in_silico_perturbation_or_counterfactual,False,True,False,True,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E142,v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E143,v3,STAGE36C,results\tables\stage36c_ranked_gene_hypotheses_v1.csv,other_context,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E144,v3,STAGE36C,results\tables\stage36c_ranked_module_hypotheses_v1.csv,other_context,True,True,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E145,v3,STAGE36C,results\tables\stage36c_target_level_hypothesis_summary_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E146,v3,STAGE36D,results\tables\stage36d_candidate_shortlist_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E147,v3,STAGE36E,results\tables\stage36e_frozen_mechanism_registry_v1.csv,other_context,True,True,True,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E148,v3,STAGE36E,results\tables\stage36e_mechanism_to_assay_map_v1.csv,other_context,True,True,True,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E149,v3,STAGE36E,results\tables\stage36e_priority_candidate_registry_v1.csv,candidate_or_mechanism,True,False,False,False,False,False,moderate,local synthesis evidence; claims remain hypothesis-generating
E150,v3,STAGE37B,results\tables\stage37b_candidate_validation_route_v1.csv,external_support_or_readiness,True,False,False,False,False,True,high,local synthesis evidence; claims remain hypothesis-generating
