source_version,source_stage,source_file,perturbation_type,gene_or_module,latent_effect_reported,pathology_probe_effect_reported,graph_specific_control_reported,external_support_reported,safe_interpretation,unsafe_interpretation
v1,,results\tables\discovery_ablation_artifact_inventory_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\discovery_ablation_training_decision_packet_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\discovery_ablation_training_protocol_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\discovery_candidate_scorecard_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\discovery_final_candidate_shortlist_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\discovery_final_candidate_shortlist_v2.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,,results\tables\discovery_final_candidate_shortlist_v3.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\discovery_graph_connected_feature_wide_pathology_axis_counterfactuals.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\discovery_pilot_feature_wide_pathology_axis_counterfactuals.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\existing_v1_no_graph_ablation_compatibility_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\no_graph_ablation_predictive_representation_comparison_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\no_graph_ablation_preflight_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\no_graph_ablation_training_run_manifest_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\pathology_head_gene_counterfactual_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\pathology_head_gene_counterfactual_summary.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\pathology_head_module_counterfactual_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
unknown,,results\tables\pathology_head_module_counterfactual_summary.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\shuffled_graph_ablation_preflight_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE32B,results\tables\stage32b_candidate_download_plan_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE32C,results\tables\stage32c_candidate_matrix_recommendations_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE32C,results\tables\stage32c_metadata_field_mapping_candidates_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE35D,results\tables\stage35d_perturbation_resource_audit_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE36A,results\tables\stage36a_gene_hypothesis_scores_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE36A,results\tables\stage36a_module_counterfactual_scores_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE36B,results\tables\stage36b_hypothesis_grounding_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE36C,results\tables\stage36c_target_level_hypothesis_summary_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE36D,results\tables\stage36d_candidate_shortlist_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE36E,results\tables\stage36e_priority_candidate_registry_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE37C,results\tables\stage37c_f_candidate_gene_mapping_matrix_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE39A,results\tables\stage39a_metadata_column_candidates_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE39B,results\tables\stage39b_lph_candidate_interpretation_audit_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE39D,results\tables\stage39d_block_ablation_results_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE39F,results\tables\stage39f_candidate_model_registry_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE39H,results\tables\stage39h_feature_block_ablation_registry_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE40B,results\tables\stage40b_best_candidate_summary_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE41C,results\tables\stage41c_candidate_registry_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE41D,results\tables\stage41de_candidate_registry_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE42,results\tables\stage42_candidate_feature_registry_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE44,results\tables\stage44_publication_table_5_mechanism_candidates_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\tables\stage47_candidate_evidence_tiers_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\tables\stage47_candidate_gene_consensus_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\tables\stage47_candidate_module_consensus_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\tables\stage47_candidate_network_consensus_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\tables\stage47_in_silico_perturbation_consensus_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v3,STAGE47,results\tables\stage47_in_silico_perturbation_inventory_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,STAGE47,results\tables\stage47_v1_v2_v3_candidate_gene_inventory_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\strict_shuffled_graph_ablation_predictive_representation_comparison_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\strict_shuffled_graph_ablation_preflight_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\strict_shuffled_graph_ablation_training_run_manifest_v1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\v1_hypothesis_candidate_genes.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v1,,results\tables\v1_hypothesis_candidate_modules.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_multitarget_gene_counterfactual_long.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_multitarget_gene_counterfactual_summary.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_multitarget_module_counterfactual_long.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_multitarget_module_counterfactual_summary.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_neun.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_neun_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_gfap.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_gfap_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_iba1.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
v2,,results\tables\v2_1_upgrade_fine_08_module_counterfactual_iba1_by_donor.csv,model-based in-silico perturbation/counterfactual or candidate sensitivity evidence,see candidate inventory,reported if present in source file; not recalculated in Stage47,reported if present; not validation,requires explicit source-file controls; not assumed,see Stage38/42 support tables,model-based in-silico perturbation / ablation-like sensitivity,validated gene ablation or causal proof
