path,size_bytes,extension,keyword_hits,scanned,exclusion_reason
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_cell_embeddings.csv,61585736,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_donor_embeddings.csv,137035,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_embedding_ridge.csv,1701,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_cell_embeddings.csv,61740923,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_donor_embeddings.csv,137467,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_embedding_ridge.csv,1693,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_cell_embeddings.csv,61879365,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_donor_embeddings.csv,138107,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_embedding_ridge.csv,1703,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_cell_embeddings.csv,61959919,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_donor_embeddings.csv,138566,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_embedding_ridge.csv,1698,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_cell_embeddings.csv,61586381,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_donor_embeddings.csv,136915,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_embedding_ridge.csv,1705,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_cell_embeddings.csv,61745341,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_donor_embeddings.csv,137506,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_embedding_ridge.csv,1699,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_cell_embeddings.csv,61882912,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_donor_embeddings.csv,138150,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_embedding_ridge.csv,1702,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_cell_embeddings.csv,61959516,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_donor_embeddings.csv,138460,.csv,microglia,True,
results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_embedding_ridge.csv,1696,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_embedding_ridge.csv,1693,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_cell_embeddings.csv,62196625,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_donor_embeddings.csv,142084,.csv,microglia,True,
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_embedding_ridge.csv,1704,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_cell_embeddings.csv,62197824,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_donor_embeddings.csv,142596,.csv,microglia,True,
results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_embedding_ridge.csv,1693,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_mixed_cell_embeddings.csv,15522488,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_mixed_donor_embeddings.csv,137737,.csv,microglia,True,
results\tables\microglia_pvm_jepa_mixed_embedding_ridge.csv,1677,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_jepa_module_preserved_cell_embeddings.csv,15554599,.csv,,False,file_exceeds_size_limit
results\tables\microglia_pvm_jepa_module_preserved_donor_embeddings.csv,138145,.csv,microglia,True,
results\tables\microglia_pvm_jepa_module_preserved_embedding_ridge.csv,1687,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_model_comparison.csv,11419,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,1139444,.csv,AD;APOE;DAM;GFAP;GO;microglia;tau,True,
results\tables\microglia_pvm_percent_AT8_gene_set_scores.csv,421,.csv,APOE;TREM2;complement;interferon;microglia,True,
results\tables\microglia_pvm_pseudobulk_ridge_1000genes.csv,1698,.csv,GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\pathology_head_gene_counterfactual_donor.csv,279996,.csv,AD;APOE;GFAP;Iba1;NeuN;TREM2;chemokine;microglia,True,
results\tables\pathology_head_gene_counterfactual_summary.csv,6165,.csv,AD;APOE;GFAP;Iba1;NeuN;TREM2;chemokine;microglia,True,
results\tables\pathology_head_module_counterfactual_donor.csv,306974,.csv,AD;GFAP;GO;Iba1;NeuN;chemokine;complement;interferon;lysosome;microglia;phagocytosis,True,
results\tables\pathology_head_module_counterfactual_summary.csv,7393,.csv,AD;APOE;GFAP;GO;Iba1;NeuN;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\pathology_head_stage_b_frozen_donor_embeddings.csv,125173,.csv,AD,True,
results\tables\pathology_head_stage_b_lp_metrics.csv,1019,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\pathology_head_stage_b_lp_oof_predictions.csv,80346,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\sea_ad_full_metadata_covariate_audit.csv,8198,.csv,AD;APOE;Alzheimer;tau,True,
results\tables\sea_ad_full_metadata_targets_with_covariates.csv,63304,.csv,AD;APOE;Alzheimer;GFAP;Iba1;NeuN;tau,True,
results\tables\sea_ad_low_pathology_anchor_audit_donors.csv,30175,.csv,AD;APOE;Alzheimer;GFAP;Iba1;NeuN;microglia;tau,True,
results\tables\sea_ad_low_pathology_anchor_audit_summary.csv,2290,.csv,AD;GFAP;Iba1;NeuN;microglia,True,
results\tables\sea_ad_low_pathology_microglia_pvm_relaxed_subset_summary.csv,178,.csv,AD;microglia,True,
results\tables\sea_ad_low_pathology_microglia_pvm_strict_subset_summary.csv,82,.csv,AD;microglia,True,
results\tables\stage27_external_matrix_readiness_v1.csv,2564,.csv,AD;DAM;microglia,True,
results\tables\stage32b_candidate_download_plan_v1.csv,2543,.csv,AD;DAM;microglia,True,
results\tables\stage32b_metadata_schema_audit_v1.csv,3583,.csv,AD;microglia,True,
results\tables\stage32c_approved_dataset_download_plan_v1.csv,876,.csv,AD,True,
results\tables\stage32c_download_manifest_v1.csv,492,.csv,AD,True,
results\tables\stage32c_metadata_field_mapping_candidates_v1.csv,349,.csv,AD,True,
results\tables\stage_a_frozen_cellxgene_normal_microglia_coordinates.csv,14703992,.csv,,False,file_exceeds_size_limit
results\tables\stage_a_frozen_sea_ad_low_pathology_relaxed_coordinates.csv,6516499,.csv,,False,file_exceeds_size_limit
results\tables\stage_a_frozen_sea_ad_low_pathology_strict_coordinates.csv,2739641,.csv,AD,True,
results\tables\stage_b_rehearsal_cellxgene_normal_microglia_coordinates.csv,14833380,.csv,,False,file_exceeds_size_limit
results\tables\stage_b_rehearsal_cellxgene_normal_microglia_drift.csv,883066,.csv,AD;microglia,True,
results\tables\stage_b_rehearsal_sea_ad_low_pathology_relaxed_coordinates.csv,6579660,.csv,,False,file_exceeds_size_limit
results\tables\stage_b_rehearsal_sea_ad_low_pathology_relaxed_drift.csv,436961,.csv,AD,True,
results\tables\stage_c_elastic_cov001_epoch_005_sea_ad_microglia_pvm_all_coordinates.csv,59295185,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_elastic_cov001_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,222861,.csv,AD;microglia,True,
results\tables\stage_c_elastic_cov001_epoch_010_sea_ad_microglia_pvm_all_coordinates.csv,58875710,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_elastic_cov001_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,221985,.csv,AD;microglia,True,
results\tables\stage_c_elastic_w005_epoch_005_sea_ad_microglia_pvm_all_coordinates.csv,58976658,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_elastic_w005_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,222688,.csv,AD;microglia,True,
results\tables\stage_c_elastic_w005_epoch_010_sea_ad_microglia_pvm_all_coordinates.csv,58910623,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_elastic_w005_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,222520,.csv,AD;microglia,True,
results\tables\stage_c_epoch_005_sea_ad_microglia_pvm_all_coordinates.csv,58757836,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,222952,.csv,AD;microglia,True,
results\tables\stage_c_epoch_010_sea_ad_microglia_pvm_all_coordinates.csv,58569011,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,222656,.csv,AD;microglia,True,
results\tables\stage_c_epoch_015_sea_ad_microglia_pvm_all_coordinates.csv,58748110,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_epoch_015_sea_ad_microglia_pvm_donor_embeddings.csv,222971,.csv,AD;microglia,True,
results\tables\stage_c_finetuning_combined_leaderboard.csv,16795,.csv,AD;GFAP;GO;Iba1;NeuN,True,
results\tables\stage_c_rehearsal_cellxgene_normal_microglia_coordinates.csv,14848848,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_rehearsal_cellxgene_normal_microglia_drift.csv,898205,.csv,AD;microglia,True,
results\tables\stage_c_rehearsal_sea_ad_low_pathology_relaxed_coordinates.csv,6571012,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_rehearsal_sea_ad_low_pathology_relaxed_drift.csv,442105,.csv,AD,True,
results\tables\stage_c_rehearsal_sea_ad_microglia_pvm_all_coordinates.csv,58595349,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_rehearsal_sea_ad_microglia_pvm_donor_embeddings.csv,222980,.csv,AD;microglia,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_005_coordinates.csv,59158581,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_sweep_02_goldilocks_epoch_005_cosine_knn_metrics.csv,351,.csv,GFAP;GO;Iba1;NeuN,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_005_donor_embeddings.csv,222824,.csv,GO,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_005_latent_metrics.csv,1502,.csv,GFAP;GO;Iba1;NeuN,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_005_ridge_pathology.csv,1708,.csv,GFAP;GO;Iba1;NeuN;tau,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_005_umap_coordinates.csv,19231,.csv,GFAP;GO;Iba1;NeuN,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_010_coordinates.csv,58825105,.csv,,False,file_exceeds_size_limit
results\tables\stage_c_sweep_02_goldilocks_epoch_010_cosine_knn_metrics.csv,353,.csv,GFAP;GO;Iba1;NeuN,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_010_donor_embeddings.csv,221960,.csv,GO,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_010_latent_metrics.csv,1499,.csv,GFAP;GO;Iba1;NeuN,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_010_ridge_pathology.csv,1711,.csv,GFAP;GO;Iba1;NeuN;tau,True,
results\tables\stage_c_sweep_02_goldilocks_epoch_010_umap_coordinates.csv,19215,.csv,GFAP;GO;Iba1;NeuN,True,
results\tables\stage_c_sweep_02_goldilocks_history.csv,3300,.csv,AD;GO,True,
results\tables\stage_c_upgrade_fine_08_pathology_latent_weights.csv,56317,.csv,AD;GFAP;NeuN,True,
results\tables\stage_c_upgrade_fine_08_r0045_cov0005_pc0075_epoch_005_cosine_knn_metrics.csv,350,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\stage_c_upgrade_fine_08_r0045_cov0005_pc0075_epoch_005_latent_metrics.csv,1498,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\stage_c_upgrade_fine_summary.csv,2756,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\stage_c_upgrade_sweep_summary.csv,1202,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\test_graph_connected_feature_wide_threadfix.csv,4428,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\test_graph_connected_feature_wide_threadfix_skip_nn.csv,3372,.csv,AD;GFAP;Iba1;NeuN,True,
results\tables\v2_1_gse174367_sea_ad_trajectory_vectors.csv,14213,.csv,AD;GFAP;Iba1;NeuN;tau,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,5072,.csv,AD;APOE;GO;chemokine;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10_by_donor.csv,354924,.csv,AD;APOE;microglia;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,4987,.csv,AD;APOE;GO;chemokine;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8_by_donor.csv,354083,.csv,AD;APOE;microglia;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,4955,.csv,AD;APOE;GFAP;GO;chemokine;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap_by_donor.csv,347995,.csv,AD;APOE;GFAP;microglia;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,4996,.csv,AD;APOE;GO;Iba1;chemokine;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1_by_donor.csv,350318,.csv,AD;APOE;Iba1;microglia;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_neun.csv,4951,.csv,AD;APOE;GO;NeuN;chemokine;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_gene_counterfactual_neun_by_donor.csv,349039,.csv,AD;APOE;NeuN;microglia;senescence,True,
results\tables\v2_1_upgrade_fine_08_latent_gene_attributions.csv,3456077,.csv,AD;APOE;DAM;GO;chemokine;complement;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\v2_1_upgrade_fine_08_latent_jacobian_matrix.csv,187998,.csv,AD,True,
results\tables\v2_1_upgrade_fine_08_latent_jacobian_module_annotations.csv,32737,.csv,AD;GO;chemokine;complement;lysosome;microglia;phagocytosis,True,
results\tables\v2_1_upgrade_fine_08_latent_jacobian_top_edges.csv,65953,.csv,AD;GO;lysosome;phagocytosis,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10.csv,2859,.csv,AD;APOE;GO;TREM2;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10_by_donor.csv,156526,.csv,AD;GO;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,2841,.csv,AD;APOE;GO;TREM2;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8_by_donor.csv,156452,.csv,AD;GO;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_gfap.csv,2826,.csv,AD;APOE;GFAP;GO;TREM2;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_gfap_by_donor.csv,153899,.csv,AD;GFAP;GO;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_iba1.csv,2831,.csv,AD;APOE;GO;Iba1;TREM2;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_iba1_by_donor.csv,154578,.csv,AD;GO;Iba1;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_neun.csv,2808,.csv,AD;APOE;GO;NeuN;TREM2;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_1_upgrade_fine_08_module_counterfactual_neun_by_donor.csv,153510,.csv,AD;GO;NeuN;complement;lysosome;microglia;phagocytosis;senescence,True,
results\tables\v2_2_abeta_mil_head_attention.csv,2006451,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_metrics.csv,232,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_oof_predictions.csv,3637,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_smoke_attention.csv,284745,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_smoke_metrics.csv,231,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_smoke_oof_predictions.csv,3640,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_stable_attention.csv,2006325,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_stable_metrics.csv,236,.csv,AD,True,
results\tables\v2_2_abeta_mil_head_stable_oof_predictions.csv,3635,.csv,AD,True,
results\tables\v2_2_abeta_responsive_microglia_axis_coefficients_summary.csv,3786,.csv,microglia,True,
results\tables\v2_2_abeta_responsive_microglia_cell_scores_summary.csv,3009769,.csv,microglia,True,
results\tables\v2_2_abeta_responsive_microglia_dge_all_summary.csv,211326,.csv,AD;APOE;DAM;GO;TREM2;microglia;tau,True,
results\tables\v2_2_abeta_responsive_microglia_dge_upregulated_summary.csv,7147,.csv,AD;GO;microglia,True,
results\tables\v2_2_abeta_responsive_microglia_donor_validation_summary.csv,6016,.csv,microglia,True,
results\tables\v2_2_abeta_responsive_microglia_smoke_axis_coefficients_summary.csv,3786,.csv,microglia,True,
results\tables\v2_2_abeta_responsive_microglia_smoke_cell_scores_summary.csv,588473,.csv,microglia,True,
results\tables\v2_2_abeta_responsive_microglia_smoke_dge_all_summary.csv,205136,.csv,AD;APOE;DAM;GO;TREM2;microglia;tau,True,
results\tables\v2_2_abeta_responsive_microglia_smoke_dge_upregulated_summary.csv,3159,.csv,AD;GO;microglia,True,
results\tables\v2_2_abeta_responsive_microglia_smoke_donor_validation_summary.csv,5880,.csv,microglia,True,
results\tables\v2_2_abeta_responsive_microglia_smoke_validation_metrics_summary.csv,768,.csv,APOE;TREM2;microglia,True,
results\tables\v2_2_abeta_responsive_microglia_validation_metrics_summary.csv,771,.csv,APOE;TREM2;microglia,True,
results\tables\v2_2_stage_b_adversarial_checkpoint_ranking.csv,1182,.csv,AD,True,
results\tables\v2_2_stage_b_adversarial_experiment_comparison.csv,839,.csv,AD,True,
results\tables\v2_2_stage_b_adversarial_full_w05_history.csv,6946,.csv,AD,True,
results\tables\v2_2_stage_b_adversarial_history.csv,6949,.csv,AD,True,
results\tables\v2_2_stage_b_adversarial_stateaware_smoke_history.csv,747,.csv,AD,True,
results\tables\v2_2_stage_b_adversarial_ttur_w02_history.csv,6933,.csv,AD,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_guhcl_pTau_Grey_matter.csv,8010,.csv,TREM2;microglia;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_guhcl_pTau_Grey_matter_by_donor.csv,235471,.csv,TREM2;microglia;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_guhcl_pTau_Grey_matter_by_donor_modules.csv,207035,.csv,AD;APOE;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_guhcl_pTau_Grey_matter_by_fold.csv,18362,.csv,TREM2;microglia;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_guhcl_pTau_Grey_matter_by_fold_modules.csv,12642,.csv,AD;APOE;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_guhcl_pTau_Grey_matter_modules.csv,5333,.csv,AD;APOE;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence;tau,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_GFAP_positive_area_Grey_matter.csv,7896,.csv,GFAP;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_GFAP_positive_area_Grey_matter_by_donor.csv,233652,.csv,GFAP;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_GFAP_positive_area_Grey_matter_by_donor_modules.csv,205680,.csv,AD;APOE;GFAP;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_GFAP_positive_area_Grey_matter_by_fold.csv,18159,.csv,GFAP;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_GFAP_positive_area_Grey_matter_by_fold_modules.csv,12521,.csv,AD;APOE;GFAP;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_GFAP_positive_area_Grey_matter_modules.csv,5287,.csv,AD;APOE;GFAP;GO;TREM2;chemokine;complement;interferon;lysosome;microglia;phagocytosis;senescence,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_Iba1_positive_area_Grey_matter.csv,7941,.csv,Iba1;TREM2;microglia,True,
results\tables\multitarget_causal\causal_fold_specific_two_pass_percent_Iba1_positive_area_Grey_matter_by_donor.csv,235046,.csv,Iba1;TREM2;microglia,True,
