dataset_id,dataset_name,aliases,previous_stage37b_decision,revised_claim_level,clean_validation_currently_approved,conditional_clean_validation_candidate,external_biological_support_candidate,projection_or_signature_support_candidate,stress_test_candidate,robustness_only,manual_metadata_review_required,known_disqualified_from_clean_validation,reason_for_reclassification,explicit_disqualifying_evidence,missing_evidence_or_metadata,allowed_use_now,disallowed_use_now,evidence_needed_to_upgrade,recommended_next_action,priority_for_reuse
GSE98969,Mouse DAM/microglia auxiliary candidate,GSE98969;Mouse DAM/microglia auxiliary candidate;GEO,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
GSE181279,Peripheral immune plausibility/auxiliary dataset,GSE181279;Peripheral immune plausibility/auxiliary dataset;GEO,reject_for_clean_validation,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
GSE127893,Mouse subseries review required,GSE127893;Mouse subseries review required;GEO,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
37a17b78-4864-4a42-b67b-31c00962795a,MSSM_Cohort,37a17b78-4864-4a42-b67b-31c00962795a;MSSM_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,manual_metadata_review_required,manual_metadata_review_required,False,False,False,False,False,False,True,False,Evidence is insufficient; missing metadata is not rejection.,,complete metadata/approval package not present in repository,manual metadata review as candidate validation resource,clean validation before approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata and PI/manual review,medium
5e57cd50-8e42-42d6-940d-5c1660d06864,RADC_Cohort,5e57cd50-8e42-42d6-940d-5c1660d06864;RADC_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,manual_metadata_review_required,manual_metadata_review_required,False,False,False,False,False,False,True,False,Evidence is insufficient; missing metadata is not rejection.,,complete metadata/approval package not present in repository,manual metadata review as candidate validation resource,clean validation before approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata and PI/manual review,medium
cff99df2-4904-44f7-9173-ff837f95606e,all cells,cff99df2-4904-44f7-9173-ff837f95606e;all cells;CELLxGENE;Molecular Signatures of Resilience to Alzheimer disease in Neocortical Layer 4 Neurons,manual_metadata_review_required,manual_metadata_review_required,False,False,False,False,False,False,True,False,Evidence is insufficient; missing metadata is not rejection.,,complete metadata/approval package not present in repository,manual metadata review as candidate validation resource,clean validation before approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata and PI/manual review,medium
203025fe-fa99-4d57-81da-458ed8f0c334,Brain vascular single-cell multi-omics disease-risk snRNA-seq,203025fe-fa99-4d57-81da-458ed8f0c334;Brain vascular single-cell multi-omics disease-risk snRNA-seq;CELLxGENE;Brain vascular single-cell multi-omics elucidates disease risk associations,manual_metadata_review_required,manual_metadata_review_required,False,False,False,False,False,False,True,False,Evidence is insufficient; missing metadata is not rejection.,,complete metadata/approval package not present in repository,manual metadata review as candidate validation resource,clean validation before approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata and PI/manual review,medium
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Full Dataset,0a2d7e87-c3c0-4ed2-86df-ae18811fcc16;Full Dataset;CELLxGENE;Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,manual_metadata_review_required,manual_metadata_review_required,False,False,False,False,False,False,True,False,Evidence is insufficient; missing metadata is not rejection.,,complete metadata/approval package not present in repository,manual metadata review as candidate validation resource,clean validation before approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata and PI/manual review,medium
fe2eecbc-977a-4aec-9196-f89c3281d11c,Microglia,fe2eecbc-977a-4aec-9196-f89c3281d11c;Microglia;CELLxGENE;Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,manual_metadata_review_required,manual_metadata_review_required,False,False,False,False,False,False,True,False,Evidence is insufficient; missing metadata is not rejection.,,complete metadata/approval package not present in repository,manual metadata review as candidate validation resource,clean validation before approval,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata and PI/manual review,medium
b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,b165f033-9dec-468a-9248-802fc6902a74;All non-neuronal cells;CELLxGENE;Human Brain Cell Atlas v1.0,reject_for_clean_validation,robustness_only,False,False,False,False,False,True,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
5c97eeeb-7e52-44b3-b010-b832b1f5424c,HBCC_Cohort,5c97eeeb-7e52-44b3-b010-b832b1f5424c;HBCC_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,reject_for_clean_validation,robustness_only,False,False,False,False,False,True,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
4442d412-91cb-4261-acca-8adf5fa04c11,Aging_Cohort,4442d412-91cb-4261-acca-8adf5fa04c11;Aging_Cohort;CELLxGENE;Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
Olah_live_microglia,Olah live human microglia,Olah_live_microglia;Olah live human microglia;CELLxGENE;Live Human Microglia Single-cell RNA-seq,reject_for_clean_validation,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
ac0c6561-7a48-4185-af6f-af799f699172,All Cells - snRNA-seq,ac0c6561-7a48-4185-af6f-af799f699172;All Cells - snRNA-seq;CELLxGENE;Cross-dementia human brain snRNA-seq (Rexach et al 2024),reject_for_clean_validation,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
SEA_AD_CELLXGENE_DLPFC,Whole Taxonomy - DLPFC,SEA_AD_CELLXGENE_DLPFC;Whole Taxonomy - DLPFC;CELLxGENE;SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
SEA_AD_CELLXGENE_MTG,Whole Taxonomy - MTG,SEA_AD_CELLXGENE_MTG;Whole Taxonomy - MTG;CELLxGENE;SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_training_or_source_domain;sea_ad_source_domain_not_clean_external;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
Tabula_Sapiens_immune,Tabula Sapiens - Immune,Tabula_Sapiens_immune;Tabula Sapiens - Immune;CELLxGENE;Tabula Sapiens,reject_for_clean_validation,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
Tabula_Sapiens_myeloid,Tabula Sapiens myeloid/immune cells,Tabula_Sapiens_myeloid;Tabula Sapiens myeloid/immune cells;CELLxGENE;Tabula Sapiens,reject_for_clean_validation,projection_or_signature_support_candidate,False,False,False,True,False,False,True,False,Resource supports signature/module/candidate concordance more than full pathology validation.,,complete metadata/approval package not present in repository,projection/signature support; mechanism concordance,clean validation; causal or therapeutic claims,"complete metadata, readout, access, direction, independence, and null-reporting checks",use for support or request metadata for role upgrade,medium
mouse_isocortex_hippocampus,Mouse isocortex and hippocampal formation taxonomy,mouse_isocortex_hippocampus;Mouse isocortex and hippocampal formation taxonomy;CELLxGENE;A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
mouse_brain_aging_atlas,BrainAgingSpatialAtlas_snRNAseq,mouse_brain_aging_atlas;BrainAgingSpatialAtlas_snRNAseq;CELLxGENE;Molecular and spatial signatures of mouse brain aging at single-cell resolution,reject_for_clean_validation,known_disqualified_from_clean_validation,False,False,False,False,False,False,False,True,"Explicit prior use/source-domain evidence disqualifies this resource from the clean-validation claim, but it may remain scientifically useful in a bounded role.",used_for_pretraining_or_rescue_modeling;approved_or_used_for_pretraining;explicit_contamination_audit_disqualification,,"robustness/provenance/context only, with explicit non-clean-validation label",clean external validation; external validation completed; clean validation proven,"complete metadata, readout, access, direction, independence, and null-reporting checks",do not use for clean validation; document bounded support role only,low
GSE160936,GSE160936,GSE160936;pTau;AT8;glial,not_previously_classified,external_biological_support_candidate,False,False,True,False,False,False,True,False,Seeded as high-priority pTau/AT8-linked glial biological support and possible conditional candidate pending metadata/independence confirmation.,,complete metadata/approval package not present in repository,external biological support and manual metadata review for possible conditional validation,clean validation before approval; external validation completed,"complete metadata, readout, access, direction, independence, and null-reporting checks",request metadata/readouts and independence review,high
ROSMAP_AMP_AD,ROSMAP / AMP-AD,ROSMAP;AMP-AD;AMPAD,not_previously_classified,conditional_clean_validation_candidate,False,True,False,False,False,False,True,False,Scientifically plausible validation/acquisition candidate; missing evidence is not rejection.,,complete metadata/approval package not present in repository,manual metadata review and possible conditional validation planning,clean validation before approval; validation completed,"complete metadata, readout, access, direction, independence, and null-reporting checks",prioritize metadata/access/readout review,high
