dataset_id,collection_id,collection_name,dataset_title,organism,dataset_total_cell_count,matched_cell_count,n_donors_or_samples,n_microglia_or_cns_macrophage_cells,tissue_terms,disease_terms,cell_type_terms,has_ad_or_dementia,has_control_or_normal,has_brain_or_cns,has_microglia_or_cns_macrophage,has_donor_metadata,dataset_h5ad_path,relevance_score,recommended_role,download_recommendation,notes
d3cb449b-c2b1-4b50-a7f1-21203535fe61,d5d0df8f-4eee-49d8-a221-a288f50a1590,A multi-region single nucleus transcriptomic atlas of Parkinson’s disease,Parkinson's disease,Homo sapiens,2096155,2096155,97,118515,brain; prefrontal cortex,Parkinson disease; normal,astrocyte; central nervous system macrophage; endothelial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,d3cb449b-c2b1-4b50-a7f1-21203535fe61.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
d7f5d8d0-6150-48d7-b094-c34286ad11a1,de379e5f-52d0-498c-9801-0f850823c847,An integrated transcriptomic cell atlas of human neural organoids,HNOCA Extended: The Human Neural Organoid Atlas,Homo sapiens,1920454,1920454,55,60,brain; cerebral cortex,normal,astrocyte; endothelial cell; microglial cell; neuron; oligodendrocyte precursor cell,False,True,True,True,True,d7f5d8d0-6150-48d7-b094-c34286ad11a1.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
3a805b8d-c9d8-4c9b-881f-0eefa635974d,de379e5f-52d0-498c-9801-0f850823c847,An integrated transcriptomic cell atlas of human neural organoids,The Human Neural Organoid Atlas,Homo sapiens,1767346,1767346,46,60,brain; cerebral cortex,normal,astrocyte; endothelial cell; microglial cell; neuron; oligodendrocyte precursor cell,False,True,True,True,True,3a805b8d-c9d8-4c9b-881f-0eefa635974d.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
5c97eeeb-7e52-44b3-b010-b832b1f5424c,84ce6837-548d-4a1f-919f-0bc0d9a3952f,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,HBCC_Cohort,Homo sapiens,1486324,1486324,300,66567,brain,normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,5c97eeeb-7e52-44b3-b010-b832b1f5424c.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,Whole Taxonomy - DLPFC: Seattle Alzheimer's Disease Atlas (SEA-AD),Homo sapiens,1395601,1395601,83,42486,brain,dementia; normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,True,True,True,True,True,6f7fd0f1-a2ed-4ff1-80d3-33dde731cbc3.h5ad,21,already_used_plausibility_only,avoid clean-validation use; download only for historical plausibility checks,resembles already-used v1/v2 provenance; plausibility only
c2876b1b-06d8-4d96-a56b-5304f815b99a,1ca90a2d-2943-483d-b678-b809bf464c30,SEA-AD: Seattle Alzheimer’s Disease Brain Cell Atlas,Whole Taxonomy - MTG: Seattle Alzheimer's Disease Atlas (SEA-AD),Homo sapiens,1378211,1378211,89,40000,brain,dementia; normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,True,True,True,True,True,c2876b1b-06d8-4d96-a56b-5304f815b99a.h5ad,21,already_used_plausibility_only,avoid clean-validation use; download only for historical plausibility checks,resembles already-used v1/v2 provenance; plausibility only
4442d412-91cb-4261-acca-8adf5fa04c11,84ce6837-548d-4a1f-919f-0bc0d9a3952f,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,Aging_Cohort,Homo sapiens,1332155,1332155,291,66294,brain,normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,4442d412-91cb-4261-acca-8adf5fa04c11.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
b165f033-9dec-468a-9248-802fc6902a74,283d65eb-dd53-496d-adb7-7570c7caa443,Human Brain Cell Atlas v1.0,All non-neuronal cells,Homo sapiens,888263,871787,4,91838,brain; cerebral cortex,normal,astrocyte; central nervous system macrophage; endothelial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,b165f033-9dec-468a-9248-802fc6902a74.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
fa27492b-82ff-4ab7-ac61-0e2b184eee67,c114c20f-1ef4-49a5-9c2e-d965787fb90c,A human cell atlas of fetal gene expression,Survey of human embryonic development (1 million cells subset),Homo sapiens,1001288,700346,14,2265,brain,normal,astrocyte; microglial cell; neuron; oligodendrocyte,False,True,True,True,True,fa27492b-82ff-4ab7-ac61-0e2b184eee67.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
1a38e762-2465-418f-b81c-6a4bce261c34,bacccb91-066d-4453-b70e-59de0b4598cd,Single-cell analysis of prenatal and postnatal human cortical development,Single-cell analysis of prenatal and postnatal human cortical development,Homo sapiens,709372,690693,106,15957,brain; cerebral cortex; frontal cortex; temporal cortex,normal,astrocyte; microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,1a38e762-2465-418f-b81c-6a4bce261c34.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
3c364ffe-d599-44d5-a77f-6c5fd7038cf6,05e3d0fc-c9dd-4f14-9163-2b242b3bb5c2,Single cell atlas of the human optic nerve,snRNA-seq of human optic nerve and optic nerve head - all cells,Homo sapiens,959629,616465,83,48062,central nervous system,normal,astrocyte; macrophage; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,3c364ffe-d599-44d5-a77f-6c5fd7038cf6.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
ae4f8ddd-cac9-4172-9681-2175da462f2e,c8565c6a-01a1-435b-a549-f11b452a83a8,Human developing neocortex by area,Second Trimester Human Developing Brain Regions and Cortical Areas,Homo sapiens,457965,457965,13,6864,brain; prefrontal cortex; temporal cortex,normal,microglial cell; oligodendrocyte precursor cell,False,True,True,True,True,ae4f8ddd-cac9-4172-9681-2175da462f2e.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
a2c833f7-b7f1-4f4d-ad31-cae478b601b7,d0941303-7ce3-4422-9249-cf31eb98c480,HYPOMAP: A comprehensive spatio-cellularmap of the human hypothalamus,Human HYPOMAP single-nucleus data,Homo sapiens,433369,433369,11,23651,brain,normal,astrocyte; endothelial cell; microglial cell; neuron; oligodendrocyte,False,True,True,True,True,a2c833f7-b7f1-4f4d-ad31-cae478b601b7.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
ac0c6561-7a48-4185-af6f-af799f699172,c53573b2-eff4-4c5e-9ad0-b24d422dfd9b,Cross-dementia human brain snRNA-seq (Rexach et al 2024),All Cells - snRNA-seq,Homo sapiens,432555,432555,40,21575,brain,Alzheimer disease; normal,astrocyte; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,True,True,True,True,True,ac0c6561-7a48-4185-af6f-af799f699172.h5ad,21,already_used_plausibility_only,avoid clean-validation use; download only for historical plausibility checks,resembles already-used v1/v2 provenance; plausibility only
8d1dd010-5cbc-43fb-83f8-e0de8e8517da,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary visual cortex(V1),Homo sapiens,241077,241077,5,1712,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,8d1dd010-5cbc-43fb-83f8-e0de8e8517da.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
aa369999-a034-4ad9-b459-8a93c86ea77b,ad2149fc-19c5-41de-8cfe-44710fbada73,Molecular and cellular dynamics of the developing human neocortex at single-cell resolution,snMultiome data of the developing human neocortex,Homo sapiens,232328,232328,27,6446,brain; prefrontal cortex,normal,astrocyte; microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,aa369999-a034-4ad9-b459-8a93c86ea77b.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
bab7432a-5cfe-45ea-928c-422d03c45cdd,72d37bc9-76cc-442d-9131-da0e273862db,Cellular development and evolution of the mammalian cerebellum,snRNA-seq data for human cerebella from 9-12 developmental stages,Homo sapiens,180956,180956,27,1620,brain,normal,central nervous system macrophage; microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,bab7432a-5cfe-45ea-928c-422d03c45cdd.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
3c361813-5d5e-4868-bfe5-e7591e7b5381,e1fa9900-3fc9-4b57-9dce-c95724c88716,Molecular and cellular evolution of the primate dorsolateral prefrontal cortex,Single-nucleus transcriptome data from the dlPFC: Human,Homo sapiens,172120,172120,4,7556,brain,normal,astrocyte; endothelial cell; macrophage; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,3c361813-5d5e-4868-bfe5-e7591e7b5381.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
19f1bec6-eeb7-4133-accc-992d745fef89,a66d41a7-f1de-4b70-b983-7a4b790a0d5d,Chromatin accessibility during human first-trimester neurodevelopment,Full_Dataset,Homo sapiens,166785,166785,8,9410,brain,normal,endothelial cell; microglial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,19f1bec6-eeb7-4133-accc-992d745fef89.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
98f5d518-1e60-4307-b732-ab045cd3cbc2,aee9c366-f2fb-470b-8937-577d5d87d3fc,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls","Frontal cortex samples from C9-ALS, C9-ALS/FTD and age matched control brains",Homo sapiens,160658,160658,21,4748,brain; frontal cortex,normal,astrocyte; endothelial cell; microglial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,98f5d518-1e60-4307-b732-ab045cd3cbc2.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
58f43044-cd3c-42b8-bc0b-3498eb236359,7d66d871-091f-4602-9f42-85f86d2853e0,Single cell RNA sequencing of the human embryonic meninges at 5-13 weeks post conception,All_cells,Homo sapiens,156726,156726,13,426,brain; central nervous system,normal,endothelial cell; microglial cell; monocyte; neuron; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,58f43044-cd3c-42b8-bc0b-3498eb236359.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
2bdd3a2c-2ff4-4314-adf3-8a06b797a33a,4dca242c-d302-4dba-a68f-4c61e7bad553,Comparative transcriptomics reveals human-specific cortical features,Human: Great apes study,Homo sapiens,156285,156285,7,1263,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,2bdd3a2c-2ff4-4314-adf3-8a06b797a33a.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
93cb76aa-a84b-4a92-8e6c-66a914e26d4c,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary somatosensory cortex (S1),Homo sapiens,153159,153159,5,1304,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,93cb76aa-a84b-4a92-8e6c-66a914e26d4c.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
015c230d-650c-4527-870d-8a805849a382,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Middle temporal gyrus (MTG),Homo sapiens,148374,148374,5,1652,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,015c230d-650c-4527-870d-8a805849a382.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
e2808a6e-e2ea-41b9-b38c-4a08f1677f02,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary auditory cortex(A1),Homo sapiens,139054,139054,5,1224,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,e2808a6e-e2ea-41b9-b38c-4a08f1677f02.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
be401db3-d732-408a-b0c4-71af0458b8ab,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Anterior cingulate cortex (ACC),Homo sapiens,135462,135462,5,2477,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,be401db3-d732-408a-b0c4-71af0458b8ab.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
0bc7235a-ae5a-479d-a487-510435377e55,aee9c366-f2fb-470b-8937-577d5d87d3fc,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls","Occipital cortex samples from C9-ALS, C9-ALS/FTD and age matched control brains",Homo sapiens,120807,120807,21,2912,brain,normal,astrocyte; endothelial cell; microglial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,0bc7235a-ae5a-479d-a487-510435377e55.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb,283d65eb-dd53-496d-adb7-7570c7caa443,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Precentral gyrus (PrCG) - Primary motor cortex - M1C,Homo sapiens,116576,116576,4,274,brain; cerebral cortex,normal,astrocyte; central nervous system macrophage; endothelial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,f32c2c13-bb1a-4ffd-a457-60b64ecfa4cb.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
5bdc423a-59e6-457d-aa01-debd2c9c564f,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Primary motor cortex (M1),Homo sapiens,114605,114605,4,435,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,5bdc423a-59e6-457d-aa01-debd2c9c564f.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
716a4acc-919e-4326-9672-ebe06ede84e6,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Dorsolateral prefrontal cortex (DFC),Homo sapiens,113339,113339,5,1557,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,716a4acc-919e-4326-9672-ebe06ede84e6.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
3b8b5de4-3aa1-4ac6-8890-8d03c8219981,aee9c366-f2fb-470b-8937-577d5d87d3fc,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",Frontal cortex samples from C9-FTD and age matched control brains,Homo sapiens,113106,113106,16,3741,brain; frontal cortex,normal,astrocyte; endothelial cell; microglial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,3b8b5de4-3aa1-4ac6-8890-8d03c8219981.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
f5b0810c-1664-4a62-ad06-be1d9964aa8b,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Dissection: Angular gyrus (AnG),Homo sapiens,110752,110752,3,1856,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,f5b0810c-1664-4a62-ad06-be1d9964aa8b.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
5346f9c6-755e-4336-94cc-38706ec00c2f,d17249d2-0e6e-4500-abb8-e6c93fa1ac6f,Transcriptomic cytoarchitecture reveals principles of human neocortex organization,Supercluster: Non-neuronal cells,Homo sapiens,108940,108940,6,12217,brain,normal,microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,5346f9c6-755e-4336-94cc-38706ec00c2f.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
e1f595f6-ba2c-495e-9bee-7056f116b1e4,283d65eb-dd53-496d-adb7-7570c7caa443,Human Brain Cell Atlas v1.0,Dissection: Cerebral cortex (Cx) - Middle Temporal Gyrus - MTG,Homo sapiens,107301,107301,3,2241,brain; cerebral cortex,normal,astrocyte; central nervous system macrophage; endothelial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,e1f595f6-ba2c-495e-9bee-7056f116b1e4.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
ecce9688-66ea-4600-98f7-84aed7421c01,cae8bad0-39e9-4771-85a7-822b0e06de9f,Protracted Neuronal Recruitment in the Temporal Lobe of Young Children,Subpallial germinal zones and the developing human entorhinal cortex,Homo sapiens,124917,104364,12,4012,brain; entorhinal cortex,normal,astrocyte; microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,ecce9688-66ea-4600-98f7-84aed7421c01.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
56a4bc14-9407-45fd-8786-f7f6fc87c9dd,f406a653-c079-4bf9-aab6-85846c27571d,Simultaneous profiling of transcription and chromatin accessibility at the single-cell level for postnatal human brain development,Postnatal human brain development: RNA,Homo sapiens,101924,101924,10,6410,brain,normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,56a4bc14-9407-45fd-8786-f7f6fc87c9dd.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
c893ddc3-f25b-45e2-8c9e-155918b4261c,cec4ef8e-1e70-49a2-ae43-1e6bf1fd5978,Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs,Transcriptional responses of the human dorsal striatum in opioid use disorder implicates cell type-specifc programs,Homo sapiens,98848,98848,12,6630,brain,normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,c893ddc3-f25b-45e2-8c9e-155918b4261c.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
4976b234-9028-4b4b-8a2f-8ac59d636219,283d65eb-dd53-496d-adb7-7570c7caa443,Human Brain Cell Atlas v1.0,Dissection: Cerebellum (CB) - Cerebellar Vermis - CBV,Homo sapiens,71874,71874,3,1431,brain,normal,astrocyte; central nervous system macrophage; endothelial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,4976b234-9028-4b4b-8a2f-8ac59d636219.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
b2dda353-0c96-42df-8dcd-1ea7429a6feb,1b014f39-f202-45ae-bb7d-9286bddd8d8b,Spatial and cell type transcriptional landscape of human cerebellar development,Cerebellum,Homo sapiens,69174,69174,13,867,brain,normal,astrocyte; endothelial cell; microglial cell; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,b2dda353-0c96-42df-8dcd-1ea7429a6feb.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f,aee9c366-f2fb-470b-8937-577d5d87d3fc,"Cortical brain samples from C9-ALS, C9-ALS/FTD, C9-FTD patients and age matched controls",Occipital cortex samples from C9-FTD and age matched control brains,Homo sapiens,66719,66719,14,1638,brain,normal,astrocyte; endothelial cell; microglial cell; neuron; oligodendrocyte; oligodendrocyte precursor cell,False,True,True,True,True,e6361237-ac4e-4c5d-ad8f-f16aca0c0a8f.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
9f1a899f-05a0-44c5-8aa9-39df61ae4324,7855daa4-3f34-4aae-b65a-87720c02e7cd,Transcriptomic Analysis of the Ocular Posterior Segment Completes a Cell Atlas of the Human Eye,Transcriptome of human posterior ocular segment,Homo sapiens,139978,62299,19,3391,central nervous system,normal,astrocyte; endothelial cell; macrophage; microglial cell; oligodendrocyte; oligodendrocyte precursor cell; pericyte,False,True,True,True,True,9f1a899f-05a0-44c5-8aa9-39df61ae4324.h5ad,21,self_supervised_pretraining_candidate,consider targeted H5AD download after role approval and schema review,metadata candidate from CELLxGENE Census
