tf,target_gene,evidence_tier,motif_support_class,edge_spearman_rho,edge_bootstrap_median_rho,edge_bootstrap_sign_stability,predicted_response_sign_from_coactivity,absolute_unnormalized_weight,normalized_outgoing_weight,regulator_feature_index,target_feature_index,edge_feature_status,validated_regulation,validated_grn_claim,causal_validation_pass,therapeutic_target_claim
ELF1,LAMP2,Tier A,extended_only,0.7894736842105263,0.7998978780125987,1.0,positive,0.7998978780125987,0.05711244519043932,2070,2927,usable_signed_edge_feature_present,False,False,False,False
ELF1,LAPTM5,Tier A,extended_only,0.7956656346749225,0.7813471502590673,1.0,positive,0.7813471502590673,0.05578792933511705,2070,53,usable_signed_edge_feature_present,False,False,False,False
ELF1,NFKBIA,Tier A,direct,0.6202270381836945,0.6045911703239291,0.985,positive,0.5955223027690701,0.042520096391663424,2070,2152,usable_signed_edge_feature_present,False,False,False,False
ELF1,NPC2,Tier A,extended_only,0.7378740970072238,0.7411649656647954,1.0,positive,0.7411649656647954,0.05291893458171889,2070,2199,usable_signed_edge_feature_present,False,False,False,False
ELF1,PRDX1,Tier A,direct,0.760577915376677,0.753913738453425,1.0,positive,0.753913738453425,0.053829192762356926,2070,84,usable_signed_edge_feature_present,False,False,False,False
ELF1,PSAP,Tier A,extended_only,0.6904024767801857,0.6969375114452835,1.0,positive,0.6969375114452835,0.04976110890864621,2070,1683,usable_signed_edge_feature_present,False,False,False,False
ELF1,TREM2,Tier A,extended_only,0.5108359133126935,0.5033840690774998,0.985,positive,0.4958333080413373,0.03540233498239018,2070,1126,usable_signed_edge_feature_present,False,False,False,False
ELF1,TXNIP,Tier A,direct,0.587203302373581,0.6102393028931463,0.98,positive,0.5980345168352834,0.0426994676490541,2070,170,usable_signed_edge_feature_present,False,False,False,False
ELF1,TYROBP,Tier A,extended_only,0.7027863777089782,0.706860706860707,1.0,positive,0.706860706860707,0.050469621794923016,2070,2687,usable_signed_edge_feature_present,False,False,False,False
SPI1,B2M,Tier A,direct,0.7275541795665634,0.7249975314643353,1.0,positive,0.7249975314643353,0.07972025606232265,1809,2274,usable_signed_edge_feature_present,False,False,False,False
SPI1,C1QC,Tier A,direct,0.7585139318885449,0.7322244556330427,1.0,positive,0.7322244556330427,0.08051492393396172,1809,33,usable_signed_edge_feature_present,False,False,False,False
SPI1,CD74,Tier A,direct,0.4076367389060887,0.4349858202443281,0.98,positive,0.4262861038394415,0.04687414215776801,1809,1026,usable_signed_edge_feature_present,False,False,False,False
SPI1,CTSB,Tier A,direct,0.6449948400412797,0.667885590552051,1.0,positive,0.667885590552051,0.07344026426076777,1809,1401,usable_signed_edge_feature_present,False,False,False,False
SPI1,HLA-DPA1,Tier A,direct,0.4881320949432404,0.4848116699707022,0.975,positive,0.47269137822143464,0.05197683588543185,1809,1111,usable_signed_edge_feature_present,False,False,False,False
SPI1,HLA-DRA,Tier A,direct,0.5356037151702786,0.5148358914325356,0.995,positive,0.512261711975373,0.05632796399612214,1809,1103,usable_signed_edge_feature_present,False,False,False,False
SPI1,LAMP2,Tier A,direct,0.6842105263157895,0.6841591105354059,1.0,positive,0.6841591105354059,0.0752296899123118,1809,2927,usable_signed_edge_feature_present,False,False,False,False
SPI1,LAPTM5,Tier A,direct,0.8328173374613003,0.832030790799333,1.0,positive,0.832030790799333,0.09148956350277253,1809,53,usable_signed_edge_feature_present,False,False,False,False
SPI1,NFKBIA,Tier A,direct,0.5128998968008256,0.5182822632510513,0.99,positive,0.5130994406185408,0.05642008009175793,1809,2152,usable_signed_edge_feature_present,False,False,False,False
SPI1,NPC2,Tier A,direct,0.7420020639834881,0.7219917012448133,1.0,positive,0.7219917012448133,0.0793897369303524,1809,2199,usable_signed_edge_feature_present,False,False,False,False
SPI1,PRDX1,Tier A,direct,0.7770897832817338,0.7726832355272557,1.0,positive,0.7726832355272557,0.08496374500321591,1809,84,usable_signed_edge_feature_present,False,False,False,False
SPI1,PSAP,Tier A,direct,0.7192982456140351,0.7160789099487337,1.0,positive,0.7160789099487337,0.078739570252937,1809,1683,usable_signed_edge_feature_present,False,False,False,False
SPI1,TXNIP,Tier A,direct,0.5748194014447885,0.6087893234361169,0.99,positive,0.6027014302017557,0.0662726564706595,1809,170,usable_signed_edge_feature_present,False,False,False,False
SPI1,TYROBP,Tier A,direct,0.7296181630546955,0.7151785889221967,1.0,positive,0.7151785889221967,0.07864057153961881,1809,2687,usable_signed_edge_feature_present,False,False,False,False
STAT1,APOE,Tier A,direct,0.3126934984520124,0.3162842694682614,0.89,positive,0.28149299982675263,0.041143673623400275,481,2699,usable_signed_edge_feature_present,False,False,False,False
STAT1,B2M,Tier A,direct,0.4757481940144479,0.4711107594319274,0.97,positive,0.45697743664896956,0.06679288834292495,481,2274,usable_signed_edge_feature_present,False,False,False,False
STAT1,BSG,Tier A,direct,0.4613003095975232,0.4665281386400555,0.97,positive,0.4525322944808538,0.06614317599239712,481,2635,usable_signed_edge_feature_present,False,False,False,False
STAT1,C1QB,Tier A,direct,0.6181630546955624,0.598546003357719,0.995,positive,0.5955532733409304,0.08704745595367444,481,34,usable_signed_edge_feature_present,False,False,False,False
STAT1,C1QC,Tier A,extended_only,0.6099071207430341,0.6279976807998838,1.0,positive,0.6279976807998838,0.09178960624592808,481,33,usable_signed_edge_feature_present,False,False,False,False
STAT1,CD74,Tier A,direct,0.2672858617131063,0.2545887166714848,0.81,positive,0.2062168605039027,0.030141137468557684,481,1026,usable_signed_edge_feature_present,False,False,False,False
STAT1,CTSB,Tier A,direct,0.5830753353973168,0.59771920465248,0.99,positive,0.5917420126059552,0.08649039319236239,481,1401,usable_signed_edge_feature_present,False,False,False,False
STAT1,GPX4,Tier A,direct,-0.2425180598555212,-0.2318913622944088,0.78,negative,0.18087526258963887,0.026437150391359965,481,2638,usable_signed_edge_feature_present,False,False,False,False
STAT1,HLA-DPA1,Tier A,direct,0.2321981424148606,0.2450424882973692,0.785,positive,0.19235835331343482,0.028115545723458927,481,1111,usable_signed_edge_feature_present,False,False,False,False
STAT1,LAPTM5,Tier A,direct,0.6367389060887513,0.6552406832298137,0.995,positive,0.6519644798136646,0.09529264950820288,481,53,usable_signed_edge_feature_present,False,False,False,False
STAT1,NFKBIA,Tier A,direct,0.4613003095975232,0.4681381674846726,0.99,positive,0.46345678580982586,0.06773992513364584,481,2152,usable_signed_edge_feature_present,False,False,False,False
STAT1,NPC2,Tier A,direct,0.541795665634675,0.5229654102304823,0.98,positive,0.5125061020258727,0.07490908763177553,481,2199,usable_signed_edge_feature_present,False,False,False,False
STAT1,PRDX1,Tier A,direct,0.4509803921568627,0.4719329866829186,0.955,positive,0.45069600228218726,0.06587477924027316,481,84,usable_signed_edge_feature_present,False,False,False,False
STAT1,PSAP,Tier A,extended_only,0.434468524251806,0.4276760841443009,0.935,positive,0.39987713867492136,0.05844697556680245,481,1683,usable_signed_edge_feature_present,False,False,False,False
STAT1,TXNIP,Tier A,direct,0.4324045407636739,0.4366206534729766,0.95,positive,0.4147896207993278,0.06062661874733975,481,170,usable_signed_edge_feature_present,False,False,False,False
STAT1,TYROBP,Tier A,extended_only,0.4055727554179567,0.3858209239233852,0.94,positive,0.36267166848798205,0.053008937237896556,481,2687,usable_signed_edge_feature_present,False,False,False,False
