resource_id,resource_path,resource_type,parse_status,gene_column,term_column,category_column,evidence_column,target_scope_column,species_column,disease_scope_column,n_rows,n_gene_rows,stable_schema_available,exclusion_reason
resource_025,results\tables\cellxgene_normal_microglia_anchor_qc.csv,unknown_schema,no_parse,,,,,,,,6,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_026,results\tables\cellxgene_normal_microglia_assay_counts.csv,unknown_schema,no_parse,,,,,,,,8,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_027,results\tables\cellxgene_normal_microglia_dataset_id_counts.csv,unknown_schema,no_parse,,,,,,,,38,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_028,results\tables\cellxgene_normal_microglia_development_stage_counts.csv,unknown_schema,no_parse,,,,,,,,132,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_029,results\tables\cellxgene_normal_microglia_disease_counts.csv,unknown_schema,no_parse,,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_030,results\tables\cellxgene_normal_microglia_donor_id_counts.csv,unknown_schema,no_parse,,,,,,,,692,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_031,results\tables\cellxgene_normal_microglia_matched_genes.csv,gene_list,parsed_table_exact_gene_column,gene,,,,,,,2863,115,True,
resource_032,results\tables\cellxgene_normal_microglia_missing_genes.csv,gene_list,parsed_table_no_query_gene_overlap,gene,,,,,,,94,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_033,results\tables\cellxgene_normal_microglia_suspension_type_counts.csv,unknown_schema,no_parse,,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_034,results\tables\cellxgene_normal_microglia_tissue_counts.csv,unknown_schema,no_parse,,,,,,,,42,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_035,results\tables\cellxgene_normal_microglia_tissue_general_counts.csv,unknown_schema,no_parse,,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_036,results\tables\cell_level_mixing_sample_metadata.csv,unknown_schema,no_parse,,,,,,,,9799,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_037,results\tables\confounder_adjusted_module_effects_at8.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,15,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_038,results\tables\confounder_adjusted_top_gene_effects_at8.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,target,,,,,,,10,10,True,
resource_039,results\tables\gse138852_graph_jepa_zero_shot_aligned_sea_ad_trajectory_vectors.csv,unknown_schema,no_parse,,,,,,,,5,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_040,results\tables\gse138852_graph_jepa_zero_shot_baseline_sea_ad_trajectory_vectors.csv,unknown_schema,no_parse,,,,,,,,5,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_042,results\tables\microglia_pvm_jepa_all_module_preserved_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_044,results\tables\microglia_pvm_jepa_all_module_preserved_e100_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_045,results\tables\microglia_pvm_jepa_all_module_preserved_e100_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_046,results\tables\microglia_pvm_jepa_all_module_preserved_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_048,results\tables\microglia_pvm_jepa_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,87,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_050,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_051,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e10_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_053,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_054,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e20_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_056,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_057,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e30_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_059,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_060,results\tables\microglia_pvm_jepa_ema_expanded_balanced_e40_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_062,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_063,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e10_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_065,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_066,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e20_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_068,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_069,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e30_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_071,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_072,results\tables\microglia_pvm_jepa_ema_var_expanded_balanced_e40_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_073,results\tables\microglia_pvm_jepa_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_075,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_076,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e40_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_078,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_079,results\tables\microglia_pvm_jepa_expanded_modules_balanced_e80_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_081,results\tables\microglia_pvm_jepa_mixed_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,87,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_082,results\tables\microglia_pvm_jepa_mixed_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_084,results\tables\microglia_pvm_jepa_module_preserved_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,87,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_085,results\tables\microglia_pvm_jepa_module_preserved_embedding_ridge.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_086,results\tables\microglia_pvm_model_comparison.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,102,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_087,results\tables\microglia_pvm_percent_AT8_gene_rankings.csv,gene_list,parsed_table_exact_gene_column,gene,,,,,,,36601,115,True,
resource_088,results\tables\microglia_pvm_percent_AT8_gene_set_scores.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,,gene_set,,,,,,4,28,True,
resource_089,results\tables\microglia_pvm_pseudobulk_ridge_1000genes.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_090,results\tables\pathology_head_gene_counterfactual_donor.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,,module,,,,,,1246,9,True,
resource_091,results\tables\pathology_head_gene_counterfactual_summary.csv,gene_term_table,parsed_table_exact_gene_column,genes,module,,,,,,14,9,True,
resource_092,results\tables\pathology_head_module_counterfactual_donor.csv,unknown_schema,no_parse,,module,,,,,,1335,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_093,results\tables\pathology_head_module_counterfactual_summary.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,genes,module,,,,,,15,115,True,
resource_094,results\tables\pathology_head_stage_b_frozen_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_095,results\tables\pathology_head_stage_b_lp_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,10,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_096,results\tables\pathology_head_stage_b_lp_oof_predictions.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,840,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_097,results\tables\sea_ad_full_metadata_covariate_audit.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,66,1,True,
resource_098,results\tables\sea_ad_full_metadata_targets_with_covariates.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,84,1,True,
resource_099,results\tables\sea_ad_low_pathology_anchor_audit_donors.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,,,,,,,,89,1,True,
resource_100,results\tables\sea_ad_low_pathology_anchor_audit_summary.csv,unknown_schema,no_parse,,,,,,,,4,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_101,results\tables\sea_ad_low_pathology_microglia_pvm_relaxed_subset_summary.csv,unknown_schema,no_parse,,,,,,,,10,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_102,results\tables\sea_ad_low_pathology_microglia_pvm_strict_subset_summary.csv,unknown_schema,no_parse,,,,,,,,4,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_103,results\tables\stage27_external_matrix_readiness_v1.csv,unknown_schema,no_parse,,,,,,,,6,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_104,results\tables\stage32b_candidate_download_plan_v1.csv,unknown_schema,no_parse,,,,,,,,6,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_105,results\tables\stage32b_metadata_schema_audit_v1.csv,unknown_schema,no_parse,,,,,,,,19,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_106,results\tables\stage32c_approved_dataset_download_plan_v1.csv,unknown_schema,no_parse,,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_107,results\tables\stage32c_download_manifest_v1.csv,unknown_schema,no_parse,,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_108,results\tables\stage32c_metadata_field_mapping_candidates_v1.csv,unknown_schema,no_parse,,,,,,,,5,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_111,results\tables\stage_a_frozen_sea_ad_low_pathology_strict_coordinates.csv,unknown_schema,no_parse,,,,,,,,1883,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_113,results\tables\stage_b_rehearsal_cellxgene_normal_microglia_drift.csv,unknown_schema,no_parse,,label,,,,,,10000,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_115,results\tables\stage_b_rehearsal_sea_ad_low_pathology_relaxed_drift.csv,unknown_schema,no_parse,,label,,,,,,4467,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_117,results\tables\stage_c_elastic_cov001_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_119,results\tables\stage_c_elastic_cov001_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_121,results\tables\stage_c_elastic_w005_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_123,results\tables\stage_c_elastic_w005_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_125,results\tables\stage_c_epoch_005_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_127,results\tables\stage_c_epoch_010_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_129,results\tables\stage_c_epoch_015_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_130,results\tables\stage_c_finetuning_combined_leaderboard.csv,unknown_schema,no_parse,,,,,,,,49,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_132,results\tables\stage_c_rehearsal_cellxgene_normal_microglia_drift.csv,unknown_schema,no_parse,,label,,,,,,10000,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_134,results\tables\stage_c_rehearsal_sea_ad_low_pathology_relaxed_drift.csv,unknown_schema,no_parse,,label,,,,,,4467,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_136,results\tables\stage_c_rehearsal_sea_ad_microglia_pvm_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_138,results\tables\stage_c_sweep_02_goldilocks_epoch_005_cosine_knn_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,5,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_139,results\tables\stage_c_sweep_02_goldilocks_epoch_005_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_140,results\tables\stage_c_sweep_02_goldilocks_epoch_005_latent_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,10,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_141,results\tables\stage_c_sweep_02_goldilocks_epoch_005_ridge_pathology.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_142,results\tables\stage_c_sweep_02_goldilocks_epoch_005_umap_coordinates.csv,unknown_schema,no_parse,,,,,,,,178,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_144,results\tables\stage_c_sweep_02_goldilocks_epoch_010_cosine_knn_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,5,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_145,results\tables\stage_c_sweep_02_goldilocks_epoch_010_donor_embeddings.csv,unknown_schema,no_parse,,,,,,,,89,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_146,results\tables\stage_c_sweep_02_goldilocks_epoch_010_latent_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,10,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_147,results\tables\stage_c_sweep_02_goldilocks_epoch_010_ridge_pathology.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,17,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_148,results\tables\stage_c_sweep_02_goldilocks_epoch_010_umap_coordinates.csv,unknown_schema,no_parse,,,,,,,,178,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_149,results\tables\stage_c_sweep_02_goldilocks_history.csv,unknown_schema,no_parse,,,,,,,,10,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_150,results\tables\stage_c_upgrade_fine_08_pathology_latent_weights.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,384,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_151,results\tables\stage_c_upgrade_fine_08_r0045_cov0005_pc0075_epoch_005_cosine_knn_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,5,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_152,results\tables\stage_c_upgrade_fine_08_r0045_cov0005_pc0075_epoch_005_latent_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,10,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_153,results\tables\stage_c_upgrade_fine_summary.csv,unknown_schema,no_parse,,,,,,,,8,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_154,results\tables\stage_c_upgrade_sweep_summary.csv,unknown_schema,no_parse,,,,,,,,3,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_155,results\tables\test_graph_connected_feature_wide_threadfix.csv,gene_list,parsed_table_exact_gene_column,gene,,,,,,,15,1,True,
resource_156,results\tables\test_graph_connected_feature_wide_threadfix_skip_nn.csv,gene_list,parsed_table_exact_gene_column,gene,,,,,,,15,1,True,
resource_157,results\tables\v2_1_gse174367_sea_ad_trajectory_vectors.csv,unknown_schema,no_parse,,,,,,,,5,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_158,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10.csv,gene_term_table,parsed_table_exact_gene_column,genes,module,,,,,,24,13,True,
resource_159,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_6e10_by_donor.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,target,module,,,,,,2016,13,True,
resource_160,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8.csv,gene_term_table,parsed_table_exact_gene_column,genes,module,,,,,,24,13,True,
resource_161,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_at8_by_donor.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,target,module,,,,,,2016,13,True,
resource_162,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap.csv,gene_term_table,parsed_table_exact_gene_column,genes,module,,,,,,24,13,True,
resource_163,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_gfap_by_donor.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,target,module,,,,,,2016,13,True,
resource_164,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1.csv,gene_term_table,parsed_table_exact_gene_column,genes,module,,,,,,24,13,True,
resource_165,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_iba1_by_donor.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,target,module,,,,,,2016,13,True,
resource_166,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_neun.csv,gene_term_table,parsed_table_exact_gene_column,genes,module,,,,,,24,13,True,
resource_167,results\tables\v2_1_upgrade_fine_08_gene_counterfactual_neun_by_donor.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,target,module,,,,,,2016,13,True,
resource_168,results\tables\v2_1_upgrade_fine_08_latent_gene_attributions.csv,gene_list,parsed_table_exact_gene_column,gene,,,,,,,38441,115,True,
resource_169,results\tables\v2_1_upgrade_fine_08_latent_jacobian_matrix.csv,unknown_schema,no_parse,,,,,,,,128,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_170,results\tables\v2_1_upgrade_fine_08_latent_jacobian_module_annotations.csv,unknown_schema,no_parse,,module,,,,,,384,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_171,results\tables\v2_1_upgrade_fine_08_latent_jacobian_top_edges.csv,unknown_schema,no_parse,,,,,,,,500,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_172,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,genes,module,,,,,,10,83,True,
resource_173,results\tables\v2_1_upgrade_fine_08_module_counterfactual_6e10_by_donor.csv,gene_term_table,parsed_table_no_query_gene_overlap,target,module,,,,,,840,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_174,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,genes,module,,,,,,10,83,True,
resource_175,results\tables\v2_1_upgrade_fine_08_module_counterfactual_at8_by_donor.csv,gene_term_table,parsed_table_no_query_gene_overlap,target,module,,,,,,840,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_176,results\tables\v2_1_upgrade_fine_08_module_counterfactual_gfap.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,genes,module,,,,,,10,83,True,
resource_177,results\tables\v2_1_upgrade_fine_08_module_counterfactual_gfap_by_donor.csv,gene_term_table,parsed_table_no_query_gene_overlap,target,module,,,,,,840,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_178,results\tables\v2_1_upgrade_fine_08_module_counterfactual_iba1.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,genes,module,,,,,,10,83,True,
resource_179,results\tables\v2_1_upgrade_fine_08_module_counterfactual_iba1_by_donor.csv,gene_term_table,parsed_table_no_query_gene_overlap,target,module,,,,,,840,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_180,results\tables\v2_1_upgrade_fine_08_module_counterfactual_neun.csv,gene_list,parsed_markdown_or_text_exact_gene_mentions,genes,module,,,,,,10,83,True,
resource_181,results\tables\v2_1_upgrade_fine_08_module_counterfactual_neun_by_donor.csv,gene_term_table,parsed_table_no_query_gene_overlap,target,module,,,,,,840,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_182,results\tables\v2_2_abeta_mil_head_attention.csv,unknown_schema,no_parse,,,,,,,,38905,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_183,results\tables\v2_2_abeta_mil_head_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_184,results\tables\v2_2_abeta_mil_head_oof_predictions.csv,unknown_schema,no_parse,,,,,,,,84,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_185,results\tables\v2_2_abeta_mil_head_smoke_attention.csv,unknown_schema,no_parse,,,,,,,,5712,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_186,results\tables\v2_2_abeta_mil_head_smoke_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_187,results\tables\v2_2_abeta_mil_head_smoke_oof_predictions.csv,unknown_schema,no_parse,,,,,,,,84,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_188,results\tables\v2_2_abeta_mil_head_stable_attention.csv,unknown_schema,no_parse,,,,,,,,38905,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_189,results\tables\v2_2_abeta_mil_head_stable_metrics.csv,gene_list,parsed_table_no_query_gene_overlap,target,,,,,,,1,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_190,results\tables\v2_2_abeta_mil_head_stable_oof_predictions.csv,unknown_schema,no_parse,,,,,,,,84,0,False,no_exact_query_gene_match_or_no_gene_schema
resource_191,results\tables\v2_2_abeta_responsive_microglia_axis_coefficients_summary.csv,unknown_schema,no_parse,,,,,,,,128,0,False,no_exact_query_gene_match_or_no_gene_schema
