dataset,regulator,degree_matched_random_directed,directed_stage72b,expression_only,reversed_directed,target_shuffled_directed,directed_minus_expression_only,directed_minus_reversed,directed_minus_target_shuffled,directed_minus_random
DLPFC,RUNX1,0.04291135108203089,0.0367577609954831,0.0,,0.0646298212580941,0.0367577609954831,,-0.027872060262611006,-0.00615359008654779
DLPFC,SPI1,0.05398258841561285,0.056576421224979474,0.0,,0.05473180154687293,0.056576421224979474,,0.0018446196781065419,0.0025938328093666266
DLPFC,SREBF1,0.024220521783527096,0.028360932649714718,0.0,,0.04555286841570829,0.028360932649714718,,-0.017191935765993573,0.004140410866187622
DLPFC,STAT1,0.02512018624667837,0.029297550012537848,0.0,0.0,0.032031381896870596,0.029297550012537848,0.029297550012537848,-0.0027338318843327485,0.0041773637658594764
DLPFC,STAT3,0.04194100958821365,0.042330476088101705,0.0,,0.040662404351316496,0.042330476088101705,,0.0016680717367852094,0.0003894664998880526
MTG,BACH1,0.03916004844916411,0.04617897853889318,0.0,,0.03341514775443651,0.04617897853889318,,0.01276383078445667,0.007018930089729071
MTG,CEBPA,0.01952091533999536,0.030963678832006538,,,0.01843178427051265,,,0.012531894561493888,0.011442763492011176
MTG,CEBPB,0.04666608571781792,0.046143319728428264,0.0,,0.05152242708690865,0.046143319728428264,,-0.005379107358480385,-0.000522765989389655
MTG,ELF1,0.04898244884555557,0.04856989931912258,0.0,,0.045732600617804445,0.04856989931912258,,0.0028372987013181375,-0.00041254952643298565
MTG,ETS1,0.00808642839756888,0.013990579219679333,,,0.005443346597990661,,,0.008547232621688671,0.005904150822110453
MTG,FOS,0.004278041390228951,0.0059668239184229276,,,0.0028222947146713524,,,0.003144529203751575,0.0016887825281939762
MTG,IRF8,0.014709809353658116,0.028054324539447114,0.0,0.0,0.023493170591330652,0.028054324539447114,0.028054324539447114,0.004561153948116462,0.013344515185788998
MTG,JUN,0.01568686755439972,0.017485633084457573,,,0.013107823736643686,,,0.004377809347813887,0.0017987655300578526
MTG,MAF,0.014537956944387889,0.02057088796429325,0.0,,0.022830856824758935,0.02057088796429325,,-0.002259968860465686,0.00603293101990536
MTG,MAFB,0.023676048754502858,0.030200441288985948,0.0,,0.025462266783455687,0.030200441288985948,,0.004738174505530261,0.00652439253448309
MTG,MITF,0.01928603722949083,0.027254842151808366,0.0,,0.02010054294203654,0.027254842151808366,,0.007154299209771824,0.007968804922317534
MTG,NFE2L2,0.04608477311410782,0.04287626593704204,0.0,,0.05800508470605086,0.04287626593704204,,-0.015128818769008824,-0.003208507177065785
MTG,NFKB1,0.049139764326269646,0.046738505774817043,0.0,,0.04897318981478996,0.046738505774817043,,-0.0022346840399729145,-0.002401258551452602
MTG,NRF1,0.049062946323112595,0.049191047428138374,0.0,,0.04320190500563166,0.049191047428138374,,0.005989142422506713,0.00012810110502577826
MTG,PPARG,0.03529210035979634,0.03409472484625031,0.0,,0.05630486737396004,0.03409472484625031,,-0.022210142527709725,-0.0011973755135460257
MTG,RELA,0.035032026654169095,0.04093813870330347,,,0.026720342167716092,,,0.014217796535587378,0.005906112049134375
MTG,RUNX1,0.03439161115022922,0.03967713176412456,,,0.05339983566361501,,,-0.01372270389949045,0.005285520613895339
MTG,SPI1,0.048533398122171244,0.05108609163890457,0.0,,0.047137926181620375,0.05108609163890457,,0.003948165457284193,0.0025526935167333245
MTG,SREBF1,0.02410987054744238,0.032547298843952306,,,0.038413395761420284,,,-0.005866096917467978,0.008437428296509925
MTG,STAT1,0.025211809450045267,0.032569379664922245,0.0,0.0,0.025039109117958324,0.032569379664922245,0.032569379664922245,0.007530270546963921,0.007357570214876978
MTG,STAT3,0.04425080872796448,0.04427097289604188,0.0,,0.029069710292276122,0.04427097289604188,,0.015201262603765756,2.016416807739535e-05
