dataset_id,dataset_name,candidate_role,clean_external_validation_candidate,stress_test_candidate,projection_or_signature_support_candidate,robustness_only_candidate,excluded_or_contaminated,requires_manual_review,primary_reason,allowed_use,disallowed_use,stage37b_use_recommendation
cff99df2-4904-44f7-9173-ff837f95606e,all cells,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
203025fe-fa99-4d57-81da-458ed8f0c334,Brain vascular single-cell multi-omics disease-risk snRNA-seq,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,Full Dataset,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
fe2eecbc-977a-4aec-9196-f89c3281d11c,Microglia,requires_manual_review,False,False,False,False,False,True,"Registry protects this as a possible clean holdout, but Stage 37A cannot confirm required pathology/mechanism readouts or independence from all later choices.",candidate validation resource only after manual approval,clean validation before manual approval and data access checks,manual_dataset_approval_before_use
b165f033-9dec-468a-9248-802fc6902a74,All non-neuronal cells,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
5c97eeeb-7e52-44b3-b010-b832b1f5424c,HBCC_Cohort,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
4442d412-91cb-4261-acca-8adf5fa04c11,Aging_Cohort,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
Olah_live_microglia,Olah live human microglia,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
ac0c6561-7a48-4185-af6f-af799f699172,All Cells - snRNA-seq,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
SEA_AD_CELLXGENE_DLPFC,Whole Taxonomy - DLPFC,excluded_or_contaminated,False,False,False,False,True,False,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,internal context or source-domain interpretation only,clean external validation,exclude_from_clean_validation
SEA_AD_CELLXGENE_MTG,Whole Taxonomy - MTG,excluded_or_contaminated,False,False,False,False,True,False,SEA-AD-derived/source-domain material is not independent of the SEA-AD modeling and candidate-selection workflow.,internal context or source-domain interpretation only,clean external validation,exclude_from_clean_validation
Tabula_Sapiens_immune,Tabula Sapiens - Immune,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
Tabula_Sapiens_myeloid,Tabula Sapiens myeloid/immune cells,projection_or_signature_support,False,False,True,True,False,True,Existing repo evidence indicates prior exploratory/plausibility use; independence from candidate/model selection is not proven.,projection/signature support or robustness-only support after manual review,clean validation unless independence and frozen readouts are proven in a new audit,manual_review_or_projection_only
mouse_isocortex_hippocampus,Mouse isocortex and hippocampal formation taxonomy,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
mouse_brain_aging_atlas,BrainAgingSpatialAtlas_snRNAseq,excluded_or_contaminated,False,False,False,False,True,False,Prior audit marks this resource as approved/used for external pretraining or rescue benchmarking; clean validation independence is forfeited.,pretraining/rescue provenance context; robustness discussion only if clearly labeled,clean validation; primary external validation; model-selection evidence,exclude_from_clean_validation
