condition,graph_role,aux_weight,target,target_key,target_alias,n_donors,pooled_oof_spearman,pooled_oof_pearson,r2,mae,rmse,target_context,lambda_graph
module_graph_real_overlap_aux_weight_0_1_ridge,real_module_overlap_graph_auxiliary,0.1,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5250784651209882,0.6605722936219528,0.42374336277430313,0.3513402176181626,0.44032341771878464,,
module_graph_real_overlap_aux_weight_0_1_ridge,real_module_overlap_graph_auxiliary,0.1,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30416118254530733,0.27925304028009923,0.07778834555937386,0.4964291305139188,0.5979626726390488,,
module_graph_real_overlap_aux_weight_0_1_ridge,real_module_overlap_graph_auxiliary,0.1,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.011521717120583173,-0.043932663859718155,-0.09394207912162811,0.35925798836542555,0.4597870956139295,,
module_graph_real_overlap_aux_weight_0_1_ridge,real_module_overlap_graph_auxiliary,0.1,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45374101447808035,0.47254388048110596,0.2099428633081305,0.389707328328326,0.48604024763451464,,
module_graph_strict_shuffled_overlap_aux_weight_0_025_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.025,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.316349960992761,0.09976031098112537,0.590849106621917,0.6954110867774398,,
module_graph_strict_shuffled_overlap_aux_weight_0_025_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.025,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5233167965981573,0.6595740243056665,0.42103094819263354,0.3539245448767634,0.4413584925914379,,
module_graph_strict_shuffled_overlap_aux_weight_0_025_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.025,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.2787826707392713,0.07753001047907071,0.4963325592461126,0.5980464190966782,,
module_graph_strict_shuffled_overlap_aux_weight_0_025_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.025,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.04307444005295903,-0.09302383733815578,0.35917010285718454,0.4595940852322761,,
module_graph_strict_shuffled_overlap_aux_weight_0_025_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.025,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45201984408221124,0.47239377237215807,0.20959650685708742,0.3897260836739451,0.4861467745686397,,
module_graph_strict_shuffled_overlap_aux_weight_0_05_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.05,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3163446866363364,0.09976289420681439,0.5908379894234047,0.6954100890403403,,
module_graph_strict_shuffled_overlap_aux_weight_0_05_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.05,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5156828996658905,0.6550348381463753,0.41187626860728,0.35695175583305716,0.4448341952178398,,
module_graph_strict_shuffled_overlap_aux_weight_0_05_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.05,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.27881872827971016,0.07754762595161824,0.4963294022326386,0.5980407089268671,,
module_graph_strict_shuffled_overlap_aux_weight_0_05_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.05,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.01360737065910702,-0.04333938347098073,-0.09321753873259131,0.35919522441824814,0.4596348071581713,,
module_graph_strict_shuffled_overlap_aux_weight_0_05_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.05,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4522628328439809,0.47226757872892206,0.20945233992767698,0.3898131745838719,0.4861911083125795,,
module_graph_strict_shuffled_overlap_aux_weight_0_1_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.1,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.33475751746481724,0.3163369027413181,0.09978046021659248,0.5907922217523852,0.6954033043610955,,
module_graph_strict_shuffled_overlap_aux_weight_0_1_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.1,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5190847423306671,0.659829083371448,0.4233105684336229,0.3525751520190812,0.4404887379102083,,
module_graph_strict_shuffled_overlap_aux_weight_0_1_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.1,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30367520502176776,0.27896290193855533,0.07761786896983736,0.49631659495818414,0.5980179386542024,,
module_graph_strict_shuffled_overlap_aux_weight_0_1_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.1,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.009719550470790726,-0.044389476247794796,-0.09398774619706507,0.35929496277268,0.4597966925172995,,
module_graph_strict_shuffled_overlap_aux_weight_0_1_ridge,strict_shuffled_module_overlap_graph_auxiliary,0.1,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4507239040194391,0.4717664093659202,0.2088753764794602,0.39015306885939066,0.48636849378177816,,
stage27c_module_pca_ridge_reference,,,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3163520312175891,0.09975961956193147,0.5908527814398361,0.6954113538288077,,
stage27c_module_pca_ridge_reference,,,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.6623974952216051,0.4280899577385401,0.35143710200981665,0.4386596361996292,,
stage27c_module_pca_ridge_reference,,,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.30229826870507237,0.27877065050186,0.07752413383312962,0.4963336075201987,0.5980483240374914,,
stage27c_module_pca_ridge_reference,,,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.016077756403766325,-0.042985908308886815,-0.09295916718496233,0.359161712235905,0.459580488795249,,
stage27c_module_pca_ridge_reference,,,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.47243591481850106,0.20964454842080216,0.3896968592871398,0.4861320000855132,,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.33204414295838813,0.31600256353109796,0.09956542131218349,0.5909258480482622,0.6954863562328477,,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,AT8,AT8,percent AT8 positive area_Grey matter,84,0.528136073706591,0.6617975636541716,0.42724710747546824,0.3517552984063907,0.438982753685565,,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3040194391009416,0.2792586796340217,0.07779071941605731,0.4962670874882245,0.5979619030333984,,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.01565252607066923,-0.04353202637769836,-0.09365891323555298,0.3592720457767519,0.459727584032288,,
stage31_weak_residual_real_graph_alpha_0_05_reference,,,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.45199959501873044,0.4717509978896238,0.20883927819315518,0.3894818570209831,0.4863795899279116,,
stage35a_best_reference,,,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3163520312175891,0.0997596195619313,0.5908527814398361,0.6954113538288077,amyloid_context,
stage35a_best_reference,,,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.6623974952216048,0.4280899577385398,0.3514371020098167,0.4386596361996293,neuronal_tau_context,
stage35a_best_reference,,,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3022982687050723,0.27877065050186,0.0775241338331296,0.4963336075201987,0.5980483240374914,glial_context,
stage35a_best_reference,,,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.0160777564037663,-0.0429859083088869,-0.0929591671849623,0.359161712235905,0.4595804887952489,glial_context,
stage35a_best_reference,,,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.4724359148185012,0.2096445484208021,0.3896968592871397,0.4861320000855131,neuronal_tau_context,
stage35b_best_reference,,,6e10/Aβ,6e10/A_beta,percent 6e10 positive area_Grey matter,84,0.3347372684013365,0.3163520312175891,0.0997596195619314,0.5908527814398361,0.6954113538288077,,
stage35b_best_reference,,,AT8,AT8,percent AT8 positive area_Grey matter,84,0.5284398096588033,0.6623974952216051,0.4280899577385401,0.3514371020098166,0.4386596361996292,,
stage35b_best_reference,,,GFAP,GFAP,percent GFAP positive area_Grey matter,84,0.3022982687050723,0.27877065050186,0.0775241338331296,0.4963336075201987,0.5980483240374914,,
stage35b_best_reference,,,Iba1,Iba1,percent Iba1 positive area_Grey matter,84,0.0160777564037663,-0.0429859083088868,-0.0929591671849623,0.359161712235905,0.459580488795249,,
stage35b_best_reference,,,NeuN,NeuN,percent NeuN positive area_Grey matter,84,0.4519590968917688,0.472435914818501,0.2096445484208021,0.3896968592871398,0.4861320000855132,,
