input_key,category,priority,required_for_phase1,status,primary_path,n_matched_paths,matched_paths,rows,columns,detected_columns,role,notes,recommended_action
consensus_graph_stats,graph_topology,recommended,False,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_consensus_stats.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_consensus_stats.csv,4,11,graph; n_genes; n_edges; n_connected_genes; connected_fraction; n_isolated_genes; n_components; largest_component_size; median_degree; max_degree; top_hub_genes,Summary statistics for the consensus graph.,,Ready for direct table loading.
string_graph_edges,graph_topology,optional,False,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_string_edges_t700.csv,3,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_string_edges_t700.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_string_edges_t400.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_string_edges_t900.csv,14565,5,source; target; score; source_idx; target_idx,STRING graph source for graph-source ablations.,,Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
wgcna_graph_edges,graph_topology,optional,False,available,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_wgcna_edges.csv,1,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_graph_wgcna_edges.csv,100000,5,source; target; weight; source_idx; target_idx,WGCNA/TOM graph source for graph-source ablations.,,Ready for direct table loading.
module_definitions,modules,core,True,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/src/sea_ad_jepa/gene_sets.py,1,C:/Users/dushy/Desktop/Jepa project/src/sea_ad_jepa/gene_sets.py,,,,Gene-module definitions for module scoring and module fingerprints.,,Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
donor_pathology_metadata,metadata,core,True,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/data/processed/metadata/sea_ad_mtg_donor_pathology_targets.csv,3,C:/Users/dushy/Desktop/Jepa project/data/processed/metadata/sea_ad_mtg_donor_pathology_targets.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/sea_ad_full_metadata_targets_with_covariates.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/sea_ad_full_metadata_covariate_audit.csv,84,27,Donor ID; Age at Death; Sex; APOE Genotype; Cognitive Status; Braak; Thal; CERAD score; Overall AD neuropathological Change; Severely Affected Donor; percent 6e10 positive area_Grey matter; number of 6e10 positive objects per area_Grey matter; percent AT8 positive area_Grey matter; number of AT8 positive cells per area_Grey matter; percent GFAP positive area_Grey matter; percent Iba1 positive area_Grey matter; number of activated Iba1 positive cells_Grey matter; percent NeuN positive area_Grey matter,Donor-level pathology and covariates for context dependency and audits.,"Data directory is gitignored, but local processed metadata can still be used.",Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
donor_level_counterfactual_outputs,donor_context,recommended,False,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_gene_counterfactual_6e10_by_donor.csv,7,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_gene_counterfactual_6e10_by_donor.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_gene_counterfactual_at8_by_donor.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_gene_counterfactual_gfap_by_donor.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_gene_counterfactual_iba1_by_donor.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_gene_counterfactual_neun_by_donor.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/pathology_head_gene_counterfactual_donor.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/pathology_head_module_counterfactual_donor.csv,2016,12,model; target; module; perturbation; intervention; Donor ID; prediction_model_scale_baseline; prediction_raw_scale_baseline; prediction_model_scale_perturbed; prediction_raw_scale_perturbed; delta_model_scale; delta_raw_scale,By-donor counterfactual deltas for donor-context dependency.,Needed for true perturbation-by-context analysis.,Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
baseline_prediction_leaderboard,baselines,recommended,False,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/results/tables/multitarget_oof_jepa_vs_pseudobulk_summary.csv,3,C:/Users/dushy/Desktop/Jepa project/results/tables/multitarget_oof_jepa_vs_pseudobulk_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/latent_space_evaluation_jepa_vs_pca_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/microglia_pvm_model_comparison.csv,9,10,target; jepa_ema_e20; jepa_ema_var_e30; pseudobulk; best_model; best_spearman; pseudobulk_spearman; best_jepa_spearman; best_jepa_model; jepa_minus_pseudobulk,Existing donor-held-out baseline metrics for minimal Graph-JEPA sanity check.,,Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
stage_c_sweep_leaderboards,baselines,optional,False,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_finetuning_combined_leaderboard.csv,3,C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_finetuning_combined_leaderboard.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_upgrade_fine_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_checkpoint_evaluation_summary.csv,49,18,run_id; checkpoint_epoch; rehearsal_weight; disease_covariance_weight; composite_score; at8_ridge; neun_ridge; at8_euclidean_knn; neun_euclidean_knn; at8_cosine_knn; neun_cosine_knn; gfap_cosine_knn; iba1_cosine_knn; effective_dims; top_sv_ratio; sea_anchor_cosine; cellxgene_anchor_cosine; anchor_penalty,Stage C sweep and checkpoint summaries for current active model context.,,Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
negative_control_outputs,negative_controls,recommended,False,missing,,0,,,,,"Existing shuffled-label, decoy, degree-matched, or random-graph control outputs.",Likely incomplete; missing values should become TODO controls.,Required/recommended input is absent; write TODO row in downstream atlas.
target_rank_stability_outputs,robustness,recommended,False,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_cosine_knn_metrics.csv,25,C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_cosine_knn_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_01_r005_cov0005_epoch_005_latent_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_02_r005_cov001_epoch_005_cosine_knn_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_02_r005_cov001_epoch_005_latent_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_03_r010_cov0005_epoch_005_cosine_knn_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_03_r010_cov0005_epoch_005_latent_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_04_r010_cov002_epoch_005_cosine_knn_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_04_r010_cov002_epoch_005_latent_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_05_r020_cov001_epoch_005_cosine_knn_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_fine_loose_05_r020_cov001_epoch_005_latent_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_finetuning_fine_loose_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_005_coordinates.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_005_cosine_knn_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_005_donor_embeddings.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_005_latent_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_005_ridge_pathology.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_005_umap_coordinates.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_010_coordinates.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_010_cosine_knn_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/stage_c_sweep_04_loose_anchor_epoch_010_donor_embeddings.csv,5,3,target; n_donors; cosine_knn_spearman,"Bootstrap, jackknife, seed, or leave-one-donor-out target-rank stability.","External LOO exists, but target-rank stability may still be missing.",Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
latent_jacobian_outputs,latent_interpretation,optional,False,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_latent_jacobian_top_edges.csv,3,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_latent_jacobian_top_edges.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_1_upgrade_fine_08_latent_jacobian_module_annotations.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/latent_jacobian_top_edges.csv,500,9,model; source_latent_dim; source_latent_factor; target_latent_dim; target_latent_factor; mean_jacobian; abs_mean_jacobian; source_annotation; target_annotation,Latent Jacobian edges and module annotations for mechanism-context notes.,,Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
abeta_responsive_outputs,amyloid_axis,optional,False,available_but_needs_parsing,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_frozen_embedding_elasticnet_sweep.csv,16,C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_frozen_embedding_elasticnet_sweep.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_axis_coefficients_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_cell_scores_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_dge_all_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_dge_upregulated_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_donor_validation_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_smoke_axis_coefficients_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_smoke_cell_scores_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_smoke_dge_all_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_smoke_dge_upregulated_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_smoke_donor_validation_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_smoke_validation_metrics_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_responsive_microglia_validation_metrics_summary.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_mil_head_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_mil_head_smoke_metrics.csv | C:/Users/dushy/Desktop/Jepa project/results/tables/v2_2_abeta_mil_head_stable_metrics.csv,90,18,rank; rank_order; model; alpha; l1_ratio; mean_oof_spearman; std_oof_spearman; min_oof_spearman; max_oof_spearman; representative_seed_oof_spearman; fold_spearman_mean; fold_spearman_std; n_donors; n_latent_dims; n_splits; seeds; representative_seed; target,Frozen A beta ElasticNet and responder-cell outputs for bounded amyloid notes.,,Multiple matching files or globbed inputs; downstream script must choose/merge deliberately.
