candidate_gene,mechanism_id,target,frozen_stage36e_priority,stage36c_rank_or_score_if_available,stage38b_best_support_tier,n_external_datasets_tested,n_supporting_external_datasets,priority_score,priority_class,limitation,recommended_next_validation_route,allowed_claim_language,prohibited_claim_language
LAMP2,M1,NeuN,1,rank=5; score=1.25,not_testable,1,0,4.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M2,AT8,2,rank=5; score=1.25,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
CTSD,M2,6e10/Aβ,2,rank=5; score=1.25,not_testable,1,0,3.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
HMOX1,M3,Iba1,3,rank=1; score=1.25,not_testable,1,0,2.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
NQO1,M3,Iba1,3,rank=2; score=1.25,not_testable,1,0,2.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
SOD2,M3,Iba1,3,rank=3; score=1.25,not_testable,1,0,2.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
SOD1,M3,Iba1,3,rank=4; score=1.25,not_testable,1,0,2.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
GPX4,M3,Iba1,3,rank=5; score=1.25,not_testable,1,0,2.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
SLC6A12,M4,6e10/Aβ,4,rank=2; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
NFKBIA,M4,AT8,4,rank=4; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
IL27RA,M4,AT8,4,rank=3; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
SLC6A12,M4,AT8,4,rank=2; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
BSG,M4,AT8,4,rank=1; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
NFKBIA,M4,6e10/Aβ,4,rank=4; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
IL27RA,M4,6e10/Aβ,4,rank=3; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
BSG,M4,6e10/Aβ,4,rank=1; score=1.25,not_testable,1,0,1.0,no_support_detected,bounded external support only,PI review and targeted validation planning,ranked external-support prioritization only; candidates remain frozen Stage 36E follow-up hypotheses requiring further validation,therapeutic target; causal validation; gene ablation; disease-modifying target; definitive clean external validation
