scorecard_item,status,stage,metric,threshold_or_gate,current_value,pass_fail,datasets_allowed,datasets_forbidden,allowed_claim,notes,stage_id,primary_metric,pass_rule,result,allowed_inputs,forbidden_inputs,interpretation
discovery_atlas_candidate_scoring,complete,Discovery Atlas,scorecard and counterfactual audit,conservative tier rules; graph cannot promote without FDR support,final_candidate_shortlist_v1,complete,SEA-AD discovery outputs and approved audit tables,clean validation datasets for candidate filtering,model-implied counterfactual hypothesis,No candidate is causally validated by model score alone.,,,,,,,
stage27c_non_graph_rescue,complete,Stage 27C,pooled donor-level OOF Spearman,>=0.3228; all five targets; no target delta < -0.02; module reproduction within +/-0.01,0.3267,pass,SEA-AD locked donor folds only,clean holdouts; external model selection; graph branches,controlled non-graph rescue benchmark,Best=module_pca_ridge; module reproduction pass=True; non-graph gate passed; graph controls may proceed under locked protocol.,,,,,,,
stage30_graph_controls,complete,Stage 30,pooled donor-level OOF Spearman,real >= 0.326702; real > no-graph and strict-shuffled; five targets; target delta >= -0.02,0.3205,fail,SEA-AD locked donor folds only,external matrices; clean holdouts; external model selection,real_topology_beats_strict_shuffle_but_identity_no_graph_remains_best,real-reference=-0.0062; real-no_graph=-0.0062; real-strict=0.0219; external validation not run; ablation validity not established.,,,,,,,
stage31_residual_graph_controls,complete,Stage 31,pooled donor-level OOF Spearman,best real residual >= 0.326702 and 0.3228; > no-graph and strict-shuffled; target deltas >= -0.02,0.3264,fail,SEA-AD locked donor folds only,external matrices; clean holdouts; external model selection,graph_like_residual_features_contain_structure_but_topology_specific_utility_not_established,best=weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05; best-reference=-0.0003; best-no_graph=-0.0003; best-strict=0.0581; external validation not run; ablation validity not established.,,,,,,,
stage32_external_pretraining_matrix,complete,Stage 32,external pretraining matrix audit/build,registry loaded; holdouts protected; only approved pretraining datasets included; manifest written,matrix_built=False,pass,registry-approved self-supervised pretraining datasets only,clean holdouts; model-selection datasets; stress/plausibility-only; internal SEA-AD,external pretraining matrix audit/build complete,stage33_ready=False; Stage 27C remains current best internal no-graph benchmark; Stage 30/31 did not establish graph-specific pass; external validation not run; ablation validity not established.,,,,,,,
stage32b_external_pretraining_acquisition,complete,Stage 32B,approved external matrix acquisition/build audit,registry-approved pretraining only; no protected holdouts; no ambiguous matches,matrix_built=False,pass,registry-approved self-supervised pretraining candidates only,clean holdouts; SEA-AD; already-used plausibility-only; stress-test-only; ambiguous registry matches,Stage 32B acquisition/build audit complete,stage33a_ready=False; no external validation or model-selection claim.,,,,,,,
stage33a_external_pretrained_jepa,skipped,Stage 33A,external-pretrained representation benchmark,run only if Stage 32B approved matrix exists; full pass requires > Stage 27C and graph controls if claimed,skipped_no_approved_matrix,fail,Stage 32B approved external pretraining matrix only,clean holdouts; SEA-AD in pretraining; external labels/model selection,Stage 33A skipped because no approved external pretraining matrix was available,No external validation claim; no graph-specific claim unless real graph beats no-graph and strict-shuffled.,,,,,,,
stage32c_bulk_external_schema_acquisition,complete,Stage 32C,bulk approved external acquisition/schema audit,approved pretraining only; protected holdouts excluded; schema/gene/normalization audits written,ready_for_stage33=True,pass,registry-approved external self-supervised pretraining candidates,clean holdouts; SEA-AD; model-selection datasets; stress/plausibility-only; ambiguous matches,Stage 32C schema/acquisition audit complete,downloads_attempted=True; human_matrix_built=True.,,,,,,,
stage33b_external_pretrained_benchmark,complete,Stage 33B,pooled donor-level OOF Spearman,best external > Stage 27C 0.326702; >=0.3228; graph pass requires real > no-graph and strict,0.2711,fail,Stage 32C HBCA self-supervised pretraining matrix; SEA-AD locked folds for downstream only,clean holdouts; SEA-AD during external pretraining; external labels for pathology prediction,External pretraining did not improve over the current Stage 27C internal no-graph reference.,graph_specific_pass=False; no external validation claim.,,,,,,,
stage33c_external_pretraining_diagnostic_rescue,complete,Stage 33C,pooled donor-level OOF Spearman,best Stage 33C > Stage 33B and Stage 27C; >=0.3228; graph pass requires real > no-graph and strict,0.3049,fail,Stage 32C HBCA self-supervised pretraining matrix; SEA-AD locked folds for downstream only,clean holdouts; SEA-AD during external pretraining; external labels for pathology prediction; in silico ablation,Stage 33C rescued part of the external-pretraining deficit but did not improve over the Stage 27C internal no-graph reference.,graph_specific_pass=False; Real topology outperformed shuffled topology but did not improve over the no-graph identity reference.,,,,,,,
stage34a_hbca_microglia_filtered_external_pretraining,complete,Stage 34A,pooled donor-level OOF Spearman,best Stage 34A > Stage 33C for biological-filter rescue; full pass requires > Stage 27C and >=0.3228,0.2945,fail,approved HBCA non-neuronal Census dataset filtered to microglia/myeloid/PVM-like cells; SEA-AD locked folds for downstream only,clean holdouts; SEA-AD during external pretraining; external labels for pathology prediction; in silico ablation,Microglia/myeloid filtering did not rescue the external-pretraining deficit under this implementation.,biological_filter_rescue_pass=False; graph_specific_pass=False; Real topology outperformed shuffled topology but did not improve over the no-graph identity reference.,,,,,,,
stage34b_hbcc_external_pretraining,complete,Stage 34B,pooled donor-level OOF Spearman,dataset rescue requires best Stage 34B > Stage 33C/34A; full pass requires > Stage 27C and >=0.3228,0.2782,fail,approved HBCC CELLxGENE Census pretraining dataset; SEA-AD locked folds for downstream only,clean holdouts; SEA-AD during external pretraining; external labels for pathology prediction; in silico ablation,HBCC external pretraining did not rescue the external-pretraining deficit under this compact benchmark.,dataset_rescue_pass=False; graph_specific_pass=False; Graph-specific utility remains unestablished.,,,,,,,
stage35a_target_aware_weak_graph_rescue,complete,Stage 35A,pooled donor-level OOF Spearman,full pass requires best Stage 35A > Stage 27C and >=0.3228; graph pass requires real > no-graph and strict,0.3267,fail,SEA-AD locked folds only,external pretraining matrices; clean holdouts; external labels; in silico ablation,Target-aware weak graph injection did not improve over the Stage 27C internal no-graph reference under this implementation.,global_graph_specific_pass=False; target_rescue_candidates=0; Graph-specific utility remains unestablished.,,,,,,,
stage36a_module_counterfactual_agent,complete,Stage 36A,module-level counterfactual sensitivity on Stage 27C module_pca_ridge,hypothesis generation only; no validation pass in this stage,run_pass=True,pass,SEA-AD locked folds through frozen Stage 27C internal benchmark,clean holdouts; external validation; external labels; therapeutic/causal claims,module-level model-implied counterfactual hypotheses requiring independent validation,gene_level_pass=True; knowledge_grounding_pass=False; validation_pass=False.,,,,,,,
stage35b_graph_laplacian_regularized_ridge,complete,Stage 35B,pooled donor-level OOF Spearman,internal pass requires best Stage 35B > Stage 27C and >=0.3228; graph pass requires real > no-graph and strict,0.3194,fail,SEA-AD locked folds only,external pretraining matrices; clean holdouts; external labels; in silico ablation,Graph Laplacian regularization did not improve over the Stage 27C internal no-graph reference under this implementation.,graph_specific_pass=True; best_real=laplacian_real_graph_lambda_0_1_ridge,,,,,,,
stage35c_latent_module_graph_diagnostic,complete,Stage 35C,pooled donor-level OOF Spearman,internal pass requires best Stage 35C > Stage 27C and >=0.3228; graph pass requires real module graph > no-graph and strict,0.3273,pass,SEA-AD locked folds only,external pretraining matrices; clean holdouts; external labels; in silico ablation,Stage 35C completed under guarded internal benchmark rules.,module_graph_specific_pass=True; target_rescue_candidates=1,,,,,,,
stage35d_perturbation_graph_diagnostic,complete,Stage 35D,feasibility audit; benchmark only if approved local perturbation graph exists,benchmark requires approved local perturbation-derived graph aligned to canonical project genes,benchmark_not_run,fail,already-local approved perturbation edge list only,new downloads; web scraping; clean holdouts; external labels; raw perturbation matrices,Stage 35D completed a perturbation-graph feasibility audit but did not run a benchmark because no approved local perturbation-derived graph was available.,perturbation_graph_benchmark_run=False; graph_specific_pass=False,,,,,,,
stage35e_graph_diagnostics_synthesis,complete,Stage 35E,report-only synthesis of completed graph diagnostics,synthesis pass requires guarded Stage 35C reporting and no external/causal/therapeutic claims,stage35c_mean=0.327265; delta_vs_stage27c=+0.000563,pass,existing internal result tables only,new modeling; external validation; in silico ablation; clean holdouts; external labels,"Stage 35E synthesized completed graph diagnostics. Gene-scale graph strategies and graph regularization did not replace the Stage 27C no-graph reference. Stage 35C produced a small guarded internal module-scale graph improvement over Stage 27C and passed matched no-graph and strict-shuffled module graph controls. External validation, causal interpretation, and therapeutic-target claims remain untested.",Module-scale graph topology produced a small guarded internal improvement; effect requires independent validation.,,,,,,,
stage36b_local_knowledge_grounding,complete,Stage 36B,local prior-knowledge grounding of Stage 36A gene hypotheses,pass requires schema-stable local resources and annotations for all Stage 36A gene hypotheses,grounding_pass=True; stable_resources=103,pass,existing local repo resources only,web scraping; downloads; clean holdouts; external labels; model training,"Stage 36B created a local prior-knowledge grounding schema for Stage 36A model-implied hypotheses. Knowledge support is annotation only, not validation.",Knowledge support is not validation.,,,,,,,
stage36c_ranked_hypothesis_package,complete,Stage 36C,ranked model-implied follow-up hypotheses,"run pass requires ranked tables, planning table, PI report, and safety audit",run_pass=True,pass,Stage 36A/36B internal outputs only,new modeling; external validation; web scraping; downloads; causal or treatment claims,"Stage 36C produced a ranked hypothesis package from Stage 36A model-implied counterfactual sensitivity and Stage 36B local knowledge grounding. The ranked candidates are follow-up hypotheses only; no external validation, causal validation, or treatment claim was made.",Prioritization package only; not validation.,,,,,,,
,complete,Stage 36D,,,,pass,,,,Candidate handoff only; proposed validation routes are not completed validation.,stage36d_validation_handoff,validation-facing handoff package from Stage 36C outputs,"pass requires required Stage 36C inputs, handoff tables/reports, and safety audit",run_pass=True,Stage 36C local outputs only,new modeling; downloads; web scraping; external validation; causal/therapeutic/gene-ablation claims,"Stage 36D froze Stage 36C ranked, locally grounded follow-up hypotheses into a validation-facing planning package. It is not validation."
,complete,Stage 36E,,,,pass,,,,Protocol/registry only; not validation.,stage36e_frozen_validation_protocol,frozen mechanism registry and validation decision rules,"pass requires Stage 36C/36D inputs, all outputs, five-target coverage, and safety audit",run_pass=True,Stage 36C/36D generated outputs only,new modeling; downloads; web scraping; external validation; causal/therapeutic/gene-ablation claims,"Stage 36E froze mechanisms, candidates, and validation decision rules before new validation data are examined."
,complete,Stage 37A,,,,pass,,,,Stage37B_manual_dataset_approval,stage37a_validation_dataset_eligibility_audit,validation dataset eligibility audit,"pass requires required inputs, audit outputs, conservative classification, and safety boundaries",run_pass=True,existing local repository files only,new modeling; validation run; downloads; web scraping; causal/therapeutic claims,Stage 37A audited already identified resources for clean validation eligibility; no validation was run.
,complete,Stage 37B,,,,pass,,,,Stage 37C clean validation remains blocked unless gate passes.,stage37b_manual_dataset_approval,manual dataset approval dossier and clean-validation gate,"pass requires all dossier outputs, no validation/modeling/downloads, and no unapproved clean validation dataset",run_pass=True; stage37c_clean_external_validation_allowed=False,Stage 37A and Stage 36E local outputs only,new modeling; validation run; downloads; web scraping; unapproved clean-validation claims,Stage 37B produced a manual dataset approval dossier. It is not validation.
,complete,Stage 37B-rev1,,,,pass,,,,"No clean validation is currently approved, but missing metadata is not rejection; multiple resources remain reusable at bounded claim levels.",stage37b_rev1_dataset_claim_reclassification,corrected dataset claim-level reclassification,pass requires missing metadata not treated as rejection and explicit evidence for known disqualification,run_pass=True; stage37c_clean_external_validation_allowed=False,existing Stage 37A/37B and Stage 36E local outputs only,new modeling; validation run; downloads; web scraping; validation/causal/therapeutic claims,Stage 37B-rev1 corrected dataset reuse categories by allowed claim level; no validation was run.
,complete,Stage 37C-F,,,,pass,,,,Microglia/cell-type specificity fields are included as supporting dimensions.,stage37c_f_multidataset_external_support,multi-dataset external support/readiness suite,"pass requires readiness, mapping, coverage, support summaries, missing-data reports/manifests, and claim-boundary audit",run_pass=True,frozen Stage 36E candidates and local external dataset files only,SEA-AD model training; candidate selection; model selection; downloads; web scraping; clean-validation/causal/therapeutic claims,Stage 37C-F produced bounded external-support/readiness outputs; it is not clean external validation.
,complete,Stage 38B,,,,pass,,,,"Stage 38B analyzes only Stage 38A-ready external datasets using frozen Stage 36E candidates; if Stage 38A inputs are missing, Stage 38B is blocked and no support claim is made.",stage38b_prepared_external_support_analysis,prepared external support analysis,pass requires Stage 38A inputs and analysis of every ready dataset with claim-boundary audit,run_pass=True; ready=1; analyzed=1,Stage 38A prepared inputs and frozen Stage 36E candidates,SEA-AD model training; threshold tuning; candidate selection; unsupported clean-validation claims,"Stage 38B is external-support analysis only, not causal or therapeutic validation."
,complete,Stage 38C,,,,pass,,,,"Stage 38C prioritizes frozen Stage 36E mechanisms/candidates from Stage 38B outputs; when Stage 38B is blocked, priorities are bounded and marked not testable yet.",stage38c_external_support_prioritization,bounded mechanism/candidate priority after Stage 38B external support,"pass requires Stage 38B/36E inputs, priority tables, gap table, reports, and claim-boundary audit",run_pass=True,Stage 38B outputs and frozen Stage 36E mechanisms/candidates,new candidates; candidate dropping; threshold tuning; causal/therapeutic claims,"Stage 38C is a PI-facing prioritization summary, not validation."
,complete,Stage 38A,,,,pass,,,,"Stage 38A acquired/prepared local external inputs only; it does not validate, train, tune, or select candidates.",stage38a_external_data_acquisition_preprocessing,external data acquisition/preprocessing readiness,pass requires manifests/readiness/processed index and safety audit,run_pass=True,local/official external files only,SEA-AD model training; candidate selection; clean-validation claims,"Stage 38A prepares inputs only, not validation."
stage39a_external_metadata_rescue,complete,Stage 39A,metadata harmonization rescue and acquisition-gap audit,files inspected; metadata candidates/linkage/harmonization/manual fixes written; safety audit passes,run_pass=True; ready_for_stage39b=1,pass,local external dataset files and Stage 38/36E outputs only,new downloads; SEA-AD model training; threshold tuning; candidate selection,metadata/testability rescue only,"Stage 39A is a metadata harmonization rescue and acquisition-gap audit only. It does not train models, tune thresholds, select candidates, modify frozen Stage 36E hypotheses, or claim clean external validation, causality, therapeutic effect, disease modification, or gene ablation.",stage39a_external_metadata_rescue,metadata rescue completion,required audit outputs written with honest ready/not-ready status,run_pass=True,Stage 38A/B/C outputs and local external files,new data downloads; external labels for model selection; new candidates,"Stage 39A is a metadata harmonization rescue and acquisition-gap audit only. It does not train models, tune thresholds, select candidates, modify frozen Stage 36E hypotheses, or claim clean external validation, causality, therapeutic effect, disease modification, or gene ablation."
stage39b_lph_internal_model_rescue,complete,Stage 39B-LPH,pooled donor-level OOF Spearman,"best LPH > Stage 27C, >=0.3228, beats matched/shuffled controls, no target drop below gate",best=0.32559684114609705; delta_vs_stage27c=-0.0011055988660524374,fail,SEA-AD locked internal donor folds only,external training/model selection; clean holdouts; candidate selection,internal model-improvement experiment; latent prediction auxiliary head; representation-space prediction; hypothesis prioritization only,"Stage 39B-LPH is an internal model-improvement experiment using a low-capacity latent prediction auxiliary head. It does not generate synthetic biological data, use external training/model selection, modify frozen candidates, or claim clean external validation, causality, therapeutic targeting, gene ablation, or disease modification.",stage39b_lph_internal_model_rescue,best LPH mean pooled OOF Spearman,strict internal controls and claim audit pass,run_pass=True,internal Stage 27C context reconstructed from local files,"external data, synthetic biological data, candidate changes","Stage 39B-LPH is an internal model-improvement experiment using a low-capacity latent prediction auxiliary head. It does not generate synthetic biological data, use external training/model selection, modify frozen candidates, or claim clean external validation, causality, therapeutic targeting, gene ablation, or disease modification."
stage39c_target_engineering_residual_stack,complete,Stage 39C,mean pooled donor-level OOF Spearman,">= Stage 27C + 0.005, lower bootstrap CI above Stage 27C, controls/leakage pass",best=0.3458094563126456; delta=0.019107016300496105,fail,SEA-AD locked internal donor folds only,external data; candidate selection; clean holdouts,internal target-engineering benchmark; donor-held-out model comparison; hypothesis prioritization only,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation.",stage39c_target_engineering_residual_stack,best target-engineered condition mean pooled OOF Spearman,"predeclared rescue margin, bootstrap CI, and negative controls",run_pass=True,Stage 27C internal context and safe donor covariates,external validation data or external model selection,"Stage 39C is an internal target-engineering and simple-model benchmark under locked donor-held-out folds. It uses train-fold-only preprocessing and does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
stage39d_metadata_composition_stack,complete,Stage 39D,mean pooled donor-level OOF Spearman,"metadata/composition+latent must beat latent-only, metadata-only, composition-only, and Stage 39C where relevant",best=0.5048658499544396; delta_vs_stage39c=0.15905639364179402,fail,SEA-AD locked internal donor folds only,external data; candidate selection; clean holdouts,internal metadata/composition enrichment benchmark; donor-held-out model comparison; hypothesis prioritization only,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation.",stage39d_metadata_composition_stack,best context-enriched condition mean pooled OOF Spearman,predeclared block ablations and leakage controls,run_pass=True,"internal Stage 27C context, safe metadata, local microglia/PVM composition features",external validation data or external model selection,"Stage 39D is an internal metadata/composition enrichment benchmark. It uses locked donor-held-out folds, train-fold-only preprocessing, safe donor metadata, and local SEA-AD microglia/PVM composition features. Composition features are audited for possible pathology-proxy signal before being treated as a credible benchmark improvement. It does not use external data, select candidates, or claim clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
stage39e_strong_simple_model_leaderboard,complete,Stage 39E,mean pooled donor-level OOF Spearman,best predeclared simple model must beat Stage 39C by margin and bootstrap CI lower must clear Stage 39C,best=0.37851256756728835; delta_vs_stage39c=0.03270311125464276,fail,SEA-AD locked internal donor folds only,external data; composition proxy features; candidate selection; clean holdouts,internal simple-model leaderboard; donor-held-out model comparison; benchmark selection support only,"Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation.",stage39e_strong_simple_model_leaderboard,best predeclared simple-model mean pooled OOF Spearman,margin over Stage39C plus bootstrap and negative-control gates,run_pass=True,internal Stage 27C module features and locked folds,"external validation data, composition proxy features, candidate lists","Stage 39E is an internal strong simple-model leaderboard under locked donor-held-out folds. It uses only Stage 27C module features and train-fold-only target/feature preprocessing. Composition/proxy features flagged in Stage 39D are excluded from the primary benchmark. It does not use external data, select candidates, or support claims of clean external validation, causality, therapeutic relevance, disease modification, or gene ablation."
stage39f_robustness_confirmation,complete,Stage 39F,benchmark-lock eligibility,"mean > Stage27C, material threshold, lower CI, target guard, controls, proxy audit, influence audit",lock_eligible=0,fail,existing internal OOF predictions only,external data; new model selection,internal robustness confirmation; candidate benchmark audit; point-estimate improvement only unless all lock gates pass,"Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims.",stage39f_robustness_confirmation,benchmark lock decision,all benchmark lock gates,run_pass=True,Stage 27C and Stage 39C-E OOF/results,"new training, external validation, candidate selection","Stage 39F reuses existing donor-held-out OOF predictions from Stage 27C and Stage 39C-E to audit whether any candidate should be locked as a new internal benchmark. It does not train new models, use external data, select candidates, or support validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
stage39h_proxy_safe_composition_decomposition,complete,Stage 39H,proxy-safe context benchmark eligibility,"proxy-safe blocks must beat Stage27C/material threshold with CI, target, Aβ, Iba1, control, proxy, and influence gates",lock_eligible=0,fail,internal SEA-AD donor-held-out folds only,external data; Stage40A; proxy features in lock candidates,internal proxy-safe context audit; feature-block decomposition; candidate benchmark evidence only,"Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims.",stage39h_proxy_safe_composition_decomposition,benchmark lock eligibility,all Stage39H success gates,run_pass=True,"Stage39D feature matrix, Stage27C/39E references, internal folds","external validation data, target-derived proxy features in lock candidates","Stage 39H is an internal proxy-safe context decomposition audit. It uses donor-held-out folds, train-fold-only preprocessing, and simple ridge models to decompose Stage 39D context signal. It does not use external data, train new architectures, select candidates, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
stage40a_conditional_dualhead_ema_vicreg,complete,Stage 40A,conditional dual-head EMA+VICReg benchmark eligibility,"must beat Stage27C/material threshold and Stage39E pca8 with CI, target guard, Iba1, negative control, and claim gates",lock_eligible=0,fail,internal SEA-AD module features only,external data; proxy context features; graph additions,conditional internal representation-learning rescue experiment; donor-held-out model comparison only,"Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims.",stage40a_conditional_dualhead_ema_vicreg,benchmark lock eligibility,all Stage40A success gates,run_pass=True,Stage27C module features and existing OOF references,"external validation data, target-derived proxy context features, graph additions","Stage 40A is a conditional internal low-capacity dual-head EMA+VICReg experiment after Stage 39H did not recover a lockable proxy-safe context benchmark. It uses only internal module features, locked donor-held-out folds, and train-fold-only preprocessing. It does not use external data, proxy context features, graph additions, candidate selection, or support external validation, causal, therapeutic, disease-modifying, or gene-ablation claims."
stage40b_terminal_rescue_synthesis,complete,Stage 40B,terminal model-rescue decision,no prior lock-eligible candidate; Stage40A failed; preserve Stage27C and move to feature acquisition,Stage27C locked; Stage39E pca8 best unlocked; architecture tuning paused,pass,existing internal result tables only,new model training; external data for model selection,internal benchmark-rescue synthesis; next-data acquisition planning; no new validation claim,Terminal synthesis only; recommends Stage41A manual/internal multimodal feature acquisition.,stage40b_terminal_rescue_synthesis,stop/continue branch decision,all claim-boundary and synthesis outputs written,run_pass=True,Stage27C through Stage40A generated outputs,"new training, external validation, candidate selection",Internal model-rescue branch should pause on current feature matrix.
stage41_internal_multimodal_feature_acquisition,complete,Stage 41,safe multimodal feature availability and benchmark decision,safe donor-linked new multimodal/spatial/image features required before benchmark training,training_ran=False,pass,internal feature inventories only; no external training/model selection,external validation data; raw target-derived features,internal multimodal feature acquisition; safe feature benchmark planning; support/readiness only,No new safe donor-linked multimodal feature matrix was available; manual acquisition required.,stage41_internal_multimodal_feature_acquisition,manual feature acquisition requirement,inventory and acquisition plan written with claim audit,run_pass=True,existing repo inventories and internal result tables,"new external model-selection data, proxy/forbidden features",Proceed to manual/internal feature acquisition before further benchmark rescue.
stage41a_manual_internal_feature_acquisition,complete,Stage 41A,manual safe feature acquisition plan,"resource inventory, safety tiers, donor linkage, schemas, forbidden predictors, and next steps written",MRI/safe donor metadata first; CELLxGENE/snRNA next; image/spatial later after provenance,pass,manual internal SEA-AD resource acquisition planning only,raw data committed to git; external model selection; target predictors,manual internal feature acquisition planning; benchmark-readiness preparation only,Stage 41A is planning only; no model training or downloading was performed.,stage41a_manual_internal_feature_acquisition,acquisition readiness,all planning/audit outputs written,run_pass=True,SEA-AD resource links and existing project conclusions,quantitative pathology targets as predictors; same-stain same-target features,Next executable stage is Stage41B matrix build after manual files are acquired.
stage41abc_seaad_safe_feature_download_analyze_benchmark,complete,Stage 41ABC,safe SEA-AD resource discovery/download/feature-readiness,safe donor-linked matrix required before benchmark; no forbidden predictors; no unsupported claims,manual_feature_acquisition_required,pass,public SEA-AD manifests/small metadata/whitepapers; untracked local data only,raw images; huge raw h5ad/zarr/spatial files by default; controlled access; target predictors,safe SEA-AD resource acquisition and benchmark-readiness support only,Stage 41ABC is acquisition/readiness first; benchmark training only if safe donor-linked matrices exist.,stage41abc_seaad_safe_feature_download_analyze_benchmark,benchmark readiness,all required inventories/audits/reports written and safety gates pass,run_pass=True,bounded public resource pages and small safe downloads,quantitative pathology/Luminex/Braak/CERAD/Thal/ADNC/same-stain/HALO/pseudo-label predictors,Manual acquisition remains required unless safe donor-linked feature matrices were built.
stage41b_safe_metadata_mri_benchmark,complete,Stage 41B,safe metadata/MRI donor-held-out benchmark,"must beat Stage27C, material threshold, lower CI, target guards, A_beta/Iba1 guards, negative controls",latent_plus_safe_metadata=0.339423,pass,SEA-AD donor metadata and MRI volumetrics only after forbidden predictor exclusion,diagnosis/cognitive/neuropathology/Luminex/pathology targets/same-stain/HALO,internal SEA-AD safe metadata/MRI benchmark support only,Internal benchmark support only; not external validation.,stage41b_safe_metadata_mri_benchmark,mean pooled OOF Spearman,all safety outputs written; lock eligibility requires strict benchmark guards,run_pass=True,Stage41ABC downloaded donor metadata and MRI tables,pathology/disease burden columns,Stage41B tests whether safe context features add benchmark signal.
