bootstrap_metric,condition,left_condition,right_condition,n_bootstrap_resamples,spearman_ci_low,spearman_ci_median,spearman_ci_high,uncertainty_status
pairwise_delta_mean_pooled_oof_spearman,hub_capped_real_graph_residual_pca_ridge_minus_stage27c_module_pca_ridge_reference,hub_capped_real_graph_residual_pca_ridge,stage27c_module_pca_ridge_reference,500,-0.11595917818070355,-0.06355429666140358,-0.007611394140553384,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_minus_residual_no_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge,residual_no_graph_pca_ridge,500,-0.015482928452321115,-0.0042343477325522405,0.0048443555930036564,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_minus_residual_strict_shuffled_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge,residual_strict_shuffled_graph_pca_ridge,500,0.007243964585961083,0.05235121657100138,0.1006905467108637,complete
pairwise_delta_mean_pooled_oof_spearman,hub_capped_real_graph_residual_pca_ridge_minus_residual_real_graph_pca_ridge,hub_capped_real_graph_residual_pca_ridge,residual_real_graph_pca_ridge,500,-0.010567918271625022,-0.0013961444716704408,0.004758316113609706,complete
pairwise_delta_mean_pooled_oof_spearman,graph_residual_only_ridge_minus_stage27c_module_pca_ridge_reference,graph_residual_only_ridge,stage27c_module_pca_ridge_reference,500,-0.13445299219713577,-0.0767879754594721,-0.010268932283797216,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05_minus_stage27c_module_pca_ridge_reference,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,stage27c_module_pca_ridge_reference,500,-0.0035932954655423072,-0.00029780179480573543,0.003155815018871998,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05_minus_residual_no_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,residual_no_graph_pca_ridge,500,-0.004003844985587963,-0.000423479096244489,0.003112306513260511,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05_minus_residual_strict_shuffled_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_05,residual_strict_shuffled_graph_pca_ridge,500,0.010823977945511612,0.056383141228052686,0.11072809287804206,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2_minus_stage27c_module_pca_ridge_reference,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,stage27c_module_pca_ridge_reference,500,-0.026880414532163836,-0.010322852461339072,0.004401517281417937,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2_minus_residual_no_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,residual_no_graph_pca_ridge,500,-0.026195820629437913,-0.010434285010217842,0.006598778903947158,complete
pairwise_delta_mean_pooled_oof_spearman,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2_minus_residual_strict_shuffled_graph_pca_ridge,weak_diffusion_real_graph_residual_pca_ridge_alpha_0_2,residual_strict_shuffled_graph_pca_ridge,500,0.010234768423292382,0.047964767196032126,0.09316786149108996,complete
