dataset_id,source_type,dataset_name,collection_name,role,stage_allowed,allowed_for_training,allowed_for_pretraining,allowed_for_auxiliary_supervision,reserved_for_clean_validation,allowed_for_model_selection,already_used,requires_matrix_audit,requires_gene_overlap_audit,requires_donor_mapping_audit,requires_ortholog_mapping,allowed_claim,forbidden_claim,notes
5e57cd50-8e42-42d6-940d-5c1660d06864,CELLxGENE,RADC_Cohort,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,clean_external_holdout_candidate,external validation after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training/pretraining/model selection,"Large human PFC dementia/control candidate; metadata only so far."
cff99df2-4904-44f7-9173-ff837f95606e,CELLxGENE,all cells,Molecular Signatures of Resilience to Alzheimer disease in Neocortical Layer 4 Neurons,clean_external_holdout_candidate,external validation after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training/pretraining/model selection,"Human AD/normal brain candidate with microglia present."
203025fe-fa99-4d57-81da-458ed8f0c334,CELLxGENE,Brain vascular single-cell multi-omics disease-risk snRNA-seq,Brain vascular single-cell multi-omics elucidates disease risk associations,clean_external_holdout_candidate,external validation after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training/pretraining/model selection,"Human AD/normal brain vascular multi-omics candidate; metadata only."
0a2d7e87-c3c0-4ed2-86df-ae18811fcc16,CELLxGENE,Full Dataset,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,clean_external_holdout_candidate,external validation after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training/pretraining/model selection,"Human AD/normal prefrontal brain candidate with glial relevance."
fe2eecbc-977a-4aec-9196-f89c3281d11c,CELLxGENE,Microglia,Deciphering glial contributions to CSF1R-related disorder via single-nuclear transcriptomic profiling,clean_external_holdout_candidate,external validation after freeze,False,False,False,True,False,False,True,True,True,False,clean external validation if untouched,training/pretraining/model selection,"Microglia subset of CSF1R-related disorder collection."
b165f033-9dec-468a-9248-802fc6902a74,CELLxGENE,All non-neuronal cells,Human Brain Cell Atlas v1.0,external_training_pretraining_pool,pretraining after review,True,True,False,False,False,False,True,True,True,False,domain-robust representation,clean external validation,"Human normal brain/non-neuronal pretraining candidate."
5c97eeeb-7e52-44b3-b010-b832b1f5424c,CELLxGENE,HBCC_Cohort,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,external_training_pretraining_pool,pretraining after review,True,True,False,False,False,False,True,True,True,False,domain-robust representation,clean external validation,"Human brain pretraining candidate; using it forfeits clean validation."
4442d412-91cb-4261-acca-8adf5fa04c11,CELLxGENE,Aging_Cohort,Population-scale cross-disorder atlas of the human prefrontal cortex at single-cell resolution,external_training_pretraining_pool,pretraining after review,True,True,False,False,False,False,True,True,True,False,domain-robust representation,clean external validation,"Human aging brain pretraining candidate."
Olah_live_microglia,CELLxGENE,Olah live human microglia,Live Human Microglia Single-cell RNA-seq,already_used_plausibility_only,plausibility/context only,False,False,False,False,False,True,True,True,True,False,external projection support,clean external validation,"Already used/adapted in v2.2 CELLxGENE alignment context."
ac0c6561-7a48-4185-af6f-af799f699172,CELLxGENE,All Cells - snRNA-seq,Cross-dementia human brain snRNA-seq (Rexach et al 2024),already_used_plausibility_only,plausibility/context only,False,False,False,False,False,True,True,True,True,False,external projection support,clean external validation,"Already used/adapted in v2.2 alignment context."
SEA_AD_CELLXGENE_DLPFC,CELLxGENE,Whole Taxonomy - DLPFC,SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,already_used_plausibility_only,internal/plausibility context only,False,False,False,False,False,True,False,False,False,False,internal reference,clean external validation,"Primary SEA-AD source; not external."
SEA_AD_CELLXGENE_MTG,CELLxGENE,Whole Taxonomy - MTG,SEA-AD: Seattle Alzheimer disease Brain Cell Atlas,already_used_plausibility_only,internal/plausibility context only,False,False,False,False,False,True,False,False,False,False,internal reference,clean external validation,"Primary SEA-AD source; not external."
Tabula_Sapiens_immune,CELLxGENE,Tabula Sapiens - Immune,Tabula Sapiens,auxiliary_training_pool,peripheral plausibility only,False,False,True,False,False,False,True,True,True,False,peripheral immune plausibility,direct brain microglia validation,"Peripheral immune; not brain microglia validation."
Tabula_Sapiens_myeloid,CELLxGENE,Tabula Sapiens myeloid/immune cells,Tabula Sapiens,auxiliary_training_pool,peripheral plausibility only,False,False,True,False,False,False,True,True,True,False,peripheral immune plausibility,direct brain microglia validation,"Peripheral immune/myeloid context only."
mouse_isocortex_hippocampus,CELLxGENE,Mouse isocortex and hippocampal formation taxonomy,A taxonomy of transcriptomic cell types across the isocortex and hippocampal formation,mouse_auxiliary_only,mouse auxiliary/pretraining after review,True,True,False,False,False,False,True,True,True,True,mouse auxiliary support,human external validation,"Mouse brain candidate; requires ortholog mapping."
mouse_brain_aging_atlas,CELLxGENE,BrainAgingSpatialAtlas_snRNAseq,Molecular and spatial signatures of mouse brain aging at single-cell resolution,mouse_auxiliary_only,mouse auxiliary/pretraining after review,True,True,False,False,False,False,True,True,True,True,mouse auxiliary support,human external validation,"Mouse aging brain candidate; requires ortholog mapping."

