target,target_key,gene,module,hypothesis_type,candidate_or_module,validation_category,proposed_next_step,required_data_or_assay,expected_output_if_run_later,stage36d_status,key_limitation,allowed_claim_if_completed_later,disallowed_claim_language_now
6e10/Aβ,6e10/A_beta,IL27RA,module_pca_component_1,gene_level,IL27RA,single-cell expression confirmation,Plan single-cell expression confirmation for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,single-cell or single-nucleus expression with cell-type labels,cell-type context for candidate/module expression,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,IL27RA,module_pca_component_1,gene_level,IL27RA,perturbation experiment,Plan perturbation experiment for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,pre-registered experimental perturbation design with outcome readouts,"direct perturbational evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,IL27RA,module_pca_component_1,gene_level,IL27RA,immunostaining / pathology colocalization,Plan immunostaining / pathology colocalization for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,protein/pathology staining or imaging colocalization assay,"candidate/pathology colocalization evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,IL27RA,module_pca_component_1,gene_level,IL27RA,literature/manual biological review,Plan literature/manual biological review for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,curated manual review of prior biology and local grounding records,manual evidence table and claim-boundary update,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,NFKBIA,module_pca_component_1,gene_level,NFKBIA,independent cohort replication,Plan independent cohort replication for frozen Stage 36D hypothesis NFKBIA; not run in Stage 36D.,independent donor-level expression and pathology measurements with pre-specified features,replication/non-replication of the frozen Stage 36C association pattern,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,NFKBIA,module_pca_component_1,gene_level,NFKBIA,spatial transcriptomic confirmation,Plan spatial transcriptomic confirmation for frozen Stage 36D hypothesis NFKBIA; not run in Stage 36D.,spatial expression data aligned to pathology or regional annotations,evidence on whether candidate expression localizes with relevant tissue context,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,NFKBIA,module_pca_component_1,gene_level,NFKBIA,single-cell expression confirmation,Plan single-cell expression confirmation for frozen Stage 36D hypothesis NFKBIA; not run in Stage 36D.,single-cell or single-nucleus expression with cell-type labels,cell-type context for candidate/module expression,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,NFKBIA,module_pca_component_1,gene_level,NFKBIA,perturbation experiment,Plan perturbation experiment for frozen Stage 36D hypothesis NFKBIA; not run in Stage 36D.,pre-registered experimental perturbation design with outcome readouts,"direct perturbational evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,NFKBIA,module_pca_component_1,gene_level,NFKBIA,immunostaining / pathology colocalization,Plan immunostaining / pathology colocalization for frozen Stage 36D hypothesis NFKBIA; not run in Stage 36D.,protein/pathology staining or imaging colocalization assay,"candidate/pathology colocalization evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,NFKBIA,module_pca_component_1,gene_level,NFKBIA,literature/manual biological review,Plan literature/manual biological review for frozen Stage 36D hypothesis NFKBIA; not run in Stage 36D.,curated manual review of prior biology and local grounding records,manual evidence table and claim-boundary update,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,CTSD,module_pca_component_1,gene_level,CTSD,independent cohort replication,Plan independent cohort replication for frozen Stage 36D hypothesis CTSD; not run in Stage 36D.,independent donor-level expression and pathology measurements with pre-specified features,replication/non-replication of the frozen Stage 36C association pattern,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,CTSD,module_pca_component_1,gene_level,CTSD,spatial transcriptomic confirmation,Plan spatial transcriptomic confirmation for frozen Stage 36D hypothesis CTSD; not run in Stage 36D.,spatial expression data aligned to pathology or regional annotations,evidence on whether candidate expression localizes with relevant tissue context,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,CTSD,module_pca_component_1,gene_level,CTSD,single-cell expression confirmation,Plan single-cell expression confirmation for frozen Stage 36D hypothesis CTSD; not run in Stage 36D.,single-cell or single-nucleus expression with cell-type labels,cell-type context for candidate/module expression,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,CTSD,module_pca_component_1,gene_level,CTSD,perturbation experiment,Plan perturbation experiment for frozen Stage 36D hypothesis CTSD; not run in Stage 36D.,pre-registered experimental perturbation design with outcome readouts,"direct perturbational evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,CTSD,module_pca_component_1,gene_level,CTSD,immunostaining / pathology colocalization,Plan immunostaining / pathology colocalization for frozen Stage 36D hypothesis CTSD; not run in Stage 36D.,protein/pathology staining or imaging colocalization assay,"candidate/pathology colocalization evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
6e10/Aβ,6e10/A_beta,CTSD,module_pca_component_1,gene_level,CTSD,literature/manual biological review,Plan literature/manual biological review for frozen Stage 36D hypothesis CTSD; not run in Stage 36D.,curated manual review of prior biology and local grounding records,manual evidence table and claim-boundary update,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,BSG,module_at8_associated_first_pass,gene_level,BSG,independent cohort replication,Plan independent cohort replication for frozen Stage 36D hypothesis BSG; not run in Stage 36D.,independent donor-level expression and pathology measurements with pre-specified features,replication/non-replication of the frozen Stage 36C association pattern,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,BSG,module_at8_associated_first_pass,gene_level,BSG,spatial transcriptomic confirmation,Plan spatial transcriptomic confirmation for frozen Stage 36D hypothesis BSG; not run in Stage 36D.,spatial expression data aligned to pathology or regional annotations,evidence on whether candidate expression localizes with relevant tissue context,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,BSG,module_at8_associated_first_pass,gene_level,BSG,single-cell expression confirmation,Plan single-cell expression confirmation for frozen Stage 36D hypothesis BSG; not run in Stage 36D.,single-cell or single-nucleus expression with cell-type labels,cell-type context for candidate/module expression,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,BSG,module_at8_associated_first_pass,gene_level,BSG,perturbation experiment,Plan perturbation experiment for frozen Stage 36D hypothesis BSG; not run in Stage 36D.,pre-registered experimental perturbation design with outcome readouts,"direct perturbational evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,BSG,module_at8_associated_first_pass,gene_level,BSG,immunostaining / pathology colocalization,Plan immunostaining / pathology colocalization for frozen Stage 36D hypothesis BSG; not run in Stage 36D.,protein/pathology staining or imaging colocalization assay,"candidate/pathology colocalization evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,BSG,module_at8_associated_first_pass,gene_level,BSG,literature/manual biological review,Plan literature/manual biological review for frozen Stage 36D hypothesis BSG; not run in Stage 36D.,curated manual review of prior biology and local grounding records,manual evidence table and claim-boundary update,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,SLC6A12,module_at8_associated_first_pass,gene_level,SLC6A12,independent cohort replication,Plan independent cohort replication for frozen Stage 36D hypothesis SLC6A12; not run in Stage 36D.,independent donor-level expression and pathology measurements with pre-specified features,replication/non-replication of the frozen Stage 36C association pattern,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,SLC6A12,module_at8_associated_first_pass,gene_level,SLC6A12,spatial transcriptomic confirmation,Plan spatial transcriptomic confirmation for frozen Stage 36D hypothesis SLC6A12; not run in Stage 36D.,spatial expression data aligned to pathology or regional annotations,evidence on whether candidate expression localizes with relevant tissue context,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,SLC6A12,module_at8_associated_first_pass,gene_level,SLC6A12,single-cell expression confirmation,Plan single-cell expression confirmation for frozen Stage 36D hypothesis SLC6A12; not run in Stage 36D.,single-cell or single-nucleus expression with cell-type labels,cell-type context for candidate/module expression,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,SLC6A12,module_at8_associated_first_pass,gene_level,SLC6A12,perturbation experiment,Plan perturbation experiment for frozen Stage 36D hypothesis SLC6A12; not run in Stage 36D.,pre-registered experimental perturbation design with outcome readouts,"direct perturbational evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,SLC6A12,module_at8_associated_first_pass,gene_level,SLC6A12,immunostaining / pathology colocalization,Plan immunostaining / pathology colocalization for frozen Stage 36D hypothesis SLC6A12; not run in Stage 36D.,protein/pathology staining or imaging colocalization assay,"candidate/pathology colocalization evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,SLC6A12,module_at8_associated_first_pass,gene_level,SLC6A12,literature/manual biological review,Plan literature/manual biological review for frozen Stage 36D hypothesis SLC6A12; not run in Stage 36D.,curated manual review of prior biology and local grounding records,manual evidence table and claim-boundary update,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,IL27RA,module_at8_associated_first_pass,gene_level,IL27RA,independent cohort replication,Plan independent cohort replication for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,independent donor-level expression and pathology measurements with pre-specified features,replication/non-replication of the frozen Stage 36C association pattern,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,IL27RA,module_at8_associated_first_pass,gene_level,IL27RA,spatial transcriptomic confirmation,Plan spatial transcriptomic confirmation for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,spatial expression data aligned to pathology or regional annotations,evidence on whether candidate expression localizes with relevant tissue context,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,IL27RA,module_at8_associated_first_pass,gene_level,IL27RA,single-cell expression confirmation,Plan single-cell expression confirmation for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,single-cell or single-nucleus expression with cell-type labels,cell-type context for candidate/module expression,proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
AT8,AT8,IL27RA,module_at8_associated_first_pass,gene_level,IL27RA,perturbation experiment,Plan perturbation experiment for frozen Stage 36D hypothesis IL27RA; not run in Stage 36D.,pre-registered experimental perturbation design with outcome readouts,"direct perturbational evidence, if actually performed later",proposed_not_completed,"Model-implied counterfactual sensitivity and local knowledge grounding are prioritization evidence only. No new modeling, external validation, perturbation, or causal experiment was run in Stage 36D.","may support, weaken, or refine a follow-up hypothesis depending on pre-specified results",causal validation; therapeutic target; drug target; validated mechanism; in silico counterfactual sensitivity equals gene ablation; Stage 36D external validation
