scope,item_id,prior_decision,reconsidered_decision,scientific_reason,storage_assessment,authoritative_source,selected_bytes,size_based_eligibility_filter_used
stage81a1c_p,gse178317_ba77161eeaa1,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse178317_f5881facc710,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse240609_1155194f2ab8,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse241858_139c1d1976d8,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse241858_cb7d87bdeb0f,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse254205_3bc2196b5493,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse254205_8ae26813ce5d,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse254205_cff143b59c0c,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse254205_fca1d393501d,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse293118_1d15aff2e5fa,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse293118_6dab6ce5e82e,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse301119_1c0fbaf672ab,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse301119_5ff4821904a5,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
stage81a1c_p,gse311359_7d3438f8c8db,download_processed_supplementary,download_required,official_GEO_processed_supplementary_file,capacity_monitored_no_fixed_cap_or_per_object_threshold_applied,NCBI_GEO,not_applicable,False
