test_node_id,failing_dependency_or_path,classification,exercised_new_a3r_code,evidence
tests/v4/test_stage81a1d_living_human.py::test_protected_signatures_are_unchanged,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical artifact absent from clean checkout.
tests/v4/test_stage81a2_canonical_freeze.py::test_exact_required_prior_inventory_and_hashes,configs/v4/stage81a0_v4_design_contract.yaml and Stage81A2 required_prior_inputs hash set,OTHER,False,Historical checkout/hash portability mismatch; first expected/observed config hashes differ.
tests/v4/test_stage81a2_canonical_freeze.py::test_nph_dispositions_are_exact_and_unresolved_excluded,data/processed/v4/stage81a2/nph52_cell_disposition_summary.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical cache absent from clean checkout.
tests/v4/test_stage81a2_canonical_freeze.py::test_nph_exact_52_and_25_19_8_groups,data/processed/v4/stage81a1d/sealed/nph52_exact_donors.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical split-metadata cache absent from clean checkout; no RNA was accessed.
tests/v4/test_stage81a2_canonical_freeze.py::test_protected_file_hashes_unchanged,results/tables/v2_1_gse174367_cell_trajectory_scores.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical artifact absent from clean checkout.
tests/v4/test_stage81a2r_a3r_candidate.py::test_protected_historical_hashes,results/v4/stage81a3_ipb_jepa_feasibility.json,OTHER,False,Historical protected-output hash differs in clean checkout; unrelated to new A3R code.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_broad_anchor_plus_independent_high_plex_yields_cross_donor_yes,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Immutable-input verification fails before this historical assertion.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_contract_thresholds_and_hashes_are_immutable,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Historical UCDQ manifest expects superseded config/output hashes.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_cross_technology_identifiability_is_yes,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Immutable-input verification fails before this historical assertion.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_fang_mtg_remains_excluded,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Immutable-input verification fails before this historical assertion.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_no_context_benefit_or_experiment_claim,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Immutable-input verification fails before this historical assertion.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_original_ucdq_outputs_remain_preserved,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Historical UCDQ manifest expects superseded config/output hashes.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_publication_adjudication_does_not_depend_on_pathology_value,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Immutable-input verification fails before this historical assertion.
tests/v4/test_stage81a3_context_human_provenance_adjudication.py::test_slidetags_and_merfish_are_distinct_technologies,Stage81A3 UCDQ config/output hashes,STALE_HISTORICAL_UCDQ_MANIFEST,False,Immutable-input verification fails before this historical assertion.
tests/v4/test_stage81a3_fbsdq_outputs.py::test_candidate_basis_is_160d_and_not_frozen[BALANCED_PCA160],results/v4/stage81a3_balanced_pca160_diagnostic.npz,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical diagnostic absent from clean checkout.
tests/v4/test_stage81a3_fbsdq_outputs.py::test_candidate_basis_is_160d_and_not_frozen[BALANCED_REP160],results/v4/stage81a3_balanced_rep160_diagnostic.npz,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical diagnostic absent from clean checkout.
tests/v4/test_stage81a3_fbsdq_outputs.py::test_evidence_and_depth_curves_use_fixed_levels,results/v4/stage81a3_evidence_response.csv,MISSING_IGNORED_HISTORICAL_ARTIFACT,False,Ignored historical diagnostic absent from clean checkout.
tests/v4/test_stage81a3_uniform_context_data_qualification.py::test_contract_hash_stability,Stage81A3 UCDQ contract config hash,STALE_HISTORICAL_UCDQ_MANIFEST,False,Historical contract records the superseded UCDQ config hash.
