status,role,donor_id,frozen_foundation_split,present_in_any_of_11_regional_objects,donor_overlap_is_duplicate_cell_evidence
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.034,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.035,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.036,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.037,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.038,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.039,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.040,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.041,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.043,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.044,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.045,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H20.33.046,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.001,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.002,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.003,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.004,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.005,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.006,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.007,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.008,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.009,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.010,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.011,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.012,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.013,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.014,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.015,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.016,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.017,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.018,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.019,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.020,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.021,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.022,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.023,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.025,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.026,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.027,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.028,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.029,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.030,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.031,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.032,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.033,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.034,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.035,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.036,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.037,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.038,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.039,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.040,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.041,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.042,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.043,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.044,development,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.045,sealed_holdout,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.046,train,True,False
SEA_AD_IMMUNE_PHASE_B_COMPATIBILITY_ONLY,PHASE_B_IMMUNE_MICROGLIA_PVM_CONTINUATION,H21.33.047,train,True,False
