dataset_id,matrix_id,modality,genome_assembly,annotation_release,feature_identifier_convention,versioned_unversioned_mixture,symbol_only,duplicate_raw_ids,suspicious_cross_species_ids,feature_metadata_access,audit_note,source_feature_count,feature_universe_sha256,universe_rows_materialized,raw_var_present,raw_var_feature_count,raw_var_matches_var,coordinate_like_peak_ids,invalid_peak_intervals,ordered_feature_identity_sha256,intended_project_role,foundation_eligible
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep1.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep1.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep2.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep2.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H19.30.001.STG.4000.expand.rep2.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep1.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep1.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep1.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep2.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep2.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep2.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep3.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep3.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H20.30.001.STG.4000.expand.rep3.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep1.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep1.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep1.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep2.features.csv,spatial RNA,unknown,unknown,observation metadata; adjacent source genes.csv is authoritative,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,cell/observation feature table deliberately not parsed as molecular features,,,,,,,,,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep2.genes.csv,spatial RNA,unknown,unknown,tabular feature fields,False,True,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,3999.0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,False,not_applicable,,not_applicable,0,0,e4d516a8e97b629d1c6dbbd64ea292f2c825a3111f7baa2e52c0e39bdf0dbf72,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
Fang_MERFISH_human_cortex_4000,data/external/v4/stage81a3_context/Fang_MERFISH_human_cortex_4000/H22.26.401.MTG.4000.expand.rep2.matrix.csv,spatial RNA,unknown,unknown,adjacent source feature table preferred,unknown,unknown,unknown,unknown,FEATURE-METADATA-ONLY IDENTITY AUDIT,matrix payload not parsed; adjacent source feature table is stronger evidence,0.0,,,not_applicable,,not_applicable,unknown,unknown,,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE248545,data/external/v4/stage81a3_context/GSE248545_healthy_DG_Visium/GSE248545_RAW.tar::GSM7916581_A1_raw_feature_bc_matrix.h5,spatial RNA,unknown,unknown,matrix/features/id|name|feature_type,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,True,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE248545,data/external/v4/stage81a3_context/GSE248545_healthy_DG_Visium/GSE248545_RAW.tar::GSM7916582_B1_raw_feature_bc_matrix.h5,spatial RNA,unknown,unknown,matrix/features/id|name|feature_type,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE248545,data/external/v4/stage81a3_context/GSE248545_healthy_DG_Visium/GSE248545_RAW.tar::GSM7916583_C1_raw_feature_bc_matrix.h5,spatial RNA,unknown,unknown,matrix/features/id|name|feature_type,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE248545,data/external/v4/stage81a3_context/GSE248545_healthy_DG_Visium/GSE248545_RAW.tar::GSM7916584_D1_raw_feature_bc_matrix.h5,spatial RNA,unknown,unknown,matrix/features/id|name|feature_type,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224155_1c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,True,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224156_2c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224157_10c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224158_11c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224159_12c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224160_13c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224161_14c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224162_15c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224163_16c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224164_17c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224165_18c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224166_19c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224167_20c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224168_21c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224169_22c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
GSE264624,data/external/v4/stage81a3_context/GSE264624_human_hippocampus_snRNA/GSE264624_RAW.tar::GSM8224170_23c-features.tsv.gz,gene-level RNA,unknown,unknown,archive source feature table,False,False,0,0,FEATURE-METADATA-ONLY IDENTITY AUDIT,shared ordered feature universes are materialized once per dataset,36601.0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,False,not_applicable,,not_applicable,0,0,efa87413867a667e50152e4dd4b4229a8646f4f4ce83001641f76209e6fa70e7,context_qualification_or_reference|downloaded_unregistered_role_requires_review,False
