module,function,classification,claim_boundary
t0_target_family_authority_v1.py,load_primary_only_family,AUTHORITY_COMPONENT_VERIFIER,SUPERSEDED V1 family package retained for provenance/tests only; canonical T0 adjudication requires V2.
t0_target_family_authority_v1.py,sha,NON_AUTHORITATIVE_PRIMITIVE,SUPERSEDED V1 family package retained for provenance/tests only; canonical T0 adjudication requires V2.
t0_target_family_authority_v2.py,build_primary_only_family,AUTHORITY_COMPONENT_BUILDER,Builds V2 pre-outcome family semantics including state/tail engines and alphas; not sufficient alone for a T0 conclusion.
t0_target_family_authority_v2.py,load_primary_only_family,AUTHORITY_COMPONENT_VERIFIER,Verifies V2 target-family semantics; canonical adjudication requires this authority.
t0_target_family_authority_v2.py,sha,NON_AUTHORITATIVE_PRIMITIVE,Low-level V2 family package primitive; canonical use occurs through adjudicate_from_raw.
t0_target_family_authority_v3.py,build_primary_only_family_v3,AUTHORITY_COMPONENT_BUILDER,Builds unchanged PRIMARY_ONLY family semantics from an exact rare5 status-authority file rather than a caller status string.
t0_target_family_authority_v3.py,load_primary_only_family_v3,AUTHORITY_COMPONENT_VERIFIER,Verifies V3 family package and exact rare5 status authority digest.
t0_target_learner_v1.py,fit_t0_target,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
t0_target_learner_v1.py,nuisance_design,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
t0_target_learner_v1.py,score_expression,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
t0_target_serializer_v1.py,serialize_target,AUTHORITY_COMPONENT_BUILDER,Builds a component authority; not sufficient by itself for a T0 conclusion.
t0_target_serializer_v1.py,sha256_file,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
t0_target_serializer_v2.py,load_target_v2,AUTHORITY_COMPONENT_VERIFIER,Verifies a component or raw linkage; not sufficient by itself for a T0 conclusion.
t0_target_serializer_v2.py,serialize_target_v2,AUTHORITY_COMPONENT_BUILDER,Builds a component authority; not sufficient by itself for a T0 conclusion.
t0_target_serializer_v2.py,sha256_file,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
t0_technical_registry_v1.py,build_technical_registry,AUTHORITY_COMPONENT_BUILDER,Builds a component authority; not sufficient by itself for a T0 conclusion.
t0_technical_registry_v1.py,load_technical_registry,AUTHORITY_COMPONENT_VERIFIER,Verifies a component or raw linkage; not sufficient by itself for a T0 conclusion.
t0_technical_registry_v1.py,sha,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
t0_technical_registry_v2.py,build_technical_registry,AUTHORITY_COMPONENT_BUILDER,Builds the cumulative technical-sensitivity authority; not sufficient by itself for a T0 conclusion.
t0_technical_registry_v2.py,load_technical_registry,AUTHORITY_COMPONENT_VERIFIER,Verifies the cumulative technical-sensitivity authority; not sufficient by itself for a T0 conclusion.
t0_technical_registry_v2.py,sha,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
t0_technical_registry_v3.py,build_technical_registry_v3,AUTHORITY_COMPONENT_BUILDER,Builds V18 technical semantics while forbidding outcome/nuisance/state fields from extra technical blocks.
t0_technical_registry_v3.py,load_technical_registry_v3,AUTHORITY_COMPONENT_VERIFIER,Verifies V3 technical registry reserved-field firewall.
t0_weighted_quantile_v1.py,equal_donor_cell_quantile,NON_AUTHORITATIVE_PRIMITIVE,Reusable mathematical/mechanics primitive; canonical use must be through the declared conclusion entrypoints.
